t_idx,time_label,component_idx,node_idx,node_label,account_category,eigenvalue,explained_variance_ratio,vector_value
0,2020-01,0,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,0.0,0.0
0,2020-01,0,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,0.0,0.0
0,2020-01,0,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,0.0,0.0
0,2020-01,0,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,0.0,0.0
0,2020-01,0,4,04_ACC_Cash_DPT_Admin,Asset,0.0,0.0,0.0
0,2020-01,0,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,0.0,0.0
0,2020-01,0,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,0.0,0.0
0,2020-01,0,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,0.0,0.0
0,2020-01,0,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,0.0,0.0
0,2020-01,0,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,0.0,0.0
0,2020-01,0,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0,0.0
0,2020-01,0,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0,0.0
0,2020-01,0,12,12_ACC_Cash,Asset,0.0,0.0,0.0
0,2020-01,0,13,13_ACC_Raw_Materials,Unknown,0.0,0.0,0.0
0,2020-01,0,14,14_ACC_Finished_Goods,Unknown,0.0,0.0,0.0
0,2020-01,0,15,15_ACC_Equity_Capital,Equity,0.0,0.0,0.0
0,2020-01,1,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,0.0,0.0
0,2020-01,1,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,0.0,0.0
0,2020-01,1,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,0.0,0.0
0,2020-01,1,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,0.0,0.0
0,2020-01,1,4,04_ACC_Cash_DPT_Admin,Asset,0.0,0.0,0.0
0,2020-01,1,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,0.0,0.0
0,2020-01,1,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,0.0,0.0
0,2020-01,1,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,0.0,0.0
0,2020-01,1,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,0.0,0.0
0,2020-01,1,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,0.0,0.0
0,2020-01,1,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0,0.0
0,2020-01,1,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0,0.0
0,2020-01,1,12,12_ACC_Cash,Asset,0.0,0.0,0.0
0,2020-01,1,13,13_ACC_Raw_Materials,Unknown,0.0,0.0,0.0
0,2020-01,1,14,14_ACC_Finished_Goods,Unknown,0.0,0.0,0.0
0,2020-01,1,15,15_ACC_Equity_Capital,Equity,0.0,0.0,0.0
0,2020-01,2,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,0.0,0.0
0,2020-01,2,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,0.0,0.0
0,2020-01,2,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,0.0,0.0
0,2020-01,2,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,0.0,0.0
0,2020-01,2,4,04_ACC_Cash_DPT_Admin,Asset,0.0,0.0,0.0
0,2020-01,2,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,0.0,0.0
0,2020-01,2,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,0.0,0.0
0,2020-01,2,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,0.0,0.0
0,2020-01,2,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,0.0,0.0
0,2020-01,2,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,0.0,0.0
0,2020-01,2,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0,0.0
0,2020-01,2,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0,0.0
0,2020-01,2,12,12_ACC_Cash,Asset,0.0,0.0,0.0
0,2020-01,2,13,13_ACC_Raw_Materials,Unknown,0.0,0.0,0.0
0,2020-01,2,14,14_ACC_Finished_Goods,Unknown,0.0,0.0,0.0
0,2020-01,2,15,15_ACC_Equity_Capital,Equity,0.0,0.0,0.0
1,2020-02,0,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,0.0,0.0
1,2020-02,0,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,0.0,0.0
1,2020-02,0,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,0.0,0.0
1,2020-02,0,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,0.0,0.0
1,2020-02,0,4,04_ACC_Cash_DPT_Admin,Asset,0.0,0.0,0.0
1,2020-02,0,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,0.0,0.0
1,2020-02,0,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,0.0,0.0
1,2020-02,0,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,0.0,0.0
1,2020-02,0,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,0.0,0.0
1,2020-02,0,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,0.0,0.0
1,2020-02,0,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0,0.0
1,2020-02,0,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0,0.0
1,2020-02,0,12,12_ACC_Cash,Asset,0.0,0.0,0.0
1,2020-02,0,13,13_ACC_Raw_Materials,Unknown,0.0,0.0,0.0
1,2020-02,0,14,14_ACC_Finished_Goods,Unknown,0.0,0.0,0.0
1,2020-02,0,15,15_ACC_Equity_Capital,Equity,0.0,0.0,0.0
1,2020-02,1,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,0.0,0.0
1,2020-02,1,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,0.0,0.0
1,2020-02,1,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,0.0,0.0
1,2020-02,1,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,0.0,0.0
1,2020-02,1,4,04_ACC_Cash_DPT_Admin,Asset,0.0,0.0,0.0
1,2020-02,1,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,0.0,0.0
1,2020-02,1,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,0.0,0.0
1,2020-02,1,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,0.0,0.0
1,2020-02,1,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,0.0,0.0
1,2020-02,1,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,0.0,0.0
1,2020-02,1,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0,0.0
1,2020-02,1,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0,0.0
1,2020-02,1,12,12_ACC_Cash,Asset,0.0,0.0,0.0
1,2020-02,1,13,13_ACC_Raw_Materials,Unknown,0.0,0.0,0.0
1,2020-02,1,14,14_ACC_Finished_Goods,Unknown,0.0,0.0,0.0
1,2020-02,1,15,15_ACC_Equity_Capital,Equity,0.0,0.0,0.0
1,2020-02,2,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,0.0,0.0
1,2020-02,2,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,0.0,0.0
1,2020-02,2,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,0.0,0.0
1,2020-02,2,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,0.0,0.0
1,2020-02,2,4,04_ACC_Cash_DPT_Admin,Asset,0.0,0.0,0.0
1,2020-02,2,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,0.0,0.0
1,2020-02,2,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,0.0,0.0
1,2020-02,2,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,0.0,0.0
1,2020-02,2,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,0.0,0.0
1,2020-02,2,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,0.0,0.0
1,2020-02,2,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,0.0,0.0
1,2020-02,2,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.0,0.0
1,2020-02,2,12,12_ACC_Cash,Asset,0.0,0.0,0.0
1,2020-02,2,13,13_ACC_Raw_Materials,Unknown,0.0,0.0,0.0
1,2020-02,2,14,14_ACC_Finished_Goods,Unknown,0.0,0.0,0.0
1,2020-02,2,15,15_ACC_Equity_Capital,Equity,0.0,0.0,0.0
2,2020-03,0,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,8970696870.778603,1.0,0.295985
2,2020-03,0,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,8970696870.778603,1.0,-0.75272
2,2020-03,0,2,02_ACC_COGS_DPT_Prod_A,Expense,8970696870.778603,1.0,-0.098238
2,2020-03,0,3,03_ACC_COGS_DPT_Prod_B,Expense,8970696870.778603,1.0,-0.167909
2,2020-03,0,4,04_ACC_Cash_DPT_Admin,Asset,8970696870.778603,1.0,-0.098618
2,2020-03,0,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,8970696870.778603,1.0,0.201288
2,2020-03,0,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,8970696870.778603,1.0,0.266481
2,2020-03,0,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,8970696870.778603,1.0,0.046774
2,2020-03,0,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,8970696870.778603,1.0,-0.108637
2,2020-03,0,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,8970696870.778603,1.0,0.415593
2,2020-03,0,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,8970696870.778603,1.0,0.0
