node_idx,node_label,dominant_frequency,spectral_power
9,09_ACC_Sales_Revenue_DPT_Sales,0.1667,16703890681.5817
1,01_ACC_Accounts_Receivable_DPT_Admin,0.1667,10788194574.8137
4,04_ACC_Cash_DPT_Admin,0.1667,3782556100.4584
5,05_ACC_Finished_Goods_DPT_Prod_A,0.1667,3651797186.4154
2,02_ACC_COGS_DPT_Prod_A,0.1667,2861426183.0281
0,00_ACC_Accounts_Payable_DPT_Admin,0.4167,1435061002.0466
6,06_ACC_Finished_Goods_DPT_Prod_B,0.1667,1354695955.502
10,10_ACC_Work_In_Process_DPT_Prod_A,0.1667,1291458599.3752
3,03_ACC_COGS_DPT_Prod_B,0.1667,844879194.4522
11,11_ACC_Work_In_Process_DPT_Prod_B,0.1667,357849417.4545
8,08_ACC_Raw_Materials_DPT_Ops,0.1667,204397578.1812
7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,0.0833,96844415.279
