t_idx,time_label,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,2020-01,4586809.32,3.0677,0.0,-143430.16,93390.81,0.0,4586809.32
1,2020-02,5151852.24,3.1658,296276.01,-174750.72,108823.13,0.0,4213899.326
2,2020-03,5563717.88,2.992,428722.4195,-150404.45,94871.38,0.0,4280982.5425
3,2020-04,5691650.96,3.2876,499558.7154,-84120.41,51753.08,0.0,4049318.4363
4,2020-05,5867342.46,3.3561,424523.549,-65006.12,42059.75,0.0,4442585.5373
5,2020-06,6133731.92,3.1836,390139.6169,-86939.38,52152.24,0.0,4891700.1163
6,2020-07,6626255.34,3.3505,404376.2576,-171223.56,106881.03,0.0,5271412.3581
7,2020-08,7126022.88,3.303,513710.0679,-184561.56,117609.03,0.0,5429244.6754
8,2020-09,7430435.36,3.1648,524362.657,-143446.59,88667.26,0.0,5770921.9125
9,2020-10,7563240.9,3.1308,463896.2728,-88749.03,56037.12,0.0,6110855.011
10,2020-11,7680968.52,3.2634,458573.4014,-56977.24,35300.41,0.0,6184462.9572
11,2020-12,7916715.16,2.0553,395804.3657,-84135.89,76330.13,0.0,7103201.8003
