t_idx,time_label,node_idx,node_label,account_category,curvature,density
0,2020-01,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,75433.08
0,2020-01,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,143430.16
0,2020-01,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,68432.69
0,2020-01,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,22442.71
0,2020-01,4,04_ACC_Cash_DPT_Admin,Asset,0.0,64027.5
0,2020-01,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,177606.5
0,2020-01,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,60727.99
0,2020-01,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,57066.71
0,2020-01,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,161380.08
0,2020-01,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,143430.16
0,2020-01,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,194131.94
0,2020-01,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,46234.94
0,2020-01,12,12_ACC_Cash,Asset,0.0,0.0
0,2020-01,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
0,2020-01,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
0,2020-01,15,15_ACC_Equity_Capital,Equity,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,0.0,71589.41
1,2020-02,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,0.0,210711.91
1,2020-02,2,02_ACC_COGS_DPT_Prod_A,Expense,0.0,72250.76
1,2020-02,3,03_ACC_COGS_DPT_Prod_B,Expense,0.0,37813.43
1,2020-02,4,04_ACC_Cash_DPT_Admin,Asset,0.0,115481.88
1,2020-02,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,0.0,191923.81
1,2020-02,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,0.0,63113.37
1,2020-02,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,0.0,62264.06
1,2020-02,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,0.0,135800.65
1,2020-02,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,0.0,174750.72
1,2020-02,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,202482.84
1,2020-02,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,23958.02
1,2020-02,12,12_ACC_Cash,Asset,0.0,0.0
1,2020-02,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
1,2020-02,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
1,2020-02,15,15_ACC_Equity_Capital,Equity,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,39645.85,139474.03
2,2020-03,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,100823.4,267483.4
2,2020-03,2,02_ACC_COGS_DPT_Prod_A,Expense,13158.55,62910.28
2,2020-03,3,03_ACC_COGS_DPT_Prod_B,Expense,22490.68,30693.47
2,2020-03,4,04_ACC_Cash_DPT_Admin,Asset,13209.38,270458.78
2,2020-03,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,26961.56,206885.58
2,2020-03,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,35693.98,56211.37
2,2020-03,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,6265.16,57795.45
2,2020-03,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,14551.37,156855.03
2,2020-03,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,55666.83,150404.45
2,2020-03,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,257820.3
2,2020-03,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,24638.28
2,2020-03,12,12_ACC_Cash,Asset,0.0,0.0
2,2020-03,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
2,2020-03,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
2,2020-03,15,15_ACC_Equity_Capital,Equity,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,139997.54,93450.17
3,2020-04,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,16133.22,256512.57
3,2020-04,2,02_ACC_COGS_DPT_Prod_A,Expense,19309.57,34260.23
3,2020-04,3,03_ACC_COGS_DPT_Prod_B,Expense,4656.02,18917.49
3,2020-04,4,04_ACC_Cash_DPT_Admin,Asset,108890.83,264935.75
3,2020-04,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,21579.17,161649.04
3,2020-04,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,7040.77,47038.1
3,2020-04,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,5200.96,60908.6
3,2020-04,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,49007.11,154991.36
3,2020-04,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,41937.77,84120.41
3,2020-04,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,219377.72
3,2020-04,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,29307.88
3,2020-04,12,12_ACC_Cash,Asset,0.0,0.0
3,2020-04,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
3,2020-04,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
3,2020-04,15,15_ACC_Equity_Capital,Equity,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,117522.84,128585.67
4,2020-05,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,152359.29,187521.95
4,2020-05,2,02_ACC_COGS_DPT_Prod_A,Expense,23277.14,28887.32
4,2020-05,3,03_ACC_COGS_DPT_Prod_B,Expense,3688.85,10830.36
4,2020-05,4,04_ACC_Cash_DPT_Admin,Asset,204881.51,253915.15
4,2020-05,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,28138.37,134828.41
4,2020-05,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,2660.13,47902.66
4,2020-05,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,6458.98,61777.81
4,2020-05,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,25777.6,142541.81
4,2020-05,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,47169.75,65006.12
4,2020-05,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,185345.26
4,2020-05,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,41245.78
4,2020-05,12,12_ACC_Cash,Asset,0.0,0.0
4,2020-05,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
4,2020-05,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
4,2020-05,15,15_ACC_Equity_Capital,Equity,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,41551.34,130727.03
5,2020-06,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,8742.74,191883.69
5,2020-06,2,02_ACC_COGS_DPT_Prod_A,Expense,16838.89,40353.3
5,2020-06,3,03_ACC_COGS_DPT_Prod_B,Expense,10754.67,13497.9
5,2020-06,4,04_ACC_Cash_DPT_Admin,Asset,66846.5,240657.67
5,2020-06,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,20923.67,162609.23
5,2020-06,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,26135.97,44140.59
5,2020-06,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,7807.74,61521.48
