t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,5.1244,0.0000,1
2,0.0000,6.3408,0.8102,1
3,0.0000,4.5534,0.5416,1
4,0.0000,4.5787,1.1977,1
5,0.0000,4.7798,1.8424,1
6,0.0000,5.1459,2.0590,1
7,0.0000,4.9950,1.9848,1
8,0.0000,4.5806,3.9784,1
9,0.0000,7.4164,4.0831,1
10,0.0000,4.0091,9.3212,1
11,0.0000,4.7915,3.4826,1
12,0.0000,5.3078,3.7830,1
13,0.0000,3.8766,3.6820,1
14,0.0000,5.0508,4.1872,1
15,0.0000,3.7600,3.4279,1
16,0.0000,2.6684,5.3438,1
17,0.0000,9.2306,7.2251,1
18,0.0000,3.7444,4.9941,1
19,0.0000,4.6818,5.9485,1
20,0.0000,2.7981,7.7109,1
21,0.0000,5.0963,4.5584,1
22,0.0000,3.6611,8.9285,1
23,0.0000,2.8987,3.6947,1
24,0.0000,10.3674,3.7363,1
25,0.0000,4.5828,4.7578,1
26,0.0000,7.1556,7.5392,1
27,0.0000,4.8623,4.6084,1
28,0.0000,2.1636,6.9677,1
29,0.0000,4.9737,9.4998,1
30,0.0000,3.2865,14.5851,1
31,0.0000,2.7381,4.3511,1
32,0.0000,6.2384,7.1892,1
33,0.0000,3.9416,3.5256,1
34,0.0000,2.2918,5.5194,1
35,0.0000,2.4849,3.9828,1
36,0.0000,4.2124,3.0025,1
37,0.0000,4.0025,11.5099,1
38,0.0000,6.6038,4.2870,1
39,0.0000,5.0109,5.9826,1
40,0.0000,5.6055,4.0980,1
41,0.0000,4.9687,9.0187,1
42,0.0000,2.7399,4.7493,1
43,0.0000,4.7646,8.0864,1
44,0.0000,4.5950,5.1389,1
45,0.0000,8.6264,2.7331,1
46,0.0000,2.1809,7.5033,1
47,0.0000,6.4052,3.5400,1
48,0.0000,5.9607,2.0492,1
49,0.0000,6.0015,7.3530,1
50,0.0000,6.9338,3.4122,1
51,0.0000,6.8729,3.9856,1
