t_idx,node_idx,curvature,density
0,0,0.000000,32978537.0000
0,1,0.000000,13436287.2800
0,2,0.000000,13114765.7100
0,3,0.000000,11019096.8100
0,4,0.000000,11787481.7500
0,5,0.000000,7086388.2800
0,6,0.000000,9499781.3400
0,7,0.000000,12866696.9200
0,8,0.000000,10335289.8000
0,9,0.000000,10891963.7700
0,10,0.000000,1169329.9800
0,11,0.000000,8197702.2800
0,12,0.000000,24391779.6200
0,13,0.000000,10068532.2200
0,14,0.000000,39627275.1200
1,0,0.000000,38025504.9200
1,1,0.000000,13236754.8100
1,2,0.000000,12302291.4300
1,3,0.000000,15227527.3500
1,4,0.000000,9884801.2600
1,5,0.000000,20889382.5800
1,6,0.000000,9100760.1200
1,7,0.000000,10752763.9600
1,8,0.000000,16332595.0400
1,9,0.000000,10552298.5300
1,10,0.000000,2527587.9800
1,11,0.000000,11627251.4000
1,12,0.000000,21353522.5000
1,13,0.000000,12157940.7800
1,14,0.000000,55841870.3000
2,0,0.000000,41703755.9000
2,1,14545139.370000,14398950.8100
2,2,15576456.220000,6610848.9500
2,3,1153862.310000,14428859.7600
2,4,15096841.720000,20289084.0500
2,5,5255883.930000,12544438.8700
2,6,2753427.630000,24158240.2100
2,7,2628501.720000,9894911.7200
2,8,3855345.680000,16803206.3600
2,9,3450795.830000,24094037.9600
2,10,0.000000,3751724.3400
2,11,2782287.650000,17195866.7900
2,12,0.000000,28175996.0600
2,13,0.000000,19386589.3400
2,14,0.000000,67400379.8400
3,0,0.000000,41245504.7400
3,1,14829228.070000,19316957.4400
3,2,8181603.020000,15662232.3700
3,3,418966.570000,7170196.1600
3,4,19892468.330000,17434497.3300
3,5,659428.010000,12647154.4300
3,6,6730321.160000,12093533.5200
3,7,4306552.830000,7708176.6300
3,8,7073936.670000,15135942.3700
3,9,1457731.190000,11492749.0600
3,10,0.000000,4939404.8800
3,11,8049946.110000,13104303.8900
3,12,0.000000,27092330.4200
3,13,0.000000,12153677.5600
3,14,0.000000,46334825.6000
4,0,0.000000,42605958.5200
4,1,7596433.740000,24263461.5100
4,2,2944025.200000,21467561.3100
4,3,162559.870000,5365865.1700
4,4,12576228.730000,12947970.8800
4,5,3187413.990000,5849924.5600
4,6,4209954.110000,16776847.2600
4,7,3394812.910000,14951694.2100
4,8,13011645.200000,14543206.8800
4,9,4426844.950000,16583488.3300
4,10,0.000000,3280329.4400
4,11,10277094.260000,17667306.7900
4,12,0.000000,20745793.7600
4,13,0.000000,14791023.8600
4,14,0.000000,68994221.3200
5,0,0.000000,69677148.9400
5,1,721715.120000,89289025.5400
5,2,4468968.860000,13603718.5700
5,3,2507726.150000,19155147.2500
5,4,7581737.430000,16678538.3800
5,5,10225805.420000,85962304.6900
5,6,459368.340000,20350279.2000
5,7,456847.740000,10675018.6900
5,8,19637970.850000,20859704.9600
5,9,2141847.800000,20624636.3600
5,10,0.000000,3696160.8400
5,11,8012350.530000,18734662.0800
5,12,0.000000,30866666.7800
5,13,0.000000,16324780.7200
5,14,0.000000,195368278.4400
6,0,0.000000,36675035.3600
6,1,4415691.220000,12642616.7500
6,2,6485577.920000,10387818.6300
6,3,2645362.570000,21375161.4200
6,4,3991007.500000,13786434.4800
6,5,16493319.260000,18633495.5600
6,6,2754000.240000,8537277.1600
6,7,2024566.160000,8107076.9100
6,8,16610642.180000,11389900.1400
6,9,9512504.290000,18844508.2600
6,10,0.000000,2338845.4200
6,11,1435729.180000,11684369.5700
6,12,0.000000,26034376.5400
6,13,0.000000,15648265.2800
6,14,0.000000,54692136.2800
7,0,0.000000,56688534.5000
7,1,2960744.730000,12501520.1300
7,2,3309606.450000,21895874.0400
7,3,18283188.040000,19271699.7900
7,4,1489589.380000,16144031.7000
7,5,10905589.360000,27694266.1900
7,6,5006537.720000,13555120.5800
7,7,3088531.520000,6825176.6900
7,8,5533256.200000,12455730.4200
7,9,4700930.340000,17657325.0200
7,10,0.000000,3127774.0400
7,11,10657443.640000,28218883.5200
7,12,0.000000,25518562.6600
7,13,0.000000,46445806.0200
7,14,0.000000,44438950.8600
8,0,0.000000,41900601.0000
8,1,2127014.890000,15918930.2600
8,2,5286406.780000,17427262.7900
8,3,22747943.370000,14144828.5100
8,4,5011006.370000,11544536.3500
8,5,2639270.390000,11653642.2700
8,6,1116.030000,8033769.7500
8,7,3865921.160000,10138424.0500
8,8,1302846.100000,12721572.9200
8,9,11415406.030000,7990755.3100
8,10,0.000000,2992311.7600
8,11,14301706.180000,16032300.1900
8,12,0.000000,19671023.6400
8,13,0.000000,18975415.2200
8,14,0.000000,42066670.7800
9,0,0.000000,45431236.5000
9,1,7220352.590000,9123816.2200
