Timestamp,Src,Tgt,Transaction_Amount
2020-01,USR_005,USR_004,737803.08
2020-01,ACC_Input_From_Outside,USR_006,369199.12
2020-01,ACC_Input_From_Outside,USR_010,587780.68
2020-01,ACC_Input_From_Outside,USR_002,559269.3099999999
2020-01,USR_010,USR_004,1405373.24
2020-01,USR_010,ACC_Output_To_Outside,166408.43
2020-01,USR_009,ACC_Output_To_Outside,201851.9
2020-01,USR_001,ACC_Output_To_Outside,201851.9
2020-01,USR_008,USR_004,754180.14
2020-01,USR_004,USR_003,38581097.39
2020-01,USR_003,USR_007,168223.0
2020-01,USR_008,USR_003,196961.07
2020-01,USR_003,USR_004,31669245.810000002
2020-01,USR_002,ACC_Output_To_Outside,36218.88
2020-01,USR_008,ACC_Output_To_Outside,43857.21
2020-01,USR_005,ACC_Output_To_Outside,9324.22
2020-01,USR_004,USR_009,561382.0
2020-01,ACC_Input_From_Outside,USR_005,160426.68
2020-01,ACC_Input_From_Outside,USR_008,200755.23
2020-01,ACC_Input_From_Outside,USR_001,459789.9
2020-01,ACC_Input_From_Outside,USR_007,160426.68
2020-01,ACC_Input_From_Outside,USR_009,482600.62
2020-01,USR_006,ACC_Output_To_Outside,7638.33
2020-01,USR_009,USR_004,1369268.46
2020-01,USR_004,USR_005,456996.06
2020-01,USR_003,USR_009,718694.76
2020-01,USR_004,USR_008,216635.4
2020-01,USR_005,USR_003,774505.96
2020-01,USR_003,USR_005,321761.4
2020-01,USR_006,USR_004,169828.56
2020-01,USR_007,USR_004,155032.64
2020-01,USR_006,USR_003,1273697.37
2020-01,USR_001,USR_004,3843519.12
2020-01,USR_004,USR_006,581449.5
2020-02,USR_004,USR_005,1533202.6600000001
2020-02,USR_004,USR_010,1956459.01
2020-02,USR_003,USR_004,35617480.519999996
2020-02,USR_004,USR_003,27790963.82
2020-02,USR_006,USR_004,909402.49
2020-02,ACC_Input_From_Outside,USR_005,88128.32
2020-02,ACC_Input_From_Outside,USR_007,110470.85
2020-02,ACC_Input_From_Outside,USR_006,184325.2
