Timestamp,Src,Tgt,Transaction_Amount
2020-W01,STK_004,USR_003,455153.6
2020-W01,USR_009,STK_004,455153.6
2020-W01,STK_005,USR_005,296204.25
2020-W01,USR_003,STK_005,296204.25
2020-W01,STK_003,USR_004,280984.44
2020-W01,USR_007,STK_003,280984.44
2020-W01,STK_001,USR_008,151809.68
2020-W01,USR_003,STK_001,151809.68
2020-W02,STK_001,USR_008,465896.56
2020-W02,USR_003,STK_001,465896.56
2020-W02,USR_006,STK_004,380022.61
2020-W02,STK_004,USR_003,380022.61
2020-W02,STK_002,USR_005,88691.25
2020-W02,USR_003,STK_002,265968.89
2020-W02,USR_004,STK_005,1066982.73
2020-W02,STK_005,USR_007,1220514.13
2020-W02,USR_004,STK_003,5433808.95
2020-W02,STK_003,USR_005,353569.86
2020-W02,USR_003,STK_005,153531.4
2020-W02,USR_003,STK_003,8553907.19
2020-W02,STK_003,USR_004,8553907.19
2020-W02,STK_003,USR_003,5080239.09
2020-W02,STK_002,USR_006,217433.37
2020-W02,USR_004,STK_002,40155.73
2020-W03,USR_003,STK_004,207567.36
2020-W03,STK_004,USR_006,392009.31
2020-W03,USR_004,STK_004,184441.95
2020-W04,STK_003,USR_004,81111776.39999999
2020-W04,USR_002,STK_003,75368779.32
2020-W04,STK_003,USR_003,20366048.580000002
2020-W04,USR_005,STK_003,888330.6
2020-W04,USR_006,STK_003,322292.33
2020-W04,USR_007,STK_003,21445.9
2020-W04,USR_010,STK_003,1076648.13
2020-W04,USR_004,STK_003,18057331.62
2020-W04,USR_005,STK_002,80144.22
2020-W04,STK_002,USR_003,80144.22
2020-W04,USR_003,STK_003,6091139.2
2020-W04,STK_003,USR_005,346594.5
2020-W04,STK_003,USR_008,1547.62
2020-W04,USR_003,STK_002,145309.15
2020-W04,STK_002,USR_005,145309.15
2020-W05,STK_001,USR_003,1369169.77
2020-W05,USR_006,STK_001,973454.41
2020-W05,STK_003,USR_004,30600226.619999997
2020-W05,USR_001,STK_003,14299314.12
2020-W05,STK_003,USR_003,22084462.869999997
2020-W05,USR_004,STK_003,22084462.869999997
2020-W05,USR_009,STK_001,395715.36
2020-W05,STK_004,USR_003,540282.96
2020-W05,USR_008,STK_004,540282.96
2020-W05,USR_003,STK_003,16300912.5
2020-W05,STK_001,USR_005,477414.08
2020-W05,USR_004,STK_001,477414.08
2020-W05,USR_003,STK_005,579953.22
2020-W05,STK_005,USR_009,579953.22
2020-W05,STK_005,USR_003,350739.48
2020-W05,USR_007,STK_005,350739.48
2020-W06,USR_003,STK_003,20953844.6
2020-W06,STK_003,USR_004,20953844.6
2020-W06,USR_004,STK_003,25997956.41
2020-W06,STK_003,USR_003,25414829.4
2020-W06,STK_003,USR_008,282261.21
2020-W06,USR_009,STK_004,156020.91
2020-W06,STK_004,USR_003,156020.91
2020-W06,USR_006,STK_001,661341.52
2020-W06,STK_001,USR_004,661341.52
2020-W06,STK_003,USR_010,300865.8
2020-W06,USR_003,STK_004,266878.3
2020-W06,STK_004,USR_007,266878.3
2020-W07,STK_004,USR_004,528636.68
2020-W07,USR_010,STK_004,528636.68
2020-W07,STK_004,USR_003,185634.41999999998
2020-W07,USR_006,STK_004,109541.76
2020-W07,STK_003,USR_004,22540209.38
