Timestamp,Src,Tgt,Transaction_Amount,Asset_Type,Price,Memo,Transaction_ID
2020-01-01T14:48:41,USR_005,USR_004,737803.08,CASH,1.00,Normal,M_000001
2020-01-02T09:05:27,ACC_Input_From_Outside,USR_006,191254.61,CASH,1.00,External_Inflow,EX_IN_000002
2020-01-02T09:23:13,ACC_Input_From_Outside,USR_010,191254.61,CASH,1.00,External_Inflow,EX_IN_000004
2020-01-02T09:27:02,ACC_Input_From_Outside,USR_002,191254.61,CASH,1.00,External_Inflow,EX_IN_000003
2020-01-02T12:10:17,USR_010,USR_004,1218236.50,CASH,1.00,Normal,M_000005
2020-01-03T09:06:47,USR_010,ACC_Output_To_Outside,157994.69,CASH,1.00,External_Outflow,EX_OUT_000008
2020-01-03T09:17:19,USR_009,ACC_Output_To_Outside,157994.69,CASH,1.00,External_Outflow,EX_OUT_000006
2020-01-03T09:20:47,USR_001,ACC_Output_To_Outside,157994.69,CASH,1.00,External_Outflow,EX_OUT_000007
2020-01-03T14:39:51,USR_008,USR_004,279453.24,CASH,1.00,Normal,M_000009
2020-01-03T15:30:00,USR_004,USR_003,5080228.88,CASH,1.00,MM_Balance,M_000010
2020-01-04T12:30:27,USR_003,USR_007,168223.00,CASH,1.00,Normal,M_000012
2020-01-04T14:32:30,USR_008,USR_003,196961.07,CASH,1.00,Normal,M_000011
2020-01-04T15:34:00,USR_003,USR_004,3110494.66,CASH,1.00,MM_Balance,M_000013
2020-01-06T09:00:30,USR_002,ACC_Output_To_Outside,36218.88,CASH,1.00,External_Outflow,EX_OUT_000017
2020-01-06T09:03:11,USR_010,ACC_Output_To_Outside,8413.74,CASH,1.00,External_Outflow,EX_OUT_000018
2020-01-06T09:18:27,USR_001,ACC_Output_To_Outside,36218.88,CASH,1.00,External_Outflow,EX_OUT_000015
2020-01-06T09:22:15,USR_008,ACC_Output_To_Outside,36218.88,CASH,1.00,External_Outflow,EX_OUT_000014
2020-01-06T09:25:43,USR_009,ACC_Output_To_Outside,36218.88,CASH,1.00,External_Outflow,EX_OUT_000019
2020-01-06T09:28:32,USR_005,ACC_Output_To_Outside,1685.89,CASH,1.00,External_Outflow,EX_OUT_000016
2020-01-06T13:38:29,USR_004,USR_009,561382.00,CASH,1.00,Normal,M_000020
2020-01-07T09:01:56,ACC_Input_From_Outside,USR_005,40192.50,CASH,1.00,External_Inflow,EX_IN_000021
2020-01-07T09:02:19,ACC_Input_From_Outside,USR_008,40192.50,CASH,1.00,External_Inflow,EX_IN_000028
2020-01-07T09:02:20,ACC_Input_From_Outside,USR_001,40192.50,CASH,1.00,External_Inflow,EX_IN_000026
2020-01-07T09:02:44,ACC_Input_From_Outside,USR_007,40192.50,CASH,1.00,External_Inflow,EX_IN_000023
2020-01-07T09:06:20,ACC_Input_From_Outside,USR_009,40192.50,CASH,1.00,External_Inflow,EX_IN_000025
2020-01-07T09:17:20,ACC_Input_From_Outside,USR_010,40192.50,CASH,1.00,External_Inflow,EX_IN_000022
2020-01-07T09:20:18,ACC_Input_From_Outside,USR_006,40192.50,CASH,1.00,External_Inflow,EX_IN_000027
2020-01-07T09:29:03,ACC_Input_From_Outside,USR_002,40192.50,CASH,1.00,External_Inflow,EX_IN_000024
2020-01-08T09:02:30,USR_006,ACC_Output_To_Outside,7638.33,CASH,1.00,External_Outflow,EX_OUT_000029
2020-01-08T09:07:16,USR_008,ACC_Output_To_Outside,7638.33,CASH,1.00,External_Outflow,EX_OUT_000031
2020-01-08T09:09:03,USR_001,ACC_Output_To_Outside,7638.33,CASH,1.00,External_Outflow,EX_OUT_000033
2020-01-08T09:17:16,USR_009,ACC_Output_To_Outside,7638.33,CASH,1.00,External_Outflow,EX_OUT_000032
2020-01-08T09:18:21,USR_005,ACC_Output_To_Outside,7638.33,CASH,1.00,External_Outflow,EX_OUT_000030
2020-01-10T09:05:30,ACC_Input_From_Outside,USR_006,2412.10,CASH,1.00,External_Inflow,EX_IN_000036
2020-01-10T09:08:56,ACC_Input_From_Outside,USR_001,2412.10,CASH,1.00,External_Inflow,EX_IN_000035
2020-01-10T09:21:44,ACC_Input_From_Outside,USR_010,2412.10,CASH,1.00,External_Inflow,EX_IN_000034
2020-01-10T13:24:43,USR_009,USR_004,1167329.24,CASH,1.00,Normal,M_000037
2020-01-11T09:13:52,ACC_Input_From_Outside,USR_001,114585.92,CASH,1.00,External_Inflow,EX_IN_000039
2020-01-11T09:21:11,ACC_Input_From_Outside,USR_009,114585.92,CASH,1.00,External_Inflow,EX_IN_000040
2020-01-11T09:29:51,ACC_Input_From_Outside,USR_010,114585.92,CASH,1.00,External_Inflow,EX_IN_000038
2020-01-12T10:07:54,USR_009,USR_004,201939.22,CASH,1.00,Normal,M_000041
2020-01-13T09:10:42,ACC_Input_From_Outside,USR_009,25222.82,CASH,1.00,External_Inflow,EX_IN_000044
2020-01-13T09:14:53,ACC_Input_From_Outside,USR_008,25222.82,CASH,1.00,External_Inflow,EX_IN_000045
2020-01-13T09:20:41,ACC_Input_From_Outside,USR_007,25222.82,CASH,1.00,External_Inflow,EX_IN_000046
2020-01-13T09:24:52,ACC_Input_From_Outside,USR_005,25222.82,CASH,1.00,External_Inflow,EX_IN_000042
2020-01-13T09:26:50,ACC_Input_From_Outside,USR_002,25222.82,CASH,1.00,External_Inflow,EX_IN_000043
2020-01-13T12:11:28,USR_004,USR_005,456996.06,CASH,1.00,Normal,M_000048
2020-01-13T12:30:19,USR_003,USR_009,718694.76,CASH,1.00,Normal,M_000047
2020-01-15T09:01:34,ACC_Input_From_Outside,USR_010,31747.53,CASH,1.00,External_Inflow,EX_IN_000049
2020-01-15T09:02:29,ACC_Input_From_Outside,USR_009,31747.53,CASH,1.00,External_Inflow,EX_IN_000055
2020-01-15T09:08:21,ACC_Input_From_Outside,USR_005,31747.53,CASH,1.00,External_Inflow,EX_IN_000050
2020-01-15T09:15:32,ACC_Input_From_Outside,USR_008,31747.53,CASH,1.00,External_Inflow,EX_IN_000056
2020-01-15T09:16:13,ACC_Input_From_Outside,USR_006,31747.53,CASH,1.00,External_Inflow,EX_IN_000051
