Trans_Date,Src,Tgt,Amount
2020-01-01,IchijoHorikawa,NijoHorikawa,84
2020-01-01,NijoHorikawa,IchijoHorikawa,90
2020-01-01,IchijoHorikawa,IchijoShinmachi,70
2020-01-01,IchijoShinmachi,IchijoHorikawa,78
2020-01-01,IchijoShinmachi,NijoShinmachi,77
2020-01-01,NijoShinmachi,IchijoShinmachi,102
2020-01-01,IchijoShinmachi,IchijoMuromachi,83
2020-01-01,IchijoMuromachi,IchijoShinmachi,89
2020-01-01,IchijoMuromachi,NijoMuromachi,82
2020-01-01,NijoMuromachi,IchijoMuromachi,97
2020-01-01,IchijoMuromachi,IchijoKarasuma,103
2020-01-01,IchijoKarasuma,IchijoMuromachi,94
2020-01-01,IchijoKarasuma,NijoKarasuma,103
2020-01-01,NijoKarasuma,IchijoKarasuma,90
2020-01-01,IchijoKarasuma,IchijoKurumaya,96
2020-01-01,IchijoKurumaya,IchijoKarasuma,103
2020-01-01,IchijoKurumaya,NijoKurumaya,107
2020-01-01,NijoKurumaya,IchijoKurumaya,96
2020-01-01,NijoHorikawa,SanjoHorikawa,88
2020-01-01,SanjoHorikawa,NijoHorikawa,85
2020-01-01,NijoHorikawa,NijoShinmachi,105
2020-01-01,NijoShinmachi,NijoHorikawa,77
2020-01-01,NijoShinmachi,SanjoShinmachi,82
2020-01-01,SanjoShinmachi,NijoShinmachi,100
2020-01-01,NijoShinmachi,NijoMuromachi,96
2020-01-01,NijoMuromachi,NijoShinmachi,107
2020-01-01,NijoMuromachi,SanjoMuromachi,101
2020-01-01,SanjoMuromachi,NijoMuromachi,90
2020-01-01,NijoMuromachi,NijoKarasuma,85
2020-01-01,NijoKarasuma,NijoMuromachi,99
2020-01-01,NijoKarasuma,SanjoKarasuma,108
2020-01-01,SanjoKarasuma,NijoKarasuma,111
2020-01-01,NijoKarasuma,NijoKurumaya,98
2020-01-01,NijoKurumaya,NijoKarasuma,95
2020-01-01,NijoKurumaya,SanjoKurumaya,112
2020-01-01,SanjoKurumaya,NijoKurumaya,85
2020-01-01,SanjoHorikawa,ShijoHorikawa,81
2020-01-01,ShijoHorikawa,SanjoHorikawa,93
2020-01-01,SanjoHorikawa,SanjoShinmachi,86
2020-01-01,SanjoShinmachi,SanjoHorikawa,84
2020-01-01,SanjoShinmachi,ShijoShinmachi,105
2020-01-01,ShijoShinmachi,SanjoShinmachi,100
2020-01-01,SanjoShinmachi,SanjoMuromachi,107
2020-01-01,SanjoMuromachi,SanjoShinmachi,85
2020-01-01,SanjoMuromachi,ShijoMuromachi,114
2020-01-01,ShijoMuromachi,SanjoMuromachi,101
2020-01-01,SanjoMuromachi,SanjoKarasuma,96
2020-01-01,SanjoKarasuma,SanjoMuromachi,97
2020-01-01,SanjoKarasuma,ShijoKarasuma,107
2020-01-01,ShijoKarasuma,SanjoKarasuma,124
2020-01-01,SanjoKarasuma,SanjoKurumaya,125
2020-01-01,SanjoKurumaya,SanjoKarasuma,100
2020-01-01,SanjoKurumaya,ShijoKurumaya,95
2020-01-01,ShijoKurumaya,SanjoKurumaya,94
2020-01-01,ShijoHorikawa,GojoHorikawa,111
2020-01-01,GojoHorikawa,ShijoHorikawa,108
2020-01-01,ShijoHorikawa,ShijoShinmachi,93
2020-01-01,ShijoShinmachi,ShijoHorikawa,91
2020-01-01,ShijoShinmachi,GojoShinmachi,103
2020-01-01,GojoShinmachi,ShijoShinmachi,102
2020-01-01,ShijoShinmachi,ShijoMuromachi,109
2020-01-01,ShijoMuromachi,ShijoShinmachi,94
2020-01-01,ShijoMuromachi,GojoMuromachi,121
2020-01-01,GojoMuromachi,ShijoMuromachi,103
2020-01-01,ShijoMuromachi,ShijoKarasuma,107
2020-01-01,ShijoKarasuma,ShijoMuromachi,98
2020-01-01,ShijoKarasuma,GojoKarasuma,108
2020-01-01,GojoKarasuma,ShijoKarasuma,120
2020-01-01,ShijoKarasuma,ShijoKurumaya,125
2020-01-01,ShijoKurumaya,ShijoKarasuma,112
2020-01-01,ShijoKurumaya,GojoKurumaya,123
2020-01-01,GojoKurumaya,ShijoKurumaya,96
2020-01-01,GojoHorikawa,GojoShinmachi,84
2020-01-01,GojoShinmachi,GojoHorikawa,96
2020-01-01,GojoShinmachi,GojoMuromachi,111
2020-01-01,GojoMuromachi,GojoShinmachi,93
2020-01-01,GojoMuromachi,GojoKarasuma,109
2020-01-01,GojoKarasuma,GojoMuromachi,96
2020-01-01,GojoKarasuma,GojoKurumaya,121
2020-01-01,GojoKurumaya,GojoKarasuma,108
2020-01-02,IchijoHorikawa,NijoHorikawa,93
2020-01-02,NijoHorikawa,IchijoHorikawa,71
2020-01-02,IchijoHorikawa,IchijoShinmachi,74
2020-01-02,IchijoShinmachi,IchijoHorikawa,71
2020-01-02,IchijoShinmachi,NijoShinmachi,82
2020-01-02,NijoShinmachi,IchijoShinmachi,85
2020-01-02,IchijoShinmachi,IchijoMuromachi,98
2020-01-02,IchijoMuromachi,IchijoShinmachi,93
2020-01-02,IchijoMuromachi,NijoMuromachi,90
2020-01-02,NijoMuromachi,IchijoMuromachi,81
2020-01-02,IchijoMuromachi,IchijoKarasuma,87
2020-01-02,IchijoKarasuma,IchijoMuromachi,93
2020-01-02,IchijoKarasuma,NijoKarasuma,103
2020-01-02,NijoKarasuma,IchijoKarasuma,103
2020-01-02,IchijoKarasuma,IchijoKurumaya,88
2020-01-02,IchijoKurumaya,IchijoKarasuma,104
2020-01-02,IchijoKurumaya,NijoKurumaya,108
2020-01-02,NijoKurumaya,IchijoKurumaya,110
2020-01-02,NijoHorikawa,SanjoHorikawa,87
2020-01-02,SanjoHorikawa,NijoHorikawa,105
2020-01-02,NijoHorikawa,NijoShinmachi,85
2020-01-02,NijoShinmachi,NijoHorikawa,94
2020-01-02,NijoShinmachi,SanjoShinmachi,88
2020-01-02,SanjoShinmachi,NijoShinmachi,83
2020-01-02,NijoShinmachi,NijoMuromachi,97
2020-01-02,NijoMuromachi,NijoShinmachi,84
2020-01-02,NijoMuromachi,SanjoMuromachi,96
