"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2022/10/31","手数料","-110","MUFJ","その他","雑費","","0","vOWvflCaZuXAbWBZHVfrg8_qY2fvUlVNUnwAT8U4Ng4"
"1","2022/10/31","カードC1 セブンギンコウATM","-50000","MUFJ","現金・カード","ATM引き出し","","0","Ldr__thbjBY0cdkaR-YE-COAs6EqtS5deBVqoybb1Mc"
"1","2022/10/26","口座振替3 ミツイスミトモカ-ド","-48921","MUFJ","現金・カード","カード引き落とし","","0","WfpF138x4gWxQzcRA6y2VcV6sTrLd0S4wAXBexYQbPA"
"1","2022/10/25","振込2 カ)フユ-ジヨンズ","370710","MUFJ","収入","給与","","0","IzfYeI49iiMnMR43Ur5f7jIZVE7QkvCngoA_3fxUzlA"
"1","2022/10/11","電話 Dカ-ド","-29183","MUFJ","通信費","携帯電話","","0","6hZtYlbQPQrWvx6UFDgLshiSbZf__hhEovYDxdyBeQw"
"1","2022/10/05","口座振替3 UC","-209790","MUFJ","現金・カード","カード引き落とし","","0","fJdnVkoGRnthiWClll7c6vFM4r780r63fuoaOQqPG1g"
"1","2022/11/28","口座振替3 ミツイスミトモカ-ド","-75700","MUFJ","現金・カード","カード引き落とし","","0","MS8rqKCPWm4HLvdtyFzzAEgnI45swfUm7ZnGE34YJ_w"
"1","2022/11/25","振込2 カ)フユ-ジヨンズ","370710","MUFJ","収入","給与","","0","YwtuLNyz7kseJC-jodrrJfy9Hg17pXAASEJ3DdPcQTY"
"1","2022/11/10","電話 Dカ-ド","-44237","MUFJ","通信費","携帯電話","","0","maAnWi8FczJ3lZaYR0FX2U6-9Pn2PsctGgLxop_JYaQ"
"1","2022/11/07","口座振替3 UC","-443521","MUFJ","現金・カード","カード引き落とし","","0","hBJgDSmCFwF1BQucxR1BqUuwv44GLhUppBC9Vx0pSYg"
"1","2022/12/27","カ-ド","-70000","MUFJ","現金・カード","ATM引き出し","","0","hpcYdRui3PBL7k3c2Y59FHBTLi-jeDCpgqMo398f7eY"
"1","2022/12/26","口座振替3 ミツイスミトモカ-ド","-41539","MUFJ","現金・カード","カード引き落とし","","0","OXYnYcG0769NEJkzdUp3GFwH2ZsrYzDQKaRyTvMBlDY"
