Date,Source,Target,Amount
2000-09-01,US_Economy,US10Y,-0.03000000000000025
2000-09-01,US_Economy,SP500,-81.1700439453125
2000-09-01,US_Economy,US_Unemployment,-0.19999999999999973
2000-09-01,US_Economy,US_Inflation,0.9000000000000057
2000-09-01,US_Economy,US_Production,0.42710000000001
2000-09-01,US_Economy,Copper,0.03049999475479115
2000-09-01,US_Economy,Oil,-2.239997863769535
2000-10-01,US_Economy,US10Y,-0.05999999999999961
2000-10-01,US_Economy,SP500,-7.1099853515625
2000-10-01,US_Economy,US_Inflation,0.30000000000001137
2000-10-01,US_Economy,US_Production,-0.36129999999999995
2000-11-01,US_Economy,US10Y,-0.020000000000000462
2000-11-01,US_Economy,SP500,-114.4500732421875
2000-11-01,US_Economy,US_Inflation,0.29999999999998295
2000-11-01,US_Economy,US_Production,0.02589999999999293
2000-11-01,US_Economy,Copper,-0.07449996471405018
2000-11-01,US_Economy,Oil,2.939998626708988
2000-12-01,US_Economy,US10Y,-0.47999999999999954
2000-12-01,US_Economy,SP500,5.330078125
2000-12-01,US_Economy,US_Inflation,0.4000000000000057
2000-12-01,US_Economy,US_Production,-0.30230000000000246
2000-12-01,US_Economy,Copper,0.0054999589920043945
2000-12-01,US_Economy,Oil,-7.0
2001-01-01,US_Economy,US10Y,-0.08000000000000007
2001-01-01,US_Economy,SP500,45.72998046875
2001-01-01,US_Economy,US_Unemployment,0.30000000000000027
2001-01-01,US_Economy,US_Inflation,1.0
2001-01-01,US_Economy,US_Production,-0.43949999999999534
2001-01-01,US_Economy,Copper,0.0020000338554382324
2001-01-01,US_Economy,Oil,1.9000015258789062
2001-02-01,US_Economy,US10Y,-0.0600000000000005
2001-02-01,US_Economy,SP500,-126.070068359375
2001-02-01,US_Economy,US_Inflation,0.4000000000000057
2001-02-01,US_Economy,US_Production,-0.5986000000000047
2001-02-01,US_Economy,Copper,-0.03850001096725464
2001-02-01,US_Economy,Oil,-1.2800006866455078
2001-03-01,US_Economy,US10Y,-0.20999999999999996
2001-03-01,US_Economy,SP500,-79.6099853515625
2001-03-01,US_Economy,US_Unemployment,0.09999999999999964
2001-03-01,US_Economy,US_Inflation,0.09999999999999432
2001-03-01,US_Economy,US_Production,-0.18719999999999004
2001-03-01,US_Economy,Copper,-0.051500022411346436
2001-03-01,US_Economy,Oil,-1.0200004577636719
2001-04-01,US_Economy,US10Y,0.25
2001-04-01,US_Economy,SP500,89.1300048828125
2001-04-01,US_Economy,US_Unemployment,0.10000000000000053
2001-04-01,US_Economy,US_Inflation,0.30000000000001137
2001-04-01,US_Economy,US_Production,-0.3271000000000015
2001-05-01,US_Economy,US10Y,0.25
2001-05-01,US_Economy,SP500,6.3599853515625
2001-05-01,US_Economy,US_Unemployment,-0.10000000000000053
2001-05-01,US_Economy,US_Inflation,0.9000000000000057
2001-05-01,US_Economy,US_Production,-0.43359999999999843
2001-05-01,US_Economy,Copper,-0.0065000057220458984
2001-05-01,US_Economy,Oil,1.970001220703125
2001-06-01,US_Economy,US10Y,-0.10999999999999943
2001-06-01,US_Economy,SP500,-31.43994140625
2001-06-01,US_Economy,US_Unemployment,0.20000000000000018
2001-06-01,US_Economy,US_Inflation,0.39999999999997726
2001-06-01,US_Economy,US_Production,-0.4771000000000072
2001-06-01,US_Economy,Copper,-0.04749995470046997
2001-06-01,US_Economy,Oil,-2.1200008392333984
2001-07-01,US_Economy,US10Y,-0.040000000000000036
2001-07-01,US_Economy,SP500,-13.1500244140625
2001-07-01,US_Economy,US_Unemployment,0.09999999999999964
2001-07-01,US_Economy,US_Inflation,-0.29999999999998295
2001-07-01,US_Economy,US_Production,-0.5755999999999943
2001-08-01,US_Economy,US10Y,-0.27000000000000046
2001-08-01,US_Economy,SP500,-77.6500244140625
2001-08-01,US_Economy,US_Unemployment,0.3000000000000007
2001-08-01,US_Economy,US_Production,-0.10250000000000625
2001-08-01,US_Economy,Copper,-0.026000022888183594
2001-08-01,US_Economy,Oil,0.9500007629394531
2001-09-01,US_Economy,US10Y,-0.23999999999999932
2001-09-01,US_Economy,SP500,-92.6400146484375
2001-09-01,US_Economy,US_Unemployment,0.09999999999999964
2001-09-01,US_Economy,US_Inflation,0.6999999999999886
2001-09-01,US_Economy,US_Production,-0.45179999999999154
2001-09-01,US_Economy,Copper,-0.03249996900558472
2001-09-01,US_Economy,Oil,-3.770000457763672
2001-10-01,US_Economy,US10Y,-0.16000000000000014
2001-10-01,US_Economy,SP500,18.840087890625
2001-10-01,US_Economy,US_Unemployment,0.2999999999999998
2001-10-01,US_Economy,US_Inflation,-0.5
2001-10-01,US_Economy,US_Production,-0.24330000000000496
2001-10-01,US_Economy,Copper,-0.024000048637390137
2001-10-01,US_Economy,Oil,-2.25
2001-11-01,US_Economy,US10Y,0.08000000000000007
2001-11-01,US_Economy,SP500,79.669921875
2001-11-01,US_Economy,US_Unemployment,0.20000000000000018
2001-11-01,US_Economy,US_Inflation,-0.09999999999999432
2001-11-01,US_Economy,US_Production,-0.5352000000000032
2001-11-01,US_Economy,Copper,0.10000002384185791
2001-11-01,US_Economy,Oil,-1.739999771118164
2001-12-01,US_Economy,US10Y,0.4399999999999995
2001-12-01,US_Economy,SP500,8.6300048828125
2001-12-01,US_Economy,US_Unemployment,0.20000000000000018
2001-12-01,US_Economy,US_Inflation,-0.09999999999999432
2001-12-01,US_Economy,US_Production,-0.037599999999997635
2001-12-01,US_Economy,Copper,-0.0690000057220459
2001-12-01,US_Economy,Oil,0.39999961853027344
2002-01-01,US_Economy,US10Y,-0.04999999999999982
2002-01-01,US_Economy,SP500,-17.8800048828125
2002-01-01,US_Economy,US_Inflation,0.29999999999998295
2002-01-01,US_Economy,US_Production,0.5852000000000004
2002-01-01,US_Economy,Copper,0.07749998569488525
2002-01-01,US_Economy,Oil,-0.3600006103515625
2002-02-01,US_Economy,US10Y,-0.1299999999999999
2002-02-01,US_Economy,SP500,-23.469970703125
2002-02-01,US_Economy,US_Inflation,0.30000000000001137
2002-02-01,US_Economy,US_Production,0.010199999999997544
2002-02-01,US_Economy,Copper,-0.016499996185302734
2002-02-01,US_Economy,Oil,2.3700008392333984
2002-03-01,US_Economy,US10Y,0.3700000000000001
2002-03-01,US_Economy,SP500,40.6600341796875
2002-03-01,US_Economy,US_Inflation,0.5
2002-03-01,US_Economy,US_Production,0.6407999999999987
2002-03-01,US_Economy,Copper,0.04650002717971802
2002-03-01,US_Economy,Oil,4.379999160766602
2002-04-01,US_Economy,US10Y,-0.07000000000000028
2002-04-01,US_Economy,SP500,-70.469970703125
2002-04-01,US_Economy,US_Unemployment,0.20000000000000018
2002-04-01,US_Economy,US_Inflation,0.8000000000000114
2002-04-01,US_Economy,US_Production,0.43540000000000134
2002-04-01,US_Economy,Copper,-0.02799999713897705
2002-04-01,US_Economy,Oil,1.0600013732910156
2002-05-01,US_Economy,US10Y,-0.04999999999999982
2002-05-01,US_Economy,SP500,-9.780029296875
2002-05-01,US_Economy,US_Unemployment,-0.10000000000000053
2002-05-01,US_Economy,US_Inflation,0.19999999999998863
2002-05-01,US_Economy,US_Production,0.35999999999999943
2002-05-01,US_Economy,Copper,0.02899998426437378
2002-05-01,US_Economy,Oil,-1.9400005340576172
2002-06-01,US_Economy,US10Y,-0.23000000000000043
2002-06-01,US_Economy,SP500,-77.32000732421875
2002-06-01,US_Economy,US_Inflation,0.09999999999999432
2002-06-01,US_Economy,US_Production,0.7421000000000078
2002-06-01,US_Economy,Copper,0.0059999823570251465
2002-06-01,US_Economy,Oil,1.5100002288818324
2002-07-01,US_Economy,US10Y,-0.27999999999999936
2002-07-01,US_Economy,SP500,-78.20001220703114
2002-07-01,US_Economy,US_Inflation,0.4000000000000057
2002-07-01,US_Economy,US_Production,-0.029200000000003
2002-07-01,US_Economy,Copper,-0.0899999737739563
2002-07-01,US_Economy,Oil,0.15999984741211293
2002-08-01,US_Economy,US10Y,-0.39000000000000057
2002-08-01,US_Economy,SP500,4.450012207031136
2002-08-01,US_Economy,US_Unemployment,-0.09999999999999964
2002-08-01,US_Economy,US_Inflation,0.5
2002-08-01,US_Economy,US_Production,-0.10070000000000334
2002-08-01,US_Economy,Copper,0.009499967098236084
2002-08-01,US_Economy,Oil,1.9599990844726562
2002-09-01,US_Economy,US10Y,-0.3899999999999997
2002-09-01,US_Economy,SP500,-100.78997802734375
2002-09-01,US_Economy,US_Inflation,0.30000000000001137
2002-09-01,US_Economy,US_Production,0.07689999999999486
2002-10-01,US_Economy,US10Y,0.06999999999999984
2002-10-01,US_Economy,SP500,70.47998046875
2002-10-01,US_Economy,US_Inflation,0.39999999999997726
2002-10-01,US_Economy,US_Production,-0.18880000000000052
2002-10-01,US_Economy,Copper,0.027000010013580322
2002-10-01,US_Economy,Oil,-1.760000228881836
2002-11-01,US_Economy,US10Y,0.10999999999999988
2002-11-01,US_Economy,SP500,50.54998779296875
2002-11-01,US_Economy,US_Unemployment,0.20000000000000018
2002-11-01,US_Economy,US_Inflation,0.30000000000001137
2002-11-01,US_Economy,US_Production,0.5068000000000126
2002-11-01,US_Economy,Copper,0.03549998998641968
2002-11-01,US_Economy,Oil,-0.32999992370605113
2002-12-01,US_Economy,US10Y,-0.019999999999999574
2002-12-01,US_Economy,SP500,-56.489990234375
2002-12-01,US_Economy,US_Unemployment,0.09999999999999964
2002-12-01,US_Economy,US_Inflation,0.30000000000001137
2002-12-01,US_Economy,US_Production,-0.5059000000000111
2003-01-01,US_Economy,US10Y,0.019999999999999574
2003-01-01,US_Economy,SP500,-24.1199951171875
2003-01-01,US_Economy,US_Unemployment,-0.20000000000000018
2003-01-01,US_Economy,US_Inflation,0.799999999999983
2003-01-01,US_Economy,US_Production,0.7708999999999975
2003-01-01,US_Economy,Copper,0.041999995708465576
2003-01-01,US_Economy,Oil,6.619998931884762
2003-02-01,US_Economy,US10Y,-0.1499999999999999
2003-02-01,US_Economy,SP500,-14.54998779296875
