t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,-39701.9200,0.0000,0.0000,39701.9200,0.0000,0.0000
0,1,-11649.4700,0.0000,0.0000,11649.4700,0.0000,0.0000
0,2,-30363.7300,0.0000,0.0000,30363.7300,0.0000,0.0000
0,3,17652.4800,0.0000,0.0000,17652.4800,0.0000,0.0000
0,4,5704.2300,0.0000,0.0000,5704.2300,0.0000,0.0000
0,5,7007.0200,0.0000,0.0000,7007.0200,0.0000,0.0000
0,6,51351.3900,0.0000,0.0000,51351.3900,0.0000,0.0000
0,7,-93797.2200,0.0000,0.0000,93797.2200,0.0000,0.0000
0,8,93797.2200,0.0000,0.0000,93797.2200,0.0000,0.0000
1,0,-27808.1200,11893.8000,0.0000,33755.0200,0.0002,2.0000
1,1,-25023.0100,-13373.5400,0.0000,18336.2400,0.0001,-2.0000
1,2,-8787.0300,21576.7000,0.0000,19575.3800,0.0001,2.0000
1,3,18427.3500,774.8700,0.0000,18039.9150,0.0026,2.0000
1,4,4750.2500,-953.9800,0.0000,5227.2400,0.0021,-2.0000
1,5,3930.0500,-3076.9700,0.0000,5468.5350,0.0006,-2.0000
1,6,59773.4200,8422.0300,0.0000,55562.4050,0.0002,2.0000
1,7,-106500.7400,-12703.5200,0.0000,100148.9800,0.0002,-2.0000
1,8,81237.8300,-12559.3900,0.0000,87517.5250,0.0002,-2.0000
2,0,8027.0400,35835.1600,23941.3600,25179.0267,0.0001,602820144.2809
2,1,-32493.4900,-7470.4800,5903.0600,23055.3233,0.0002,136096955.5909
2,2,-9620.7500,-833.7200,-22410.4200,16257.1700,0.0001,-364330007.7918
2,3,20042.6100,1615.2600,840.3900,18707.4800,0.0015,15721581.5660
2,4,4616.7700,-133.4800,820.5000,5023.7500,0.0024,4121986.5585
2,5,8101.7100,4171.6600,7248.6300,6346.2600,0.0003,46001692.0282
2,6,65160.6000,5387.1800,-3034.8500,58761.8033,0.0003,-178333257.2993
2,7,-118445.4300,-11944.6900,758.8300,106247.7967,0.0002,80624013.4915
2,8,54610.9400,-26626.8900,-14067.5000,76548.6633,0.0001,-1076848323.8898
3,0,-29006.3100,-37033.3500,-72868.5100,26135.8475,0.0000,-1904480266.3199
3,1,-21599.9600,10893.5300,18364.0100,22691.4825,0.0001,416706612.7468
3,2,72441.5400,82062.2900,82896.0100,30303.2625,0.0000,2512019553.6636
3,3,18616.6900,-1425.9200,-3041.1800,18684.7825,0.0009,-56823788.1174
3,4,8046.4300,3429.6600,3563.1400,5779.4200,0.0006,20592884.6176
3,5,4757.8300,-3343.8800,-7515.5400,5949.1525,0.0003,-44711094.6825
3,6,58400.4000,-6760.2000,-12147.3800,58671.4525,0.0002,-712704429.8408
3,7,-109024.7100,9420.7200,21365.4100,106942.0250,0.0001,2284860211.3849
3,8,-2631.9100,-57242.8500,-30615.9600,58069.4750,0.0000,-1777852726.5055
4,0,17125.2800,46131.5900,83164.9400,24333.7340,0.0000,2023713529.6628
4,1,-24038.5900,-2438.6300,-13332.1600,22960.9040,0.0001,-306118446.1735
4,2,37318.2700,-35123.2700,-117185.5600,31706.2640,0.0000,-3715516303.2536
4,3,15874.6300,-2742.0600,-1316.1400,18122.7520,0.0006,-23852080.5778
4,4,6263.7800,-1782.6500,-5212.3100,5876.2920,0.0006,-30629056.5572
4,5,6967.4700,2209.6400,5553.5200,6152.8160,0.0003,34169787.4664
4,6,58315.7900,-84.6100,6675.5900,58600.3200,0.0002,391191710.1726
4,7,-105903.8100,3120.9000,-6299.8200,106734.3820,0.0001,-672407394.0500
4,8,-11922.8200,-9290.9100,47951.9400,48840.1440,0.0001,2341979654.2142
5,0,21773.6100,4648.3300,-41483.2600,23907.0467,0.0000,-991742232.5322
5,1,-19204.7100,4833.8800,7272.5100,22334.8717,0.0001,162430578.1575
5,2,25284.7700,-12033.5000,23089.7700,30636.0150,0.0000,707378539.7383
5,3,16597.5200,722.8900,3464.9500,17868.5467,0.0007,61913621.2619
5,4,5780.2400,-483.5400,1299.1100,5860.2833,0.0006,7613152.3860
5,5,8385.6700,1418.2000,-791.4400,6524.9583,0.0004,-5164112.5033
5,6,51779.7100,-6536.0800,-6451.4700,57463.5517,0.0002,-370724380.8375
5,7,-93077.1900,12826.6200,9705.7200,104458.1833,0.0001,1013841880.4615
5,8,-17319.6200,-5396.8000,3894.1100,43586.7233,0.0001,169731494.9178
6,0,-19153.7500,-40927.3600,-45575.6900,23228.0043,0.0000,-1058632323.9812
6,1,3630.4600,22835.1700,18001.2900,19662.8129,0.0001,353955998.5046
6,2,48094.5600,22809.7900,34843.2900,33130.0929,0.0000,1154361433.8140
6,3,16771.1600,173.6400,-549.2500,17711.7771,0.0007,-9728193.4693
6,4,3656.4000,-2123.8400,-1640.3000,5545.4429,0.0006,-9096191.1746
6,5,11506.9900,3121.3200,1703.1200,7236.6771,0.0004,12324930.7230
6,6,40729.8100,-11049.9000,-4513.8200,55073.0171,0.0002,-248589687.9438
6,7,-72872.3500,20204.8400,7378.2200,99945.9214,0.0001,737422998.1721
6,8,-32363.2800,-15043.6600,-9646.8600,41983.3743,0.0001,-405007734.9083
7,0,7321.5000,26475.2500,67402.6100,18602.2300,0.0000,1253838854.6571
7,1,3116.5000,-513.9600,-23349.1300,18443.8171,0.0001,-430647084.2108
7,2,19680.1600,-28414.4000,-51224.1900,31603.8686,0.0000,-1618882569.2072
7,3,17425.9200,654.7600,481.1200,17679.4114,0.0007,8505918.8939
7,4,4663.1900,1006.7900,3130.6300,5396.7229,0.0006,16895143.0531
7,5,9033.1800,-2473.8100,-5595.1300,7526.1286,0.0003,-42109668.5973
7,6,29280.1800,-11449.6300,-399.7300,51919.9871,0.0001,-20753978.0313
7,7,-54648.7300,18223.6200,-1981.2200,94353.2800,0.0001,-186934603.9402
7,8,-35871.9000,-3508.6200,11535.0400,33708.3286,0.0001,388826918.2018
8,0,2596.6700,-4724.8300,-31200.0800,15000.5943,0.0000,-468019741.9105
8,1,23340.8900,20224.3900,20738.3500,18203.5143,0.0001,377510852.3785
8,2,-8048.3500,-27728.5100,685.8900,31498.3429,0.0000,21604397.6562
