t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,215214.2600,1.3963,0.0000,-93797.2200,81715.1200,0.0000,215214.2600
1,260337.4200,1.7031,42667.4000,-106500.7400,86881.0700,0.0000,187670.8463
2,353562.8700,1.5850,74219.7429,-118445.4300,97921.6900,0.0000,235924.4217
3,355097.2500,1.8116,119601.9588,-109024.7100,89821.3500,0.0000,138428.3346
4,396831.7900,1.4673,126125.5909,-105903.8100,87421.6700,0.0000,211764.4618
5,372940.7500,1.4660,128324.9363,-93077.1900,82543.1400,0.0000,184810.4091
6,320339.1300,1.7593,141628.2035,-72872.3500,72664.3600,0.0000,71172.2314
7,277686.6900,1.6030,140204.6542,-54648.7300,60402.4700,0.0000,52936.9195
8,259245.1900,1.6246,141276.8384,-37816.8500,56592.5000,0.0000,29732.7682
9,195244.3100,1.7469,122298.1653,-36946.8400,47031.7800,0.0000,-18396.8665
10,238437.8900,1.5030,112811.6541,-54698.6400,60953.0300,0.0000,68878.9598
11,265511.8700,1.4486,108788.3474,-72308.5800,68130.9800,0.0000,107923.5814
12,281202.9300,1.6989,118251.7412,-99087.6900,81688.8000,0.0000,80306.4177
13,323547.8200,1.5761,114725.7823,-99710.8100,80848.5500,0.0000,142730.5140
14,360873.7400,1.7538,127924.3468,-121006.7400,95650.4900,0.0000,136526.1205
15,405266.5200,1.4759,123687.4480,-112371.6900,92234.3800,0.0000,222713.0795
16,367555.4500,1.7490,112238.8589,-109361.4000,90049.1300,0.0000,171250.9574
17,340025.9400,1.7706,99391.8987,-86153.4000,80964.0300,0.0000,164043.9134
18,319238.5200,1.4844,100593.8780,-68095.7900,64967.9800,0.0000,169921.9641
19,276919.4600,1.7690,103310.6382,-54035.4300,61237.7700,0.0000,94160.5264
20,229105.6400,1.6750,125721.9338,-37271.6400,56910.3000,0.0000,18516.0619
21,216579.5500,1.4768,122505.1429,-42652.8100,51064.0100,0.0000,35660.3457
22,195674.5500,1.8435,118722.2298,-49596.1000,61105.7600,0.0000,-23187.6792
23,132848.1200,0.9935,107953.7078,-47998.9000,31225.7200,0.0000,25601.4256
