t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,-0.2312,0.0000,0
2,0.0000,1.9105,1.9322,0
3,0.0000,0.6255,6.2643,1
4,0.0000,0.9371,4.7705,1
5,0.0000,0.6402,3.2882,1
6,0.0000,0.3378,5.3323,1
7,0.0000,0.0475,7.5845,1
8,0.0000,0.0269,4.7565,1
9,0.0000,0.0124,5.8134,1
10,0.0000,0.0165,12.0786,1
11,0.0000,0.0284,3.6678,1
12,0.0000,0.0568,3.4865,1
13,0.0000,0.0087,3.0859,1
14,0.0000,0.0560,3.3702,1
15,0.0000,0.0377,6.9381,1
16,0.0000,0.0344,5.2567,1
17,0.0000,0.0271,4.6984,1
18,0.0000,0.0399,5.0899,1
19,0.0000,0.0233,3.6224,1
20,0.0000,0.0178,9.5544,1
21,0.0000,0.0316,10.6950,1
22,0.0000,0.1479,5.5268,1
23,0.0000,0.8507,15.7230,1
