t_idx,node_idx,fk_echo_impact
0,0,-39701.9200
0,1,-45396.1020
0,2,-30363.7300
0,3,2647.8720
0,4,855.6345
0,5,1051.0530
0,6,12764.7033
0,7,-93797.2200
0,8,14069.5830
1,0,-30699.0966
1,1,-51117.2421
1,2,-16681.6592
1,3,10753.6520
1,4,2772.1043
1,5,2293.4600
1,6,16323.7642
1,7,-106500.7400
1,8,-9287.7990
2,0,-14942.6194
2,1,-45194.7165
2,2,-48778.2742
2,3,8729.6344
2,4,2010.8516
2,5,3528.7304
2,6,26745.0910
2,7,-118445.4300
2,8,-46067.6755
3,0,-30453.4426
3,1,-47485.3862
3,2,-8565.9365
3,3,15160.1377
3,4,6552.4530
3,5,3874.4459
3,6,18037.8218
3,7,-109024.7100
3,8,-95302.9135
4,0,-9647.1309
4,1,-32238.6513
4,2,-49331.6297
4,3,7606.5053
4,4,3001.3597
4,5,3338.5406
4,6,30912.9364
4,7,-105903.8100
4,8,-101941.0585
5,0,-8993.4411
5,1,-26849.1349
5,2,-56685.1768
5,3,7201.5714
5,4,2508.0139
5,5,3638.4955
5,6,28957.9453
5,7,-93077.1900
5,8,-96435.2315
6,0,-31176.6139
6,1,-22869.6619
6,2,-32064.5009
6,3,8771.7466
6,4,1912.3909
6,5,6018.4507
6,6,21290.5974
6,7,-72872.3500
6,8,-94304.7775
7,0,-16647.4345
7,1,-11033.8193
7,2,-50294.6624
7,3,6909.8104
7,4,1849.0707
7,5,3581.8804
7,6,19901.4336
7,7,-54648.7300
7,8,-82323.3205
8,0,-29251.7288
8,1,-1523.0794
8,2,-66536.1551
8,3,5516.6342
8,4,1784.4914
8,5,4046.2013
8,6,19243.2225
8,7,-37816.8500
8,8,-68809.1825
9,0,-27465.0872
9,1,-6860.8541
9,2,-38768.8919
9,3,5767.5675
9,4,1998.4512
9,5,2091.8704
9,6,13579.3840
9,7,-36946.8400
9,8,-46206.8140
10,0,-19998.0517
10,1,-14056.2439
10,2,-60051.9259
10,3,6036.9442
10,4,1161.1916
10,5,2223.0888
10,6,18552.0227
10,7,-54698.6400
10,8,-37683.4540
11,0,-22246.8800
11,1,-22654.6880
11,2,-55353.2820
11,3,6005.5353
11,4,1331.7415
11,5,1899.5835
11,6,21622.8952
11,7,-72308.5800
11,8,-33168.2730
12,0,-20862.5264
12,1,-39340.8574
12,2,-32466.1760
12,3,8427.8046
12,4,2711.9320
12,5,2021.3301
12,6,20096.9312
12,7,-99087.6900
12,8,-29962.7365
13,0,-18284.1346
13,1,-34589.3444
13,2,-35735.8172
13,3,8712.2702
13,4,1501.3526
13,5,3380.1571
13,6,23874.1073
13,7,-99710.8100
13,8,-61465.8085
14,0,-23218.1459
14,1,-48377.6940
14,2,-25323.6387
14,3,9595.5743
14,4,2017.4060
14,5,6142.8328
14,6,24737.4601
14,7,-121006.7400
14,8,-65362.2690
15,0,-8708.0178
15,1,-35999.8551
15,2,-45816.1465
15,3,9462.0833
15,4,1325.3438
15,5,4932.7862
15,6,30369.7131
15,7,-112371.6900
15,8,-104370.4665
16,0,-14609.9973
16,1,-42858.1977
16,2,-23257.4320
16,3,9799.1459
16,4,2408.7703
16,5,6302.4639
16,6,24454.7720
16,7,-109361.4000
16,8,-96347.3200
17,0,-22201.3517
17,1,-29342.5889
17,2,-36538.4350
17,3,8488.9683
17,4,3686.9944
17,5,4516.3692
17,6,23221.4194
17,7,-86153.4000
17,8,-91855.9000
18,0,-11952.9914
18,1,-14683.3427
18,2,-47946.4903
18,3,8067.4678
18,4,1928.6554
18,5,2790.2215
18,6,23625.6087
18,7,-68095.7900
18,8,-100067.7415
19,0,-20170.9998
19,1,-15256.4798
19,2,-33082.6797
19,3,8601.0375
19,4,2755.2253
19,5,3769.8493
19,6,17661.3522
19,7,-54035.4300
19,8,-96037.5055
20,0,-25173.2656
20,1,-5526.3158
20,2,-60822.8209
20,3,5266.6119
20,4,1333.2133
20,5,4339.3026
20,6,16428.6716
20,7,-37271.6400
20,8,-53657.9540
21,0,-15201.3744
21,1,-7272.0383
21,2,-61332.6042
21,3,4709.2358
21,4,1185.5991
21,5,2346.3159
21,6,16968.8475
21,7,-42652.8100
21,8,-41607.8285
22,0,-25085.5348
22,1,-18799.5645
22,2,-35414.5098
22,3,7239.7626
22,4,2067.7470
22,5,2940.4819
22,6,11961.8801
22,7,-49596.1000
22,8,-32503.4350
23,0,-18809.5604
23,1,-17523.3364
23,2,-2512.9273
23,3,0.0000
23,4,0.0000
23,5,4485.3223
23,6,10879.2541
23,7,-47998.9000
23,8,-15585.7850
