t_idx,node_idx,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,0,25.7250,8.5000,1,49.9900,0.0000,0
0,1,18.5000,8.5000,6,29.0242,4.9344,0
0,2,18.5000,4.9416,3,49.9900,0.0000,0
0,3,10.0000,0.0000,0,40.1801,3.9714,2
0,4,10.0000,0.0000,0,48.7472,1.5570,2
0,5,10.0000,0.0000,0,48.1382,1.8887,2
0,6,10.0000,0.0000,0,22.2746,3.7869,1
0,7,18.5000,8.5000,8,49.9900,0.0000,0
0,8,10.0000,0.0000,0,29.0242,4.9344,7
1,0,25.7250,8.5000,1,46.8335,1.6234,2
1,1,18.5000,8.5000,6,28.2262,4.7987,0
1,2,21.2252,4.6001,3,22.2746,3.7869,8
1,3,10.0000,0.0000,0,33.8948,3.1186,2
1,4,10.0000,0.0000,0,48.4608,1.1494,2
1,5,10.0000,0.0000,0,48.9331,0.9602,2
1,6,10.0000,0.0000,0,21.9308,3.7284,1
1,7,33.8352,8.5000,8,49.9900,0.0000,0
1,8,28.0414,8.5000,2,29.0242,4.9344,7
2,0,25.7250,8.5000,1,0.0000,-27.9579,2
2,1,18.5000,8.5000,6,0.0000,18.8271,0
2,2,25.9049,4.7090,0,0.0000,-7.0791,0
2,3,10.0000,0.0000,0,0.0000,-34.1860,0
2,4,10.0000,0.0000,0,0.0001,-242.7439,0
2,5,10.0000,0.0000,0,0.0000,58.7080,0
2,6,10.0000,0.0000,0,0.0000,30.7962,0
2,7,37.2163,8.5000,8,0.0002,315.4961,0
2,8,32.0192,8.5000,2,0.0000,-17.8367,0
3,0,25.7250,8.5000,1,0.0000,-24.9453,8
3,1,18.5000,8.5000,6,0.0000,-13.3517,8
3,2,21.1566,4.0352,3,0.0000,9.8757,8
3,3,10.0000,0.0000,0,0.0000,25.3931,8
3,4,10.0000,0.0000,0,0.0000,87.0399,8
3,5,10.0000,0.0000,0,0.0000,-53.8208,8
3,6,10.0000,0.0000,0,0.0000,-25.5225,8
3,7,33.7856,8.5000,8,0.0000,-38.9499,8
3,8,27.9831,8.5000,2,0.0000,-6.0296,1
4,0,25.7250,8.5000,1,0.0000,-44.3645,7
4,1,18.5000,8.5000,6,0.0000,-15.9942,8
4,2,27.0340,5.4270,0,0.0000,9.5041,8
4,3,10.0000,0.0000,0,0.0000,-43.0239,7
4,4,10.0000,0.0000,0,0.0003,-263.2675,8
4,5,10.0000,0.0000,0,0.0000,-39.5706,8
4,6,10.0000,0.0000,0,0.0000,-53.8132,8
4,7,38.0321,8.5000,8,0.0000,6.9622,8
4,8,32.9789,8.5000,2,0.0000,-4.5117,0
5,0,25.7250,8.5000,1,0.0000,-7.3560,5
5,1,18.5000,8.5000,6,0.0000,-9.7531,3
5,2,27.0351,5.4277,0,0.0000,-7.3109,5
5,3,10.0000,0.0000,0,0.0000,12.7384,5
5,4,10.0000,0.0000,0,0.0022,99.5881,5
5,5,10.0000,0.0000,0,0.0000,11.1466,3
5,6,10.0000,0.0000,0,0.0000,-10.4771,5
5,7,38.0328,8.5000,8,0.0000,-11.7069,3
5,8,32.9798,8.5000,2,0.0000,-9.2590,5
6,0,25.7250,8.5000,1,0.0001,-16.5047,3
