t_idx,node_idx,ik_suggested_delta,ik_strain_energy
0,0,0.0000,2902.4205
0,1,0.0000,2902.4205
0,2,0.0000,2902.4205
0,3,0.0000,2902.4205
0,4,0.0000,2902.4205
0,5,0.0000,2902.4205
0,6,0.0000,2902.4205
0,7,49.3440,2902.4205
0,8,58.0518,2902.4205
1,0,12.3623,1184.0851
1,1,14.5439,1184.0851
1,2,14.5439,1184.0851
1,3,17.1104,1184.0851
1,4,14.5439,1184.0851
1,5,14.5439,1184.0851
1,6,10.5079,1184.0851
1,7,20.1299,1184.0851
1,8,23.6823,1184.0851
2,0,-107.7068,0.0003
2,1,-436.8324,0.0003
2,2,-15.3337,0.0003
2,3,408.8990,0.0003
2,4,-14.9708,0.0003
2,5,-132.2580,0.0003
2,6,55.3737,0.0003
2,7,256.6746,0.0003
2,8,-13.8456,0.0003
3,0,-269.5455,0.0014
3,1,-286.2041,0.0014
3,2,-7.3991,0.0014
3,3,187.4634,0.0014
3,4,-43.0007,0.0014
3,5,-166.3224,0.0014
3,6,153.3987,0.0014
3,7,570.3457,0.0014
3,8,-138.7360,0.0014
4,0,22.4882,0.0005
4,1,-144.1327,0.0005
4,2,-44.0624,0.0005
4,3,-50.9891,0.0005
4,4,-14.9887,0.0005
4,5,-69.9947,0.0005
4,6,-37.9068,0.0005
4,7,199.3359,0.0005
4,8,140.2503,0.0005
5,0,-33.4910,0.0108
5,1,130.8619,0.0108
5,2,-220.0866,0.0108
5,3,104.6720,0.0108
5,4,-39.4997,0.0108
5,5,-223.1463,0.0108
5,6,19.8981,0.0108
5,7,77.8064,0.0108
5,8,182.9853,0.0108
6,0,-211.4097,0.0142
6,1,3.1754,0.0142
6,2,110.4532,0.0142
6,3,8.1842,0.0142
6,4,127.8245,0.0142
6,5,-59.4875,0.0142
6,6,-130.5025,0.0142
6,7,7.7553,0.0142
6,8,144.0071,0.0142
7,0,207.8324,0.7321
7,1,230.7687,0.7321
7,2,37.0912,0.7321
7,3,222.1939,0.7321
7,4,-238.0150,0.7321
