src_idx,tgt_idx,optimal_lag,max_correlation
0,0,0,1.0000
0,1,3,0.3846
0,2,6,0.1132
0,3,2,0.1836
0,4,3,0.3491
0,5,6,0.1339
0,6,5,0.2691
0,7,1,0.1698
0,8,6,0.1978
0,9,6,0.2350
0,10,4,0.0981
0,11,3,0.1606
0,12,0,0.2203
0,13,1,0.2637
0,14,3,0.1978
0,15,0,0.1343
0,16,3,0.2021
0,17,2,0.3608
0,18,0,0.0954
0,19,1,0.1760
0,20,3,0.4167
0,21,6,0.3531
0,22,4,0.3032
0,23,5,0.1930
0,24,6,0.4419
1,0,3,0.3249
1,1,0,1.0000
1,2,5,0.1686
1,3,5,0.3158
1,4,6,0.1384
1,5,3,0.1941
1,6,5,0.3662
1,7,2,0.3781
1,8,4,0.1219
1,9,3,0.1938
1,10,2,0.2647
1,11,1,0.2030
1,12,0,0.1540
1,13,5,0.2021
1,14,6,0.2432
1,15,3,0.2156
1,16,2,0.3139
1,17,5,0.2948
1,18,6,0.2059
1,19,0,0.3329
1,20,6,0.0765
1,21,3,0.1804
1,22,2,0.2965
1,23,3,0.1544
1,24,2,0.3489
2,0,3,0.3602
2,1,4,0.4976
2,2,0,1.0000
2,3,2,0.1572
2,4,6,0.3494
2,5,1,0.0997
2,6,6,0.2947
2,7,2,0.1294
2,8,3,0.1177
2,9,0,0.0982
2,10,2,0.2725
2,11,5,0.3349
2,12,5,0.2898
2,13,2,0.2761
2,14,4,0.2909
2,15,1,0.1617
2,16,6,0.1878
2,17,6,0.0453
2,18,1,0.1507
2,19,4,0.2598
2,20,6,0.2783
2,21,3,0.2516
2,22,2,0.1468
2,23,1,0.3455
2,24,0,0.2713
3,0,5,0.3319
3,1,2,0.2115
3,2,3,0.3162
3,3,0,1.0000
3,4,3,0.1653
3,5,5,0.4273
3,6,0,0.4772
3,7,4,0.1967
3,8,4,0.1725
3,9,6,0.1414
3,10,5,0.3550
3,11,3,0.1746
3,12,2,0.2552
3,13,6,0.3027
3,14,2,0.1190
3,15,6,0.1846
3,16,4,0.2436
3,17,6,0.3065
3,18,4,0.2827
3,19,5,0.1580
3,20,5,0.2965
3,21,0,0.1845
3,22,3,0.1256
3,23,1,0.3113
3,24,3,0.3445
4,0,2,0.1869
4,1,4,0.3854
4,2,5,0.3443
4,3,3,0.1874
4,4,0,1.0000
4,5,6,0.2629
4,6,3,0.1917
4,7,4,0.1298
4,8,3,0.3667
4,9,2,0.2382
4,10,6,0.2189
4,11,0,0.3138
4,12,4,0.2383
4,13,2,0.3049
4,14,4,0.1749
4,15,5,0.1234
4,16,5,0.2008
4,17,5,0.2948
4,18,0,0.3090
4,19,3,0.2586
4,20,3,0.2348
4,21,2,0.1976
4,22,4,0.2175
4,23,0,0.4104
4,24,5,0.3272
5,0,2,0.2911
5,1,5,0.2199
5,2,6,0.1336
5,3,5,0.2222
5,4,5,0.0853
5,5,0,1.0000
5,6,2,0.2689
5,7,1,0.2236
5,8,6,0.3815
5,9,3,0.1629
5,10,0,0.1501
5,11,5,0.0931
5,12,1,0.1494
5,13,1,0.1898
5,14,6,0.1515
5,15,2,0.3030
5,16,5,0.3525
5,17,1,0.2506
5,18,2,0.1643
5,19,4,0.1552
5,20,3,0.1729
5,21,2,0.3259
5,22,0,0.1257
5,23,4,0.1423
5,24,2,0.1995
6,0,4,0.3661
6,1,6,0.3783
6,2,3,0.1779
6,3,0,0.4772
6,4,4,0.1828
6,5,1,0.3828
6,6,0,1.0000
6,7,1,0.1515
6,8,2,0.1669
6,9,4,0.2641
6,10,0,0.2385
6,11,5,0.2989
6,12,2,0.1541
6,13,6,0.4633
6,14,3,0.2168
6,15,4,0.1854
6,16,3,0.1566
6,17,6,0.1967
6,18,4,0.0456
6,19,5,0.2428
6,20,5,0.4142
6,21,6,0.2139
6,22,6,0.2679
6,23,5,0.2253
6,24,2,0.1136
7,0,1,0.3087
7,1,2,0.1782
7,2,3,0.2945
7,3,5,0.2558
7,4,1,0.2154
7,5,1,0.3528
7,6,4,0.1086
7,7,0,1.0000
7,8,5,0.4253
7,9,4,0.2908
7,10,0,0.3117
7,11,4,0.2306
7,12,1,0.3141
7,13,3,0.0458
7,14,6,0.3071
7,15,4,0.3216
7,16,2,0.4109
7,17,2,0.2338
7,18,3,0.2557
7,19,0,0.1790
7,20,4,0.1964
7,21,1,0.3141
7,22,5,0.3898
7,23,1,0.2054
7,24,2,0.2677
8,0,5,0.1526
8,1,1,0.2439
8,2,6,0.1834
8,3,5,0.1867
8,4,2,0.2558
8,5,5,0.1733
8,6,5,0.2114
8,7,5,0.2335
8,8,0,1.0000
8,9,3,0.2105
8,10,5,0.2287
8,11,1,0.0456
8,12,1,0.3023
8,13,4,0.2677
8,14,1,0.3227
8,15,2,0.4708
8,16,5,0.3184
8,17,6,0.3014
8,18,4,0.1828
8,19,0,0.1335
8,20,0,0.1832
8,21,6,0.2650
8,22,3,0.4134
8,23,3,0.1854
8,24,2,0.4286
9,0,5,0.2282
9,1,4,0.1551
9,2,5,0.2933
9,3,2,0.5259
9,4,5,0.3170
9,5,3,0.3159
9,6,2,0.2670
9,7,2,0.1853
9,8,6,0.2896
9,9,0,1.0000
9,10,6,0.2332
9,11,5,0.1711
9,12,4,0.3800
9,13,5,0.3152
9,14,4,0.2852
9,15,5,0.1975
9,16,6,0.2954
9,17,2,0.1657
9,18,1,0.4345
9,19,2,0.2422
9,20,1,0.3133
9,21,2,0.2146
9,22,4,0.0592
9,23,3,0.2093
9,24,4,0.1778
10,0,6,0.2252
10,1,2,0.1984
10,2,3,0.3337
10,3,0,0.2606
10,4,4,0.2634
10,5,5,0.3416
10,6,0,0.2385
10,7,0,0.3117
10,8,6,0.2830
10,9,1,0.1373
10,10,0,1.0000
10,11,5,-0.0090
10,12,6,0.1718
10,13,3,0.2758
10,14,1,-0.1063
10,15,6,0.3939
10,16,2,0.1646
10,17,4,0.1632
10,18,1,0.1876
10,19,5,0.1655
10,20,1,0.2013
10,21,1,0.0391
10,22,5,0.3191
10,23,5,0.0497
10,24,4,0.3510
11,0,3,0.2095
11,1,5,0.2330
11,2,0,0.3344
11,3,4,0.2724
11,4,0,0.3138
11,5,6,0.1616
11,6,6,0.1824
11,7,2,0.1530
11,8,3,0.1580
11,9,2,0.2926
11,10,2,0.2406
11,11,0,1.0000
11,12,5,0.1896
11,13,5,0.0986
11,14,2,0.2221
11,15,3,0.2491
11,16,1,0.2232
11,17,5,0.1201
11,18,6,0.2334
11,19,0,0.1753
11,20,6,0.4009
11,21,5,0.2231
11,22,1,0.1317
11,23,2,0.3499
11,24,1,0.1372
12,0,3,0.3665
12,1,0,0.1540
12,2,2,0.1371
12,3,4,0.4973
12,4,1,0.2322
12,5,1,0.0905
12,6,1,0.2854
12,7,2,0.1597
12,8,4,0.4642
12,9,3,0.1279
12,10,2,0.0882
12,11,6,0.1885
12,12,0,1.0000
12,13,4,0.0746
12,14,0,0.2500
12,15,3,0.1588
12,16,2,0.1898
12,17,5,0.1925
12,18,3,0.1844
12,19,3,0.1892
12,20,3,0.3604
12,21,6,0.2249
12,22,2,0.1650
12,23,0,0.1544
12,24,6,0.4291
13,0,5,0.3658
13,1,2,0.3093
13,2,4,0.1022
13,3,0,0.1580
13,4,3,0.1757
13,5,2,0.1940
13,6,1,0.2962
13,7,2,0.1530
13,8,2,0.2298
13,9,5,0.3739
13,10,1,0.1377
13,11,4,0.2212
13,12,3,0.4421
13,13,0,1.0000
13,14,3,0.0785
13,15,4,0.2784
13,16,4,0.1511
13,17,2,0.1095
13,18,1,0.3211
13,19,2,0.3439
13,20,2,0.3673
13,21,1,0.2486
13,22,5,0.2947
13,23,0,0.1238
13,24,3,0.1991
14,0,3,0.1863
14,1,6,0.3460
14,2,0,0.0609
14,3,4,0.2727
14,4,1,0.4264
14,5,6,0.3244
14,6,5,0.2526
14,7,5,0.2622
14,8,5,0.1154
14,9,3,0.3412
14,10,5,0.1448
14,11,6,0.3873
14,12,0,0.2500
14,13,3,0.2108
14,14,0,1.0000
14,15,1,-0.0268
14,16,2,0.1859
14,17,5,0.2346
14,18,3,0.3543
14,19,4,0.3215
14,20,4,0.3365
14,21,5,0.3565
14,22,6,0.0878
14,23,1,0.4185
14,24,6,0.1551
15,0,1,0.2193
15,1,1,0.0918
15,2,4,0.3611
15,3,3,0.1755
15,4,6,0.2519
15,5,1,0.1193
15,6,3,0.2935
15,7,5,0.1495
15,8,5,0.3081
15,9,1,0.2741
15,10,3,-0.0339
15,11,6,0.1386
15,12,6,0.2779
15,13,2,0.2770
15,14,5,0.2513
15,15,0,1.0000
15,16,5,0.1528
15,17,0,0.0833
15,18,2,0.1838
15,19,3,0.1648
15,20,4,0.1250
15,21,4,0.1861
15,22,1,0.2577
