t_idx,node_idx,curvature,density
0,0,0.000000,10695.0000
0,1,0.000000,16474.0000
0,2,0.000000,16428.0000
0,3,0.000000,17451.0000
0,4,0.000000,18266.0000
0,5,0.000000,24417.0000
0,6,0.000000,22908.0000
0,7,0.000000,11978.0000
0,8,0.000000,25447.0000
0,9,0.000000,18466.0000
0,10,0.000000,17501.0000
0,11,0.000000,24401.0000
0,12,0.000000,18293.0000
0,13,0.000000,25324.0000
0,14,0.000000,26474.0000
0,15,0.000000,26607.0000
0,16,0.000000,25488.0000
0,17,0.000000,19323.0000
0,18,0.000000,27782.0000
0,19,0.000000,20432.0000
0,20,0.000000,12142.0000
0,21,0.000000,18785.0000
0,22,0.000000,19674.0000
0,23,0.000000,20496.0000
0,24,0.000000,13826.0000
1,0,0.000000,10005.0000
1,1,0.000000,15432.0000
1,2,0.000000,15284.0000
1,3,0.000000,16060.0000
1,4,0.000000,17007.0000
1,5,0.000000,22529.0000
1,6,0.000000,21403.0000
1,7,0.000000,11220.0000
1,8,0.000000,23818.0000
1,9,0.000000,17180.0000
1,10,0.000000,16114.0000
1,11,0.000000,22557.0000
1,12,0.000000,17013.0000
1,13,0.000000,23774.0000
1,14,0.000000,24916.0000
1,15,0.000000,25052.0000
1,16,0.000000,23707.0000
1,17,0.000000,18189.0000
1,18,0.000000,25913.0000
1,19,0.000000,19166.0000
1,20,0.000000,11248.0000
1,21,0.000000,17345.0000
1,22,0.000000,18375.0000
1,23,0.000000,18970.0000
1,24,0.000000,12625.0000
2,0,570.000000,10499.0000
2,1,15.000000,16461.0000
2,2,35.000000,16463.0000
2,3,101.000000,17436.0000
2,4,213.000000,18331.0000
2,5,104.000000,24095.0000
2,6,461.000000,22669.0000
2,7,242.000000,11982.0000
2,8,181.000000,25598.0000
2,9,23.000000,18529.0000
2,10,283.000000,17362.0000
2,11,627.000000,24046.0000
2,12,455.000000,18234.0000
2,13,439.000000,25549.0000
2,14,387.000000,26807.0000
2,15,90.000000,26517.0000
2,16,208.000000,25290.0000
2,17,121.000000,19590.0000
2,18,219.000000,27751.0000
2,19,428.000000,20436.0000
2,20,321.000000,12177.0000
2,21,615.000000,18746.0000
2,22,37.000000,19539.0000
2,23,106.000000,20416.0000
2,24,121.000000,13639.0000
3,0,385.000000,10138.0000
3,1,235.000000,15707.0000
3,2,333.000000,15871.0000
3,3,113.000000,16777.0000
3,4,205.000000,17692.0000
3,5,82.000000,23405.0000
3,6,418.000000,22009.0000
3,7,195.000000,11731.0000
3,8,300.000000,24572.0000
3,9,170.000000,18096.0000
3,10,378.000000,16672.0000
3,11,19.000000,23142.0000
3,12,67.000000,17894.0000
3,13,54.000000,24492.0000
3,14,79.000000,25545.0000
3,15,359.000000,25623.0000
3,16,461.000000,24774.0000
3,17,347.000000,18916.0000
3,18,103.000000,27246.0000
3,19,60.000000,20004.0000
3,20,472.000000,11650.0000
3,21,655.000000,18036.0000
3,22,226.000000,18681.0000
3,23,224.000000,19760.0000
3,24,84.000000,13117.0000
4,0,214.000000,10423.0000
4,1,591.000000,16368.0000
4,2,84.000000,16373.0000
4,3,153.000000,17327.0000
4,4,207.000000,18186.0000
4,5,35.000000,24064.0000
4,6,265.000000,22786.0000
4,7,125.000000,12283.0000
4,8,41.000000,25327.0000
4,9,112.000000,18693.0000
4,10,130.000000,17312.0000
4,11,114.000000,24154.0000
4,12,210.000000,18226.0000
4,13,153.000000,25638.0000
4,14,438.000000,26657.0000
4,15,414.000000,26467.0000
4,16,374.000000,25304.0000
4,17,507.000000,19365.0000
4,18,244.000000,27735.0000
4,19,183.000000,20333.0000
4,20,245.000000,11982.0000
4,21,207.000000,18663.0000
4,22,96.000000,19465.0000
4,23,318.000000,20422.0000
4,24,118.000000,13659.0000
5,0,47.000000,10245.0000
5,1,549.000000,15916.0000
5,2,310.000000,15979.0000
5,3,33.000000,16696.0000
5,4,95.000000,17659.0000
5,5,53.000000,23268.0000
5,6,304.000000,22327.0000
5,7,210.000000,11609.0000
5,8,66.000000,24664.0000
5,9,179.000000,17945.0000
5,10,105.000000,16665.0000
5,11,174.000000,23356.0000
5,12,313.000000,17609.0000
5,13,333.000000,24555.0000
5,14,184.000000,25561.0000
5,15,325.000000,25896.0000
5,16,219.000000,24627.0000
5,17,308.000000,18862.0000
5,18,235.000000,26707.0000
5,19,3.000000,19527.0000
5,20,61.000000,11639.0000
5,21,124.000000,18110.0000
5,22,48.000000,19075.0000
5,23,4.000000,19952.0000
5,24,100.000000,13107.0000
6,0,106.000000,10721.0000
6,1,7.000000,16459.0000
6,2,98.000000,16607.0000
6,3,175.000000,17332.0000
6,4,9.000000,18389.0000
6,5,317.000000,24243.0000
