t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,183.0000,0.0000,0.0000,183.0000,1000000.0000,0.0000
0,1,108.0000,0.0000,0.0000,108.0000,1000000.0000,0.0000
0,2,-214.0000,0.0000,0.0000,214.0000,1000000.0000,0.0000
0,3,5.0000,0.0000,0.0000,5.0000,1000000.0000,0.0000
0,4,42.0000,0.0000,0.0000,42.0000,1000000.0000,0.0000
0,5,-143.0000,0.0000,0.0000,143.0000,1000000.0000,0.0000
0,6,54.0000,0.0000,0.0000,54.0000,1000000.0000,0.0000
0,7,-128.0000,0.0000,0.0000,128.0000,1000000.0000,0.0000
0,8,67.0000,0.0000,0.0000,67.0000,1000000.0000,0.0000
0,9,-100.0000,0.0000,0.0000,100.0000,1000000.0000,0.0000
0,10,-57.0000,0.0000,0.0000,57.0000,1000000.0000,0.0000
0,11,-277.0000,0.0000,0.0000,277.0000,1000000.0000,0.0000
0,12,213.0000,0.0000,0.0000,213.0000,1000000.0000,0.0000
0,13,300.0000,0.0000,0.0000,300.0000,1000000.0000,0.0000
0,14,204.0000,0.0000,0.0000,204.0000,1000000.0000,0.0000
0,15,-299.0000,0.0000,0.0000,299.0000,1000000.0000,0.0000
0,16,-24.0000,0.0000,0.0000,24.0000,1000000.0000,0.0000
0,17,85.0000,0.0000,0.0000,85.0000,1000000.0000,0.0000
0,18,-194.0000,0.0000,0.0000,194.0000,1000000.0000,0.0000
0,19,20.0000,0.0000,0.0000,20.0000,1000000.0000,0.0000
0,20,110.0000,0.0000,0.0000,110.0000,1000000.0000,0.0000
0,21,-97.0000,0.0000,0.0000,97.0000,1000000.0000,0.0000
0,22,152.0000,0.0000,0.0000,152.0000,1000000.0000,0.0000
0,23,122.0000,0.0000,0.0000,122.0000,1000000.0000,0.0000
0,24,-132.0000,0.0000,0.0000,132.0000,1000000.0000,0.0000
1,0,-147.0000,-330.0000,0.0000,165.0000,0.0061,-2.0000
1,1,66.0000,-42.0000,0.0000,87.0000,0.0476,-2.0000
1,2,-52.0000,162.0000,0.0000,133.0000,0.0123,2.0000
1,3,-54.0000,-59.0000,0.0000,29.5000,0.0339,-2.0000
1,4,129.0000,87.0000,0.0000,85.5000,0.0230,2.0000
1,5,-165.0000,-22.0000,0.0000,154.0000,0.0909,-2.0000
1,6,147.0000,93.0000,0.0000,100.5000,0.0215,2.0000
1,7,20.0000,148.0000,0.0000,74.0000,0.0135,2.0000
1,8,36.0000,-31.0000,0.0000,51.5000,0.0645,-2.0000
1,9,-122.0000,-22.0000,0.0000,111.0000,0.0909,-2.0000
1,10,46.0000,103.0000,0.0000,51.5000,0.0194,2.0000
1,11,223.0000,500.0000,0.0000,250.0000,0.0040,2.0000
1,12,-137.0000,-350.0000,0.0000,175.0000,0.0057,-2.0000
1,13,-130.0000,-430.0000,0.0000,215.0000,0.0047,-2.0000
1,14,-80.0000,-284.0000,0.0000,142.0000,0.0070,-2.0000
1,15,-62.0000,237.0000,0.0000,180.5000,0.0084,2.0000
1,16,1.0000,25.0000,0.0000,12.5000,0.0800,2.0000
1,17,35.0000,-50.0000,0.0000,60.0000,0.0400,-2.0000
1,18,19.0000,213.0000,0.0000,106.5000,0.0094,2.0000
1,19,240.0000,220.0000,0.0000,130.0000,0.0091,2.0000
1,20,2.0000,-108.0000,0.0000,56.0000,0.0185,-2.0000
1,21,95.0000,192.0000,0.0000,96.0000,0.0104,2.0000
1,22,39.0000,-113.0000,0.0000,95.5000,0.0177,-2.0000
1,23,-24.0000,-146.0000,0.0000,73.0000,0.0137,-2.0000
1,24,-125.0000,7.0000,0.0000,128.5000,0.2857,2.0000
2,0,93.0000,240.0000,570.0000,141.0000,0.0043,80371.0271
2,1,39.0000,-27.0000,15.0000,71.0000,0.0575,1063.4463
2,2,145.0000,197.0000,35.0000,137.0000,0.0117,4797.2956
2,3,-12.0000,42.0000,101.0000,23.6667,0.0241,2391.3472
2,4,3.0000,-126.0000,-213.0000,58.0000,0.0114,-12355.4410
2,5,-83.0000,82.0000,104.0000,130.3333,0.0223,13556.4990
2,6,-221.0000,-368.0000,-461.0000,140.6667,0.0050,-64849.1821
2,7,-74.0000,-94.0000,-242.0000,74.0000,0.0100,-17908.9437
2,8,186.0000,150.0000,181.0000,96.3333,0.0127,17438.2312
2,9,-167.0000,-45.0000,-23.0000,129.6667,0.0544,-2984.7826
2,10,-134.0000,-180.0000,-283.0000,79.0000,0.0086,-22358.5391
2,11,96.0000,-127.0000,-627.0000,198.6667,0.0037,-124564.4692
2,12,-32.0000,105.0000,455.0000,127.3333,0.0051,57937.2065
2,13,-121.0000,9.0000,439.0000,183.6667,0.0049,80629.7106
2,14,23.0000,103.0000,387.0000,102.3333,0.0061,39603.6294
2,15,85.0000,147.0000,-90.0000,148.6667,0.0102,-13378.4951
2,16,234.0000,233.0000,208.0000,86.3333,0.0096,17959.5642
2,17,106.0000,71.0000,121.0000,75.3333,0.0201,9116.7635
2,18,13.0000,-6.0000,-219.0000,75.3333,0.0098,-16498.0589
2,19,32.0000,-208.0000,-428.0000,97.3333,0.0057,-41659.8569
2,20,215.0000,213.0000,321.0000,109.0000,0.0075,34990.5971
2,21,-328.0000,-423.0000,-615.0000,173.3333,0.0039,-106601.6465
2,22,-37.0000,-76.0000,37.0000,76.0000,0.0213,2810.3843
2,23,-64.0000,-40.0000,106.0000,70.0000,0.0162,7419.3507
2,24,3.0000,128.0000,121.0000,86.6667,0.0170,10488.8450
3,0,-52.0000,-145.0000,-385.0000,118.7500,0.0048,-45719.4458
3,1,247.0000,208.0000,235.0000,115.0000,0.0099,27027.0563
3,2,9.0000,-136.0000,-333.0000,105.0000,0.0075,-34966.0200
3,3,143.0000,155.0000,113.0000,53.5000,0.0128,6047.4802
3,4,82.0000,79.0000,205.0000,64.0000,0.0117,13120.9233
3,5,-83.0000,0.0000,-82.0000,118.5000,0.0252,-9717.0000
3,6,-171.0000,50.0000,418.0000,148.2500,0.0055,61968.7733
3,7,27.0000,101.0000,195.0000,62.2500,0.0107,12139.8307
3,8,36.0000,-150.0000,-300.0000,81.2500,0.0094,-24376.4030
3,9,-42.0000,125.0000,170.0000,107.7500,0.0152,18319.4011
3,10,64.0000,198.0000,378.0000,75.2500,0.0071,28445.9129
3,11,-50.0000,-146.0000,-19.0000,161.5000,0.0038,-3069.0573
3,12,6.0000,38.0000,-67.0000,97.0000,0.0057,-6498.7844
3,13,-58.0000,63.0000,54.0000,152.2500,0.0050,8221.8181
3,14,205.0000,182.0000,79.0000,128.0000,0.0057,10113.0321
3,15,-127.0000,-212.0000,-359.0000,143.2500,0.0059,-51427.9985
3,16,6.0000,-228.0000,-461.0000,66.2500,0.0061,-30542.6462
3,17,-170.0000,-276.0000,-347.0000,99.0000,0.0077,-34355.1253
3,18,-96.0000,-109.0000,-103.0000,80.5000,0.0085,-8292.4305
3,19,-116.0000,-148.0000,60.0000,102.0000,0.0061,6119.1032
3,20,-44.0000,-259.0000,-472.0000,92.7500,0.0058,-43779.5068
3,21,-96.0000,232.0000,655.0000,154.0000,0.0039,100870.8936
3,22,113.0000,150.0000,226.0000,85.2500,0.0099,19267.9877
3,23,120.0000,184.0000,224.0000,82.5000,0.0084,18481.5445
3,24,47.0000,44.0000,-84.0000,76.7500,0.0197,-6446.1354
4,0,17.0000,69.0000,214.0000,98.4000,0.0052,21057.9570
4,1,-136.0000,-383.0000,-591.0000,119.2000,0.0053,-70449.2156
4,2,-211.0000,-220.0000,-84.0000,126.2000,0.0062,-10602.1543
4,3,145.0000,2.0000,-153.0000,71.8000,0.0140,-10985.3719
4,4,-46.0000,-128.0000,-207.0000,60.4000,0.0106,-12504.1565
4,5,-48.0000,35.0000,35.0000,104.4000,0.0275,3654.9613
4,6,144.0000,315.0000,265.0000,147.4000,0.0045,39062.4254
4,7,3.0000,-24.0000,-125.0000,50.4000,0.0115,-6300.2750
4,8,-73.0000,-109.0000,41.0000,79.6000,0.0096,3262.5504
4,9,-29.0000,13.0000,-112.0000,92.0000,0.0170,-10303.7790
4,10,132.0000,68.0000,-130.0000,86.6000,0.0079,-11257.4614
4,11,-82.0000,-32.0000,114.0000,145.6000,0.0042,16598.2650
4,12,-166.0000,-172.0000,-210.0000,110.8000,0.0061,-23269.0436
4,13,158.0000,216.0000,153.0000,153.4000,0.0046,23471.2037
4,14,-51.0000,-256.0000,-438.0000,112.6000,0.0053,-49320.1609
4,15,75.0000,202.0000,414.0000,129.6000,0.0061,53655.6268
4,16,152.0000,146.0000,374.0000,83.4000,0.0064,31192.5346
4,17,61.0000,231.0000,507.0000,91.4000,0.0060,46341.1957
4,18,39.0000,135.0000,244.0000,72.2000,0.0088,17617.9872
4,19,-81.0000,35.0000,183.0000,97.8000,0.0067,17897.6331
4,20,-58.0000,-14.0000,245.0000,85.8000,0.0065,21020.9091
4,21,-71.0000,25.0000,-207.0000,137.4000,0.0043,-28441.6924
4,22,167.0000,54.0000,-96.0000,101.6000,0.0107,-9753.0238
4,23,-14.0000,-134.0000,-318.0000,68.8000,0.0084,-21879.5243
4,24,-27.0000,-74.0000,-118.0000,66.8000,0.0152,-7883.5248
5,0,39.0000,22.0000,-47.0000,88.5000,0.0056,-4159.3761
5,1,30.0000,166.0000,549.0000,104.3333,0.0052,57279.8689
5,2,-121.0000,90.0000,310.0000,125.3333,0.0066,38853.9255
5,3,114.0000,-31.0000,-33.0000,78.8333,0.0146,-2601.9517
5,4,-79.0000,-33.0000,95.0000,63.5000,0.0116,6032.1178
5,5,-66.0000,-18.0000,-53.0000,98.0000,0.0278,-5194.5002
5,6,155.0000,11.0000,-304.0000,148.6667,0.0050,-45194.6121
5,7,189.0000,186.0000,210.0000,73.5000,0.0101,15436.8699
5,8,-116.0000,-43.0000,66.0000,85.6667,0.0105,5653.5472
5,9,163.0000,192.0000,179.0000,103.8333,0.0117,18588.4180
5,10,95.0000,-37.0000,-105.0000,88.0000,0.0084,-9240.3120
5,11,-288.0000,-206.0000,-174.0000,169.3333,0.0043,-29464.8772
5,12,-25.0000,141.0000,313.0000,96.5000,0.0059,30205.3256
5,13,41.0000,-117.0000,-333.0000,134.6667,0.0050,-44844.5873
5,14,-123.0000,-72.0000,184.0000,114.3333,0.0058,21036.9145
5,15,-48.0000,-123.0000,-325.0000,116.0000,0.0060,-37700.7347
5,16,79.0000,-73.0000,-219.0000,82.6667,0.0067,-18104.4926
5,17,-16.0000,-77.0000,-308.0000,78.8333,0.0065,-24281.1684
5,18,-61.0000,-100.0000,-235.0000,70.3333,0.0085,-16529.1858
5,19,-49.0000,32.0000,-3.0000,89.6667,0.0072,-268.7689
5,20,-11.0000,47.0000,61.0000,73.3333,0.0070,4473.6602
5,21,78.0000,149.0000,124.0000,127.5000,0.0046,15810.6809
