t_idx,time_label
0,2020-W01
1,2020-W02
2,2020-W03
3,2020-W04
4,2020-W05
5,2020-W06
6,2020-W07
7,2020-W08
8,2020-W09
9,2020-W10
10,2020-W11
11,2020-W12
12,2020-W13
13,2020-W14
14,2020-W15
15,2020-W16
16,2020-W17
17,2020-W18
18,2020-W19
19,2020-W20
20,2020-W21
21,2020-W22
22,2020-W23
23,2020-W24
24,2020-W25
25,2020-W26
26,2020-W27
27,2020-W28
28,2020-W29
29,2020-W30
30,2020-W31
31,2020-W32
32,2020-W33
33,2020-W34
34,2020-W35
35,2020-W36
36,2020-W37
37,2020-W38
38,2020-W39
39,2020-W40
40,2020-W41
41,2020-W42
42,2020-W43
43,2020-W44
44,2020-W45
45,2020-W46
46,2020-W47
47,2020-W48
48,2020-W49
49,2020-W50
50,2020-W51
51,2020-W52
52,2020-W53
53,2021-W01
54,2021-W02
55,2021-W03
56,2021-W04
57,2021-W05
58,2021-W06
59,2021-W07
60,2021-W08
61,2021-W09
62,2021-W10
63,2021-W11
64,2021-W12
65,2021-W13
66,2021-W14
67,2021-W15
68,2021-W16
69,2021-W17
70,2021-W18
71,2021-W19
72,2021-W20
73,2021-W21
74,2021-W22
75,2021-W23
76,2021-W24
77,2021-W25
78,2021-W26
79,2021-W27
80,2021-W28
81,2021-W29
82,2021-W30
83,2021-W31
84,2021-W32
85,2021-W33
86,2021-W34
87,2021-W35
88,2021-W36
89,2021-W37
90,2021-W38
91,2021-W39
92,2021-W40
93,2021-W41
94,2021-W42
95,2021-W43
96,2021-W44
97,2021-W45
98,2021-W46
99,2021-W47
100,2021-W48
101,2021-W49
102,2021-W50
103,2021-W51
