src_idx,tgt_idx,optimal_lag,max_correlation
0,0,0,1.0000
0,1,22,1.0000
0,2,17,0.7362
0,3,22,1.0000
0,4,22,1.0000
0,5,22,1.0000
0,6,22,1.0000
0,7,20,0.6198
0,8,20,0.9056
0,9,22,1.0000
0,10,22,1.0000
0,11,20,0.6161
0,12,20,0.7560
0,13,20,0.8327
0,14,22,1.0000
0,15,22,1.0000
0,16,21,0.6675
0,17,22,1.0000
0,18,22,1.0000
0,19,21,0.6631
0,20,22,1.0000
0,21,22,1.0000
0,22,16,0.7692
0,23,20,0.9655
0,24,22,1.0000
1,0,22,1.0000
1,1,0,1.0000
1,2,22,1.0000
1,3,21,0.6931
1,4,21,0.9879
1,5,11,0.6660
1,6,21,0.9996
1,7,22,1.0000
1,8,22,1.0000
1,9,8,0.5270
1,10,16,0.6279
1,11,22,1.0000
1,12,22,1.0000
1,13,22,1.0000
1,14,21,0.7685
1,15,21,0.9995
1,16,22,1.0000
1,17,19,0.4885
1,18,21,0.9276
1,19,22,1.0000
1,20,21,0.9931
1,21,7,0.5776
1,22,22,1.0000
1,23,22,1.0000
1,24,11,0.6342
2,0,22,1.0000
2,1,16,0.9487
2,2,0,1.0000
2,3,20,0.6920
2,4,20,0.8300
2,5,20,0.6146
2,6,20,0.4337
2,7,22,1.0000
2,8,22,1.0000
2,9,20,0.4976
2,10,1,0.4843
2,11,22,1.0000
2,12,22,1.0000
2,13,22,1.0000
2,14,4,0.6335
2,15,20,0.4654
2,16,22,1.0000
2,17,9,0.5663
2,18,20,0.8504
2,19,22,1.0000
2,20,20,0.9005
2,21,16,0.8144
2,22,22,1.0000
2,23,22,1.0000
2,24,20,0.6158
3,0,22,1.0000
3,1,21,0.6569
3,2,22,1.0000
3,3,0,1.0000
3,4,21,0.9726
3,5,20,0.8492
3,6,21,0.9142
3,7,22,1.0000
3,8,22,1.0000
3,9,20,0.6476
3,10,20,0.9928
3,11,22,1.0000
3,12,22,1.0000
3,13,22,1.0000
3,14,21,0.9541
3,15,21,0.9124
3,16,22,1.0000
3,17,20,0.8149
3,18,21,0.7156
3,19,22,1.0000
3,20,21,0.8736
3,21,20,0.8326
3,22,22,1.0000
3,23,22,1.0000
3,24,20,0.9090
4,0,22,1.0000
4,1,12,0.5639
4,2,22,1.0000
4,3,19,0.8131
4,4,0,1.0000
4,5,20,0.8959
4,6,18,0.7003
4,7,22,1.0000
4,8,22,1.0000
4,9,20,0.9917
4,10,20,0.7070
4,11,22,1.0000
4,12,22,1.0000
4,13,22,1.0000
4,14,21,0.9819
4,15,17,0.7336
4,16,22,1.0000
4,17,19,0.7458
4,18,20,0.8103
4,19,22,1.0000
4,20,15,0.7531
4,21,19,0.9334
4,22,22,1.0000
4,23,22,1.0000
4,24,20,0.7715
5,0,21,0.6739
5,1,22,1.0000
5,2,13,0.8314
5,3,22,1.0000
5,4,22,1.0000
5,5,22,1.0000
5,6,22,1.0000
5,7,20,0.6634
5,8,21,0.6289
5,9,22,1.0000
5,10,22,1.0000
5,11,20,0.8631
5,12,15,0.6154
5,13,21,0.8763
5,14,22,1.0000
5,15,22,1.0000
5,16,21,0.8745
5,17,22,1.0000
5,18,22,1.0000
5,19,21,0.8773
5,20,22,1.0000
5,21,22,1.0000
5,22,13,0.6187
5,23,21,0.5664
5,24,22,1.0000
6,0,21,0.6422
6,1,22,1.0000
6,2,18,0.4857
6,3,22,1.0000
6,4,22,1.0000
6,5,22,1.0000
6,6,22,1.0000
6,7,15,0.6209
6,8,19,0.5645
6,9,22,1.0000
6,10,22,1.0000
6,11,20,0.3867
6,12,19,0.8278
6,13,20,0.4841
6,14,22,1.0000
6,15,22,1.0000
6,16,20,0.8925
6,17,22,1.0000
6,18,22,1.0000
6,19,21,0.3586
6,20,22,1.0000
6,21,22,1.0000
6,22,8,0.5029
6,23,12,0.5540
6,24,22,1.0000
7,0,21,0.9982
7,1,22,1.0000
7,2,18,0.5805
7,3,22,1.0000
7,4,22,1.0000
7,5,22,1.0000
7,6,22,1.0000
7,7,0,1.0000
7,8,19,0.5558
7,9,22,1.0000
7,10,22,1.0000
7,11,20,0.9104
7,12,15,0.7491
7,13,21,0.2932
7,14,22,1.0000
7,15,22,1.0000
7,16,21,0.9653
7,17,22,1.0000
7,18,22,1.0000
7,19,21,0.9638
7,20,22,1.0000
7,21,22,1.0000
7,22,19,0.5774
7,23,20,0.5994
7,24,22,1.0000
8,0,21,0.6593
8,1,22,1.0000
8,2,16,0.8241
8,3,22,1.0000
8,4,22,1.0000
8,5,22,1.0000
8,6,22,1.0000
8,7,18,0.6982
8,8,0,1.0000
8,9,22,1.0000
8,10,22,1.0000
8,11,20,0.8245
8,12,16,0.6486
