t_idx,src_idx,tgt_idx,coherence,phase_shift
12,0,0,1.0000,0.0000
12,0,1,1.0000,-0.3078
12,0,2,1.0000,-0.3134
12,0,3,1.0000,-0.3090
12,0,4,1.0000,-0.1827
12,0,5,1.0000,-0.2262
12,0,6,1.0000,-0.2517
12,0,7,1.0000,-0.1839
12,0,8,1.0000,-0.2165
12,0,9,1.0000,-0.1275
12,0,10,1.0000,-0.4546
12,0,11,1.0000,-0.3966
12,0,12,1.0000,-0.5491
12,0,13,1.0000,-0.1890
12,0,14,1.0000,-0.1796
12,0,15,1.0000,-0.2333
12,0,16,1.0000,-0.3051
12,0,17,1.0000,-0.3240
12,0,18,1.0000,-0.2151
12,0,19,1.0000,-0.2366
12,0,20,1.0000,-0.3498
12,0,21,1.0000,-0.3950
12,0,22,1.0000,-0.4926
12,0,23,1.0000,-0.3737
12,0,24,1.0000,-0.1755
12,1,0,1.0000,0.3078
12,1,1,1.0000,0.0000
12,1,2,1.0000,-0.0055
12,1,3,1.0000,-0.0012
12,1,4,1.0000,0.1252
12,1,5,1.0000,0.0816
12,1,6,1.0000,0.0562
12,1,7,1.0000,0.1239
12,1,8,1.0000,0.0914
12,1,9,1.0000,0.1804
12,1,10,1.0000,-0.1468
12,1,11,1.0000,-0.0887
12,1,12,1.0000,-0.2413
12,1,13,1.0000,0.1189
12,1,14,1.0000,0.1282
12,1,15,1.0000,0.0745
12,1,16,1.0000,0.0028
12,1,17,1.0000,-0.0161
12,1,18,1.0000,0.0927
12,1,19,1.0000,0.0712
12,1,20,1.0000,-0.0420
12,1,21,1.0000,-0.0871
12,1,22,1.0000,-0.1848
12,1,23,1.0000,-0.0658
12,1,24,1.0000,0.1324
12,2,0,1.0000,0.3134
12,2,1,1.0000,0.0055
12,2,2,1.0000,0.0000
12,2,3,1.0000,0.0044
12,2,4,1.0000,0.1307
12,2,5,1.0000,0.0872
12,2,6,1.0000,0.0617
12,2,7,1.0000,0.1294
12,2,8,1.0000,0.0969
12,2,9,1.0000,0.1859
12,2,10,1.0000,-0.1412
12,2,11,1.0000,-0.0832
12,2,12,1.0000,-0.2357
12,2,13,1.0000,0.1244
12,2,14,1.0000,0.1337
12,2,15,1.0000,0.0801
12,2,16,1.0000,0.0083
12,2,17,1.0000,-0.0106
12,2,18,1.0000,0.0983
12,2,19,1.0000,0.0768
12,2,20,1.0000,-0.0364
12,2,21,1.0000,-0.0816
12,2,22,1.0000,-0.1792
12,2,23,1.0000,-0.0603
12,2,24,1.0000,0.1379
12,3,0,1.0000,0.3090
12,3,1,1.0000,0.0012
12,3,2,1.0000,-0.0044
12,3,3,1.0000,0.0000
12,3,4,1.0000,0.1264
12,3,5,1.0000,0.0828
12,3,6,1.0000,0.0573
12,3,7,1.0000,0.1251
12,3,8,1.0000,0.0926
12,3,9,1.0000,0.1815
12,3,10,1.0000,-0.1456
12,3,11,1.0000,-0.0876
12,3,12,1.0000,-0.2401
12,3,13,1.0000,0.1200
12,3,14,1.0000,0.1294
12,3,15,1.0000,0.0757
12,3,16,1.0000,0.0039
12,3,17,1.0000,-0.0150
12,3,18,1.0000,0.0939
12,3,19,1.0000,0.0724
12,3,20,1.0000,-0.0408
12,3,21,1.0000,-0.0860
12,3,22,1.0000,-0.1836
12,3,23,1.0000,-0.0646
12,3,24,1.0000,0.1335
12,4,0,1.0000,0.1827
12,4,1,1.0000,-0.1252
12,4,2,1.0000,-0.1307
12,4,3,1.0000,-0.1264
12,4,4,1.0000,-0.0000
12,4,5,1.0000,-0.0436
12,4,6,1.0000,-0.0690
12,4,7,1.0000,-0.0013
12,4,8,1.0000,-0.0338
12,4,9,1.0000,0.0552
12,4,10,1.0000,-0.2720
12,4,11,1.0000,-0.2139
12,4,12,1.0000,-0.3664
12,4,13,1.0000,-0.0063
12,4,14,1.0000,0.0030
12,4,15,1.0000,-0.0506
12,4,16,1.0000,-0.1224
12,4,17,1.0000,-0.1413
12,4,18,1.0000,-0.0325
12,4,19,1.0000,-0.0540
12,4,20,1.0000,-0.1672
12,4,21,1.0000,-0.2123
12,4,22,1.0000,-0.3099
12,4,23,1.0000,-0.1910
12,4,24,1.0000,0.0072
12,5,0,1.0000,0.2262
12,5,1,1.0000,-0.0816
12,5,2,1.0000,-0.0872
12,5,3,1.0000,-0.0828
12,5,4,1.0000,0.0436
12,5,5,1.0000,0.0000
12,5,6,1.0000,-0.0255
12,5,7,1.0000,0.0423
12,5,8,1.0000,0.0098
12,5,9,1.0000,0.0987
12,5,10,1.0000,-0.2284
12,5,11,1.0000,-0.1704
12,5,12,1.0000,-0.3229
12,5,13,1.0000,0.0372
12,5,14,1.0000,0.0466
12,5,15,1.0000,-0.0071
12,5,16,1.0000,-0.0789
12,5,17,1.0000,-0.0978
12,5,18,1.0000,0.0111
12,5,19,1.0000,-0.0104
12,5,20,1.0000,-0.1236
12,5,21,1.0000,-0.1688
12,5,22,1.0000,-0.2664
12,5,23,1.0000,-0.1474
12,5,24,1.0000,0.0507
12,6,0,1.0000,0.2517
12,6,1,1.0000,-0.0562
12,6,2,1.0000,-0.0617
12,6,3,1.0000,-0.0573
12,6,4,1.0000,0.0690
12,6,5,1.0000,0.0255
12,6,6,1.0000,0.0000
12,6,7,1.0000,0.0677
12,6,8,1.0000,0.0352
12,6,9,1.0000,0.1242
12,6,10,1.0000,-0.2029
12,6,11,1.0000,-0.1449
12,6,12,1.0000,-0.2974
12,6,13,1.0000,0.0627
12,6,14,1.0000,0.0720
12,6,15,1.0000,0.0184
12,6,16,1.0000,-0.0534
12,6,17,1.0000,-0.0723
12,6,18,1.0000,0.0366
12,6,19,1.0000,0.0151
12,6,20,1.0000,-0.0981
12,6,21,1.0000,-0.1433
12,6,22,1.0000,-0.2409
12,6,23,1.0000,-0.1220
12,6,24,1.0000,0.0762
12,7,0,1.0000,0.1839
12,7,1,1.0000,-0.1239
12,7,2,1.0000,-0.1294
12,7,3,1.0000,-0.1251
12,7,4,1.0000,0.0013
12,7,5,1.0000,-0.0423
12,7,6,1.0000,-0.0677
12,7,7,1.0000,-0.0000
12,7,8,1.0000,-0.0325
12,7,9,1.0000,0.0565
12,7,10,1.0000,-0.2707
12,7,11,1.0000,-0.2126
12,7,12,1.0000,-0.3652
12,7,13,1.0000,-0.0050
12,7,14,1.0000,0.0043
12,7,15,1.0000,-0.0494
12,7,16,1.0000,-0.1211
12,7,17,1.0000,-0.1400
12,7,18,1.0000,-0.0312
12,7,19,1.0000,-0.0527
12,7,20,1.0000,-0.1659
12,7,21,1.0000,-0.2110
12,7,22,1.0000,-0.3087
12,7,23,1.0000,-0.1897
12,7,24,1.0000,0.0085
12,8,0,1.0000,0.2165
12,8,1,1.0000,-0.0914
12,8,2,1.0000,-0.0969
12,8,3,1.0000,-0.0926
12,8,4,1.0000,0.0338
12,8,5,1.0000,-0.0098
12,8,6,1.0000,-0.0352
12,8,7,1.0000,0.0325
12,8,8,1.0000,-0.0000
12,8,9,1.0000,0.0890
12,8,10,1.0000,-0.2382
12,8,11,1.0000,-0.1801
12,8,12,1.0000,-0.3326
12,8,13,1.0000,0.0275
12,8,14,1.0000,0.0368
12,8,15,1.0000,-0.0168
12,8,16,1.0000,-0.0886
12,8,17,1.0000,-0.1075
12,8,18,1.0000,0.0013
12,8,19,1.0000,-0.0202
12,8,20,1.0000,-0.1334
12,8,21,1.0000,-0.1785
12,8,22,1.0000,-0.2761
12,8,23,1.0000,-0.1572
12,8,24,1.0000,0.0410
12,9,0,1.0000,0.1275
12,9,1,1.0000,-0.1804
12,9,2,1.0000,-0.1859
12,9,3,1.0000,-0.1815
12,9,4,1.0000,-0.0552
12,9,5,1.0000,-0.0987
12,9,6,1.0000,-0.1242
12,9,7,1.0000,-0.0565
12,9,8,1.0000,-0.0890
12,9,9,1.0000,0.0000
12,9,10,1.0000,-0.3271
12,9,11,1.0000,-0.2691
12,9,12,1.0000,-0.4216
12,9,13,1.0000,-0.0615
12,9,14,1.0000,-0.0522
12,9,15,1.0000,-0.1058
12,9,16,1.0000,-0.1776
12,9,17,1.0000,-0.1965
12,9,18,1.0000,-0.0877
12,9,19,1.0000,-0.1091
12,9,20,1.0000,-0.2223
12,9,21,1.0000,-0.2675
12,9,22,1.0000,-0.3651
12,9,23,1.0000,-0.2462
12,9,24,1.0000,-0.0480
12,10,0,1.0000,0.4546
12,10,1,1.0000,0.1468
12,10,2,1.0000,0.1412
12,10,3,1.0000,0.1456
12,10,4,1.0000,0.2720
12,10,5,1.0000,0.2284
12,10,6,1.0000,0.2029
12,10,7,1.0000,0.2707
12,10,8,1.0000,0.2382
12,10,9,1.0000,0.3271
12,10,10,1.0000,0.0000
12,10,11,1.0000,0.0580
12,10,12,1.0000,-0.0945
12,10,13,1.0000,0.2656
12,10,14,1.0000,0.2750
12,10,15,1.0000,0.2213
12,10,16,1.0000,0.1495
12,10,17,1.0000,0.1306
12,10,18,1.0000,0.2395
12,10,19,1.0000,0.2180
12,10,20,1.0000,0.1048
12,10,21,1.0000,0.0596
12,10,22,1.0000,-0.0380
12,10,23,1.0000,0.0810
12,10,24,1.0000,0.2791
12,11,0,1.0000,0.3966
12,11,1,1.0000,0.0887
12,11,2,1.0000,0.0832
12,11,3,1.0000,0.0876
12,11,4,1.0000,0.2139
12,11,5,1.0000,0.1704
12,11,6,1.0000,0.1449
12,11,7,1.0000,0.2126
12,11,8,1.0000,0.1801
12,11,9,1.0000,0.2691
12,11,10,1.0000,-0.0580
12,11,11,1.0000,0.0000
12,11,12,1.0000,-0.1525
12,11,13,1.0000,0.2076
12,11,14,1.0000,0.2169
12,11,15,1.0000,0.1633
12,11,16,1.0000,0.0915
12,11,17,1.0000,0.0726
12,11,18,1.0000,0.1815
12,11,19,1.0000,0.1600
12,11,20,1.0000,0.0468
12,11,21,1.0000,0.0016
12,11,22,1.0000,-0.0960
12,11,23,1.0000,0.0229
12,11,24,1.0000,0.2211
12,12,0,1.0000,0.5491
12,12,1,1.0000,0.2413
12,12,2,1.0000,0.2357
12,12,3,1.0000,0.2401
12,12,4,1.0000,0.3664
12,12,5,1.0000,0.3229
12,12,6,1.0000,0.2974
12,12,7,1.0000,0.3652
12,12,8,1.0000,0.3326
12,12,9,1.0000,0.4216
12,12,10,1.0000,0.0945
12,12,11,1.0000,0.1525
12,12,12,1.0000,-0.0000
12,12,13,1.0000,0.3601
12,12,14,1.0000,0.3694
12,12,15,1.0000,0.3158
12,12,16,1.0000,0.2440
12,12,17,1.0000,0.2251
12,12,18,1.0000,0.3340
12,12,19,1.0000,0.3125
12,12,20,1.0000,0.1993
12,12,21,1.0000,0.1541
12,12,22,1.0000,0.0565
12,12,23,1.0000,0.1754
12,12,24,1.0000,0.3736
12,13,0,1.0000,0.1890
12,13,1,1.0000,-0.1189
12,13,2,1.0000,-0.1244
12,13,3,1.0000,-0.1200
12,13,4,1.0000,0.0063
12,13,5,1.0000,-0.0372
12,13,6,1.0000,-0.0627
12,13,7,1.0000,0.0050
12,13,8,1.0000,-0.0275
12,13,9,1.0000,0.0615
12,13,10,1.0000,-0.2656
12,13,11,1.0000,-0.2076
12,13,12,1.0000,-0.3601
12,13,13,1.0000,-0.0000
12,13,14,1.0000,0.0093
12,13,15,1.0000,-0.0443
12,13,16,1.0000,-0.1161
12,13,17,1.0000,-0.1350
12,13,18,1.0000,-0.0262
12,13,19,1.0000,-0.0476
12,13,20,1.0000,-0.1608
12,13,21,1.0000,-0.2060
12,13,22,1.0000,-0.3036
12,13,23,1.0000,-0.1847
12,13,24,1.0000,0.0135
12,14,0,1.0000,0.1796
12,14,1,1.0000,-0.1282
12,14,2,1.0000,-0.1337
12,14,3,1.0000,-0.1294
12,14,4,1.0000,-0.0030
12,14,5,1.0000,-0.0466
12,14,6,1.0000,-0.0720
12,14,7,1.0000,-0.0043
12,14,8,1.0000,-0.0368
12,14,9,1.0000,0.0522
12,14,10,1.0000,-0.2750
12,14,11,1.0000,-0.2169
12,14,12,1.0000,-0.3694
12,14,13,1.0000,-0.0093
12,14,14,1.0000,0.0000
12,14,15,1.0000,-0.0537
12,14,16,1.0000,-0.1254
12,14,17,1.0000,-0.1443
12,14,18,1.0000,-0.0355
12,14,19,1.0000,-0.0570
12,14,20,1.0000,-0.1702
12,14,21,1.0000,-0.2153
12,14,22,1.0000,-0.3130
12,14,23,1.0000,-0.1940
12,14,24,1.0000,0.0042
12,15,0,1.0000,0.2333
12,15,1,1.0000,-0.0745
12,15,2,1.0000,-0.0801
12,15,3,1.0000,-0.0757
12,15,4,1.0000,0.0506
12,15,5,1.0000,0.0071
12,15,6,1.0000,-0.0184
12,15,7,1.0000,0.0494
12,15,8,1.0000,0.0168
12,15,9,1.0000,0.1058
12,15,10,1.0000,-0.2213
12,15,11,1.0000,-0.1633
12,15,12,1.0000,-0.3158
12,15,13,1.0000,0.0443
12,15,14,1.0000,0.0537
12,15,15,1.0000,0.0000
12,15,16,1.0000,-0.0718
12,15,17,1.0000,-0.0907
12,15,18,1.0000,0.0182
12,15,19,1.0000,-0.0033
12,15,20,1.0000,-0.1165
12,15,21,1.0000,-0.1617
12,15,22,1.0000,-0.2593
12,15,23,1.0000,-0.1404
12,15,24,1.0000,0.0578
12,16,0,1.0000,0.3051
12,16,1,1.0000,-0.0028
12,16,2,1.0000,-0.0083
12,16,3,1.0000,-0.0039
12,16,4,1.0000,0.1224
12,16,5,1.0000,0.0789
12,16,6,1.0000,0.0534
12,16,7,1.0000,0.1211
12,16,8,1.0000,0.0886
12,16,9,1.0000,0.1776
12,16,10,1.0000,-0.1495
12,16,11,1.0000,-0.0915
12,16,12,1.0000,-0.2440
12,16,13,1.0000,0.1161
12,16,14,1.0000,0.1254
12,16,15,1.0000,0.0718
12,16,16,1.0000,0.0000
12,16,17,1.0000,-0.0189
12,16,18,1.0000,0.0900
12,16,19,1.0000,0.0685
12,16,20,1.0000,-0.0447
12,16,21,1.0000,-0.0899
