t_idx,node_idx,optimal_input_u,state_error_x
0,0,0.0000,183.0000
0,1,0.0000,108.0000
0,2,0.0000,214.0000
0,3,0.0000,5.0000
0,4,0.0000,42.0000
0,5,0.0000,143.0000
0,6,0.0000,54.0000
0,7,0.0000,128.0000
0,8,0.0000,67.0000
0,9,0.0000,100.0000
0,10,0.0000,57.0000
0,11,0.0000,277.0000
0,12,0.0000,213.0000
0,13,0.0000,300.0000
0,14,0.0000,204.0000
0,15,0.0000,299.0000
0,16,0.0000,24.0000
0,17,0.0000,85.0000
0,18,0.0000,194.0000
0,19,0.0000,20.0000
0,20,0.0000,110.0000
0,21,0.0000,97.0000
0,22,0.0000,152.0000
0,23,0.0000,122.0000
0,24,0.0000,132.0000
1,0,0.0000,147.0000
1,1,0.0000,66.0000
1,2,0.0000,52.0000
1,3,0.0000,54.0000
1,4,0.0000,129.0000
1,5,0.0000,165.0000
1,6,0.0000,147.0000
1,7,0.0000,20.0000
1,8,0.0000,36.0000
1,9,0.0000,122.0000
1,10,0.0000,46.0000
1,11,0.0000,223.0000
1,12,0.0000,137.0000
1,13,0.0000,130.0000
1,14,0.0000,80.0000
1,15,0.0000,62.0000
1,16,0.0000,1.0000
1,17,0.0000,35.0000
1,18,0.0000,19.0000
1,19,0.0000,240.0000
1,20,0.0000,2.0000
1,21,0.0000,95.0000
1,22,0.0000,39.0000
1,23,0.0000,24.0000
1,24,0.0000,125.0000
2,0,0.0000,93.0000
2,1,0.0000,39.0000
2,2,0.0000,145.0000
2,3,0.0000,12.0000
2,4,0.0000,3.0000
2,5,0.0000,83.0000
2,6,0.0000,221.0000
2,7,0.0000,74.0000
2,8,0.0000,186.0000
2,9,0.0000,167.0000
2,10,0.0000,134.0000
2,11,0.0000,96.0000
2,12,0.0000,32.0000
2,13,0.0000,121.0000
2,14,0.0000,23.0000
2,15,0.0000,85.0000
2,16,0.0000,234.0000
2,17,0.0000,106.0000
2,18,0.0000,13.0000
2,19,0.0000,32.0000
2,20,0.0000,215.0000
2,21,0.0000,328.0000
2,22,0.0000,37.0000
2,23,0.0000,64.0000
2,24,0.0000,3.0000
3,0,0.0000,52.0000
3,1,0.0000,247.0000
3,2,0.0000,9.0000
3,3,0.0000,143.0000
3,4,0.0000,82.0000
3,5,0.0000,83.0000
3,6,0.0000,171.0000
3,7,0.0000,27.0000
3,8,0.0000,36.0000
3,9,0.0000,42.0000
3,10,0.0000,64.0000
3,11,0.0000,50.0000
3,12,0.0000,6.0000
3,13,0.0000,58.0000
3,14,0.0000,205.0000
3,15,0.0000,127.0000
3,16,0.0000,6.0000
3,17,0.0000,170.0000
3,18,0.0000,96.0000
3,19,0.0000,116.0000
3,20,0.0000,44.0000
3,21,0.0000,96.0000
3,22,0.0000,113.0000
3,23,0.0000,120.0000
3,24,0.0000,47.0000
4,0,0.0000,17.0000
4,1,0.0000,136.0000
4,2,0.0000,211.0000
4,3,0.0000,145.0000
4,4,0.0000,46.0000
4,5,0.0000,48.0000
4,6,0.0000,144.0000
4,7,0.0000,3.0000
4,8,0.0000,73.0000
4,9,0.0000,29.0000
4,10,0.0000,132.0000
4,11,0.0000,82.0000
4,12,0.0000,166.0000
4,13,0.0000,158.0000
4,14,0.0000,51.0000
4,15,0.0000,75.0000
4,16,0.0000,152.0000
4,17,0.0000,61.0000
4,18,0.0000,39.0000
4,19,0.0000,81.0000
4,20,0.0000,58.0000
4,21,0.0000,71.0000
4,22,0.0000,167.0000
4,23,0.0000,14.0000
4,24,0.0000,27.0000
5,0,0.0000,39.0000
5,1,0.0000,30.0000
5,2,0.0000,121.0000
5,3,0.0000,114.0000
5,4,0.0000,79.0000
5,5,0.0000,66.0000
5,6,0.0000,155.0000
5,7,0.0000,189.0000
5,8,0.0000,116.0000
5,9,0.0000,163.0000
5,10,0.0000,95.0000
5,11,0.0000,288.0000
5,12,0.0000,25.0000
5,13,0.0000,41.0000
5,14,0.0000,123.0000
5,15,0.0000,48.0000
5,16,0.0000,79.0000
5,17,0.0000,16.0000
5,18,0.0000,61.0000
5,19,0.0000,49.0000
5,20,0.0000,11.0000
5,21,0.0000,78.0000
5,22,0.0000,173.0000
5,23,0.0000,152.0000
5,24,0.0000,1.0000
6,0,0.0000,45.0000
6,1,0.0000,189.0000
6,2,0.0000,67.0000
6,3,0.0000,92.0000
6,4,0.0000,103.0000
6,5,0.0000,233.0000
6,6,0.0000,233.0000
6,7,0.0000,17.0000
6,8,0.0000,32.0000
6,9,0.0000,190.0000
6,10,0.0000,122.0000
6,11,0.0000,20.0000
6,12,0.0000,194.0000
6,13,0.0000,135.0000
6,14,0.0000,116.0000
6,15,0.0000,158.0000
6,16,0.0000,73.0000
6,17,0.0000,42.0000
6,18,0.0000,25.0000
6,19,0.0000,14.0000
6,20,0.0000,35.0000
6,21,0.0000,214.0000
6,22,0.0000,27.0000
6,23,0.0000,139.0000
6,24,0.0000,127.0000
7,0,0.0000,78.0000
7,1,0.0000,126.0000
7,2,0.0000,32.0000
7,3,0.0000,3.0000
7,4,0.0000,52.0000
7,5,0.0000,67.0000
7,6,0.0000,22.0000
7,7,0.0000,13.0000
7,8,0.0000,141.0000
7,9,0.0000,275.0000
7,10,0.0000,22.0000
7,11,0.0000,102.0000
7,12,0.0000,18.0000
7,13,0.0000,76.0000
7,14,0.0000,272.0000
7,15,0.0000,3.0000
7,16,0.0000,281.0000
7,17,0.0000,315.0000
7,18,0.0000,115.0000
7,19,0.0000,10.0000
7,20,0.0000,57.0000
7,21,0.0000,167.0000
7,22,0.0000,30.0000
7,23,0.0000,140.0000
7,24,0.0000,27.0000
8,0,0.0000,23.0000
8,1,0.0000,296.0000
8,2,0.0000,142.0000
8,3,0.0000,122.0000
8,4,0.0000,45.0000
8,5,0.0000,51.0000
8,6,0.0000,253.0000
8,7,0.0000,57.0000
8,8,0.0000,137.0000
8,9,0.0000,50.0000
8,10,0.0000,194.0000
8,11,0.0000,49.0000
8,12,0.0000,190.0000
8,13,0.0000,137.0000
8,14,0.0000,58.0000
8,15,0.0000,15.0000
8,16,0.0000,95.0000
8,17,0.0000,279.0000
8,18,0.0000,94.0000
8,19,0.0000,53.0000
8,20,0.0000,109.0000
8,21,0.0000,24.0000
8,22,0.0000,68.0000
8,23,0.0000,159.0000
8,24,0.0000,146.0000
9,0,0.0000,104.0000
9,1,0.0000,2.0000
9,2,0.0000,32.0000
9,3,0.0000,153.0000
9,4,0.0000,11.0000
9,5,0.0000,120.0000
9,6,0.0000,103.0000
9,7,0.0000,62.0000
9,8,0.0000,71.0000
9,9,0.0000,4.0000
9,10,0.0000,28.0000
9,11,0.0000,114.0000
9,12,0.0000,16.0000
9,13,0.0000,51.0000
9,14,0.0000,65.0000
9,15,0.0000,225.0000
9,16,0.0000,44.0000
9,17,0.0000,72.0000
9,18,0.0000,22.0000
9,19,0.0000,276.0000
9,20,0.0000,59.0000
9,21,0.0000,75.0000
9,22,0.0000,40.0000
9,23,0.0000,21.0000
9,24,0.0000,108.0000
10,0,0.0000,16.0000
10,1,0.0000,84.0000
10,2,0.0000,137.0000
10,3,0.0000,58.0000
10,4,0.0000,247.0000
10,5,0.0000,87.0000
10,6,0.0000,102.0000
10,7,0.0000,69.0000
10,8,0.0000,35.0000
10,9,0.0000,83.0000
10,10,0.0000,77.0000
10,11,0.0000,138.0000
10,12,0.0000,52.0000
10,13,0.0000,157.0000
10,14,0.0000,68.0000
10,15,0.0000,92.0000
10,16,0.0000,168.0000
10,17,0.0000,33.0000
10,18,0.0000,166.0000
10,19,0.0000,230.0000
10,20,0.0000,2.0000
10,21,0.0000,7.0000
10,22,0.0000,177.0000
10,23,0.0000,161.0000
10,24,0.0000,104.0000
11,0,0.0000,24.0000
11,1,0.0000,66.0000
11,2,0.0000,121.0000
11,3,0.0000,9.0000
11,4,0.0000,101.0000
11,5,0.0000,74.0000
11,6,0.0000,50.0000
11,7,0.0000,60.0000
11,8,0.0000,12.0000
11,9,0.0000,119.0000
11,10,0.0000,48.0000
11,11,0.0000,103.0000
11,12,0.0000,119.0000
11,13,0.0000,64.0000
11,14,0.0000,0.0000
11,15,0.0000,6.0000
11,16,0.0000,131.0000
11,17,0.0000,0.0000
11,18,0.0000,77.0000
11,19,0.0000,266.0000
11,20,0.0000,106.0000
11,21,0.0000,76.0000
11,22,0.0000,103.0000
11,23,0.0000,118.0000
11,24,0.0000,49.0000
12,0,0.0000,39.0000
12,1,0.0000,104.0000
12,2,0.0000,77.0000
12,3,0.0000,28.0000
12,4,0.0000,8.0000
12,5,0.0000,104.0000
12,6,0.0000,96.0000
12,7,0.0000,193.0000
12,8,0.0000,80.0000
12,9,0.0000,129.0000
12,10,0.0000,170.0000
12,11,0.0000,218.0000
12,12,0.0000,259.0000
12,13,0.0000,20.0000
12,14,0.0000,203.0000
12,15,0.0000,41.0000
12,16,0.0000,220.0000
12,17,0.0000,216.0000
12,18,0.0000,6.0000
12,19,0.0000,13.0000
12,20,0.0000,230.0000
12,21,0.0000,222.0000
12,22,0.0000,13.0000
12,23,0.0000,12.0000
12,24,0.0000,35.0000
13,0,0.0000,24.0000
13,1,0.0000,79.0000
13,2,0.0000,47.0000
13,3,0.0000,111.0000
13,4,0.0000,79.0000
13,5,0.0000,13.0000
13,6,0.0000,199.0000
13,7,0.0000,36.0000
13,8,0.0000,51.0000
13,9,0.0000,274.0000
13,10,0.0000,111.0000
13,11,0.0000,189.0000
13,12,0.0000,171.0000
13,13,0.0000,102.0000
13,14,0.0000,193.0000
13,15,0.0000,180.0000
