t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,249539.0000,41.0042,0.0000,0.0000,0.0000,0.0000,249539.0000
1,232451.0000,41.0012,266207.5000,0.0000,0.0000,0.0000,-10682384.5304
2,249081.0000,41.0041,318607.5556,0.0000,0.0000,0.0000,-12815123.4702
3,240775.0000,41.0026,301576.2500,0.0000,0.0000,0.0000,-12124631.9217
4,248606.0000,41.0012,256115.1250,0.0000,0.0000,0.0000,-10252423.6988
5,240778.0000,41.0055,256788.0000,0.0000,0.0000,0.0000,-10288954.8580
6,249675.0000,41.0044,238010.6250,0.0000,0.0000,0.0000,-9509807.4759
7,249442.0000,41.0024,254765.3750,0.0000,0.0000,0.0000,-10196538.2927
8,241166.0000,41.0019,292291.3750,0.0000,0.0000,0.0000,-11743344.9214
9,249975.0000,41.0023,291493.5000,0.0000,0.0000,0.0000,-11701941.6670
10,241308.0000,41.0026,295028.6250,0.0000,0.0000,0.0000,-11855623.2741
11,249421.0000,41.0015,242387.3750,0.0000,0.0000,0.0000,-9688835.5526
12,248696.0000,41.0015,269220.6250,0.0000,0.0000,0.0000,-10789753.3951
13,224751.0000,40.9993,375732.1250,0.0000,0.0000,0.0000,-15179994.5227
14,249730.0000,41.0043,391779.3750,0.0000,0.0000,0.0000,-15814898.4658
15,240934.0000,41.0028,390634.8750,0.0000,0.0000,0.0000,-15776204.1823
16,249801.0000,41.0049,310938.5000,0.0000,0.0000,0.0000,-12500190.5364
17,240882.0000,40.9998,295866.5000,0.0000,0.0000,0.0000,-11889593.9243
18,249344.0000,41.0026,242868.7500,0.0000,0.0000,0.0000,-9708907.7313
19,249094.0000,40.9991,309890.8750,0.0000,0.0000,0.0000,-12456159.2499
20,240727.0000,41.0009,373706.8750,0.0000,0.0000,0.0000,-15081606.1385
21,248760.0000,41.0017,418099.8750,0.0000,0.0000,0.0000,-16894030.7147
22,240680.0000,41.0010,396056.2500,0.0000,0.0000,0.0000,-15998012.5945
23,249557.0000,41.0051,329811.0000,0.0000,0.0000,0.0000,-13274382.3009
24,249444.0000,40.9992,319543.8750,0.0000,0.0000,0.0000,-12851596.0419
25,224784.0000,41.0004,269118.6250,0.0000,0.0000,0.0000,-10809177.7628
26,249375.0000,40.9981,292161.1250,0.0000,0.0000,0.0000,-11728670.7296
27,241407.0000,40.9996,407721.7500,0.0000,0.0000,0.0000,-16475013.5145
28,250321.0000,41.0065,363444.8750,0.0000,0.0000,0.0000,-14653264.8959
29,241389.0000,41.0033,334674.7500,0.0000,0.0000,0.0000,-13481394.3512
30,249700.0000,41.0024,284452.3750,0.0000,0.0000,0.0000,-11413543.7990
31,248907.0000,40.9998,274903.7500,0.0000,0.0000,0.0000,-11022102.3106
32,242055.0000,41.0035,256851.3750,0.0000,0.0000,0.0000,-10289744.8647
33,248551.0000,41.0020,285218.8750,0.0000,0.0000,0.0000,-11446001.9325
34,241719.0000,41.0017,256694.6250,0.0000,0.0000,0.0000,-10283207.1412
35,120422.0000,40.9960,224291.5000,0.0000,0.0000,0.0000,-9074636.3295
