t_idx,node_idx,ik_suggested_delta,ik_strain_energy
0,0,0.8543,1879.0440
0,1,0.5704,1879.0440
0,2,0.4884,1879.0440
0,3,3.4068,1879.0440
0,4,5.0274,1879.0440
0,5,5.8733,1879.0440
0,6,2.2468,1879.0440
0,7,6.0613,1879.0440
0,8,15.0398,1879.0440
0,9,9.3877,1879.0440
0,10,3.1144,1879.0440
0,11,1.1614,1879.0440
0,12,0.4569,1879.0440
0,13,13.5289,1879.0440
0,14,48.7033,1879.0440
0,15,5.5169,1879.0440
0,16,2.1201,1879.0440
0,17,19.5955,1879.0440
0,18,14.1409,1879.0440
0,19,8.7925,1879.0440
0,20,0.7888,1879.0440
0,21,0.5256,1879.0440
0,22,3.1878,1879.0440
0,23,4.7594,1879.0440
0,24,5.7535,1879.0440
1,0,0.8359,1879.5826
1,1,0.5620,1879.5826
1,2,0.4894,1879.5826
1,3,3.3678,1879.5826
1,4,4.9489,1879.5826
1,5,5.8495,1879.5826
1,6,2.2394,1879.5826
1,7,6.0086,1879.5826
1,8,14.9117,1879.5826
1,9,9.3121,1879.5826
1,10,3.1128,1879.5826
1,11,1.1600,1879.5826
1,12,0.4629,1879.5826
1,13,13.6870,1879.5826
1,14,48.7390,1879.5826
1,15,5.5335,1879.5826
1,16,2.1212,1879.5826
1,17,19.5525,1879.5826
1,18,14.1589,1879.5826
1,19,8.8047,1879.5826
1,20,0.7860,1879.5826
1,21,0.5276,1879.5826
1,22,3.2127,1879.5826
1,23,4.8504,1879.5826
1,24,5.7824,1879.5826
2,0,0.0396,0.0000
2,1,-0.0084,0.0000
2,2,0.0103,0.0000
2,3,0.0376,0.0000
2,4,-0.0301,0.0000
2,5,0.0336,0.0000
2,6,0.0056,0.0000
2,7,-0.0221,0.0000
2,8,0.0374,0.0000
2,9,-0.0318,0.0000
2,10,-0.0150,0.0000
2,11,0.0069,0.0000
2,12,-0.0942,0.0000
2,13,-0.0034,0.0000
2,14,0.0744,0.0000
2,15,0.0153,0.0000
2,16,0.0419,0.0000
2,17,-0.0424,0.0000
2,18,-0.1180,0.0000
2,19,0.0591,0.0000
2,20,-0.0314,0.0000
2,21,-0.0088,0.0000
2,22,0.1135,0.0000
2,23,-0.0525,0.0000
2,24,-0.0172,0.0000
3,0,0.0640,0.0000
3,1,-0.0128,0.0000
3,2,0.0199,0.0000
3,3,0.0485,0.0000
3,4,-0.0514,0.0000
3,5,0.0570,0.0000
3,6,0.0136,0.0000
3,7,-0.0390,0.0000
3,8,0.0588,0.0000
3,9,-0.0469,0.0000
3,10,-0.0271,0.0000
3,11,0.0165,0.0000
3,12,-0.1653,0.0000
3,13,0.0237,0.0000
3,14,0.1169,0.0000
3,15,0.0301,0.0000
3,16,0.0732,0.0000
3,17,-0.0815,0.0000
3,18,-0.1929,0.0000
3,19,0.0964,0.0000
3,20,-0.0437,0.0000
3,21,-0.0282,0.0000
3,22,0.1888,0.0000
3,23,-0.0808,0.0000
3,24,-0.0378,0.0000
4,0,0.1399,0.0000
4,1,-0.0669,0.0000
4,2,0.0974,0.0000
4,3,0.0365,0.0000
4,4,-0.1316,0.0000
4,5,0.1529,0.0000
4,6,0.0159,0.0000
4,7,-0.0461,0.0000
4,8,0.0548,0.0000
4,9,-0.0533,0.0000
4,10,-0.0229,0.0000
4,11,-0.0092,0.0000
4,12,-0.2732,0.0000
4,13,0.0841,0.0000
4,14,0.1129,0.0000
4,15,-0.0041,0.0000
4,16,0.1285,0.0000
4,17,0.0244,0.0000
4,18,-0.2425,0.0000
4,19,0.0856,0.0000
4,20,-0.1478,0.0000
4,21,-0.0457,0.0000
4,22,0.3771,0.0000
4,23,-0.1524,0.0000
4,24,-0.1144,0.0000
5,0,0.0800,0.0000
5,1,-0.2381,0.0000
5,2,0.3141,0.0000
5,3,-0.3062,0.0000
5,4,0.3811,0.0000
5,5,0.2302,0.0000
5,6,0.5176,0.0000
5,7,-0.3376,0.0000
5,8,0.2253,0.0000
5,9,-0.2872,0.0000
5,10,0.0774,0.0000
5,11,0.0740,0.0000
5,12,0.0280,0.0000
5,13,0.0908,0.0000
5,14,0.3195,0.0000
5,15,0.1095,0.0000
5,16,-0.1718,0.0000
5,17,-0.0759,0.0000
5,18,-0.3993,0.0000
5,19,0.4793,0.0000
5,20,-0.5282,0.0000
5,21,-0.3021,0.0000
5,22,0.4657,0.0000
5,23,-0.4519,0.0000
5,24,-0.2941,0.0000
6,0,1.0749,0.0001
6,1,0.0145,0.0001
6,2,-0.3737,0.0001
6,3,0.2502,0.0001
6,4,-0.3705,0.0001
6,5,-0.9513,0.0001
6,6,-0.2334,0.0001
6,7,0.4256,0.0001
6,8,0.3025,0.0001
6,9,-0.4633,0.0001
6,10,-0.1261,0.0001
6,11,0.5200,0.0001
6,12,-0.0442,0.0001
6,13,0.9331,0.0001
6,14,0.5796,0.0001
6,15,-1.8360,0.0001
6,16,-0.1319,0.0001
6,17,1.0406,0.0001
6,18,-0.8834,0.0001
6,19,0.7648,0.0001
6,20,-0.3160,0.0001
6,21,-0.6886,0.0001
6,22,1.1753,0.0001
6,23,0.2411,0.0001
