t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t
0,0,10470.0000,0.9999,0.0000
0,1,16419.0000,1.5846,0.0000
0,2,16423.0000,1.5846,0.0000
0,3,17576.0000,1.5844,0.0000
0,4,18355.0000,1.5848,0.0000
0,5,24288.0000,1.9997,0.0000
0,6,23065.0000,1.9994,0.0000
0,7,11982.0000,0.9995,0.0000
0,8,25293.0000,1.9997,0.0000
0,9,18628.0000,1.5836,0.0000
0,10,17541.0000,1.5840,0.0000
0,11,24498.0000,1.9994,0.0000
0,12,18348.0000,1.5846,0.0000
0,13,25633.0000,1.9997,0.0000
0,14,26733.0000,1.9992,0.0000
0,15,26838.0000,1.9989,0.0000
0,16,25340.0000,1.9992,0.0000
0,17,19761.0000,1.5843,0.0000
0,18,28000.0000,1.9998,0.0000
0,19,20485.0000,1.5840,0.0000
0,20,12123.0000,0.9992,0.0000
0,21,18635.0000,1.5840,0.0000
0,22,19584.0000,1.5823,0.0000
0,23,20179.0000,1.5836,0.0000
0,24,13461.0000,0.9994,0.0000
1,0,9852.0000,0.9999,256.0000
1,1,15278.0000,1.5846,42.2500
1,2,15239.0000,1.5849,361.0000
1,3,16242.0000,1.5844,441.0000
1,4,17093.0000,1.5847,400.0000
1,5,22616.0000,1.9998,625.0000
1,6,21297.0000,1.9995,5776.0000
1,7,11355.0000,0.9980,4830.2500
1,8,23439.0000,1.9996,961.0000
1,9,17165.0000,1.5839,342.2500
1,10,16155.0000,1.5844,1296.0000
1,11,22726.0000,1.9989,1225.0000
1,12,17160.0000,1.5848,17956.0000
1,13,23963.0000,1.9994,7569.0000
1,14,24924.0000,1.9997,11772.2500
1,15,25238.0000,1.9996,6889.0000
1,16,23932.0000,1.9997,4624.0000
1,17,18336.0000,1.5837,29412.2500
1,18,25986.0000,1.9997,25921.0000
1,19,19048.0000,1.5844,8010.2500
1,20,11303.0000,1.0000,5184.0000
1,21,17374.0000,1.5839,930.2500
1,22,18298.0000,1.5828,7396.0000
1,23,18968.0000,1.5842,462.2500
1,24,12671.0000,0.9999,2116.0000
2,0,10531.0000,0.9996,172.6667
2,1,16441.0000,1.5848,8262.8889
2,2,16496.0000,1.5838,241.5556
2,3,17517.0000,1.5840,15782.0000
2,4,18378.0000,1.5844,11120.2222
2,5,24268.0000,1.9996,2866.6667
2,6,22927.0000,1.9992,12562.6667
2,7,12130.0000,0.9998,5040.2222
2,8,25765.0000,1.9992,3184.8889
2,9,18744.0000,1.5835,3141.5556
2,10,17578.0000,1.5845,1984.2222
2,11,24460.0000,1.9989,955.5556
2,12,18328.0000,1.5848,14282.6667
2,13,25485.0000,1.9998,22344.0000
2,14,26915.0000,1.9995,9016.2222
2,15,26532.0000,1.9994,10790.2222
2,16,25610.0000,1.9995,3171.5556
2,17,19616.0000,1.5834,37976.2222
2,18,28127.0000,1.9992,22148.2222
2,19,20665.0000,1.5836,5841.5556
2,20,12120.0000,0.9998,9802.8889
2,21,18893.0000,1.5830,15584.6667
2,22,19453.0000,1.5840,31997.5556
2,23,20340.0000,1.5834,10724.2222
2,24,13601.0000,1.0000,1880.8889
3,0,10188.0000,0.9999,921.6875
3,1,15870.0000,1.5846,7318.5000
3,2,15825.0000,1.5843,643.6875
3,3,16467.0000,1.5843,18463.5000
3,4,17524.0000,1.5844,19442.2500
3,5,23445.0000,1.9996,2991.6875
3,6,22370.0000,1.9997,13811.1875
3,7,11695.0000,0.9985,6450.2500
3,8,24372.0000,1.9998,3406.1875
3,9,17899.0000,1.5840,5364.5000
