src_idx,tgt_idx,optimal_lag,max_correlation
0,0,0,1.0000
0,1,3,0.0670
0,2,4,0.2889
0,3,6,0.1827
0,4,0,0.1567
0,5,2,-0.0241
0,6,6,0.4703
0,7,0,0.1283
0,8,1,0.2983
0,9,6,0.0987
0,10,0,0.2448
0,11,5,0.3999
0,12,3,0.3747
0,13,1,0.2567
0,14,6,0.2727
0,15,1,0.2132
0,16,6,0.1416
0,17,4,0.5588
0,18,2,0.2023
0,19,1,0.4319
0,20,5,0.5395
0,21,3,0.2995
0,22,0,0.0278
0,23,6,0.2633
0,24,1,0.2691
1,0,5,0.2277
1,1,0,1.0000
1,2,5,0.5445
1,3,2,0.3691
1,4,3,0.2494
1,5,4,0.4907
1,6,6,0.0515
1,7,6,0.3345
1,8,2,0.4447
1,9,3,0.1183
1,10,1,0.3680
1,11,6,0.4208
1,12,1,0.2458
1,13,3,0.1439
1,14,2,0.2954
1,15,3,0.2463
1,16,4,0.2243
1,17,5,0.4190
1,18,6,0.4136
1,19,0,0.3498
1,20,3,0.0669
1,21,5,0.3923
1,22,0,0.6788
1,23,4,0.1652
1,24,2,0.2670
2,0,6,0.1849
2,1,2,0.4864
2,2,0,1.0000
2,3,0,0.1942
2,4,6,0.3685
2,5,3,0.3944
2,6,5,0.4966
2,7,1,0.3345
2,8,4,0.3053
2,9,4,0.2150
2,10,4,0.0022
2,11,2,0.2778
2,12,5,0.2046
2,13,5,0.2375
2,14,5,0.2797
2,15,4,0.2872
2,16,6,0.2285
2,17,0,0.2548
2,18,0,0.3350
2,19,2,0.3402
2,20,3,0.3853
2,21,4,0.2019
2,22,2,0.3486
2,23,6,0.4328
2,24,4,0.1340
3,0,2,0.2433
3,1,5,0.3741
3,2,3,0.4027
3,3,0,1.0000
3,4,5,0.1912
3,5,2,0.3730
3,6,5,-0.0323
3,7,1,0.2551
3,8,0,0.0236
3,9,6,0.3232
3,10,6,0.2992
3,11,1,0.2339
3,12,3,-0.0021
3,13,4,0.2429
3,14,0,0.3723
3,15,4,0.5122
3,16,0,0.5335
3,17,3,0.1718
3,18,6,0.2660
3,19,5,0.3261
3,20,0,0.2600
3,21,6,0.2495
3,22,5,0.4386
3,23,5,0.1376
3,24,0,0.5600
4,0,0,0.1567
4,1,2,0.2715
4,2,2,0.2212
4,3,6,0.2184
4,4,0,1.0000
4,5,1,0.0441
4,6,1,0.4119
4,7,3,0.1820
4,8,5,0.3560
4,9,5,0.2507
4,10,5,0.4999
4,11,0,0.3218
4,12,3,0.4780
4,13,6,0.3053
4,14,4,0.5680
4,15,6,0.2400
4,16,6,0.1452
4,17,1,0.1042
4,18,1,0.0754
4,19,0,0.4371
4,20,5,0.0417
4,21,2,0.3106
4,22,4,0.4229
4,23,4,0.4409
4,24,5,0.4646
5,0,4,0.4313
5,1,3,0.4432
5,2,5,0.3060
5,3,5,0.1205
5,4,4,0.3752
5,5,0,1.0000
5,6,5,0.4460
5,7,1,0.0853
5,8,5,0.3583
5,9,4,0.4773
