t_idx,node_idx,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,0,0.0000,0.0000,0
0,1,0.0000,0.0000,0
0,2,0.0000,0.0000,0
0,3,0.0000,0.0000,0
0,4,0.0000,0.0000,0
0,5,0.0000,0.0000,0
0,6,0.0000,0.0000,0
0,7,0.0000,0.0000,0
0,8,0.0000,0.0000,0
0,9,0.0000,0.0000,0
0,10,0.0000,0.0000,0
0,11,0.0000,0.0000,0
0,12,0.0000,0.0000,0
0,13,0.0000,0.0000,0
0,14,0.0000,0.0000,0
0,15,0.0000,0.0000,0
0,16,0.0000,0.0000,0
0,17,0.0000,0.0000,0
0,18,0.0000,0.0000,0
0,19,0.0000,0.0000,0
0,20,0.0000,0.0000,0
0,21,0.0000,0.0000,0
0,22,0.0000,0.0000,0
0,23,0.0000,0.0000,0
0,24,0.0000,0.0000,0
1,0,0.0003,0.0000,0
1,1,0.0000,0.0000,0
1,2,0.0002,0.0000,0
1,3,0.0003,0.0000,0
1,4,0.0000,0.0000,0
1,5,0.0000,0.0000,0
1,6,0.0001,0.0000,0
1,7,0.0004,0.0000,0
1,8,0.0003,0.0000,0
1,9,0.0002,0.0000,0
1,10,0.0002,0.0000,0
1,11,0.0001,0.0000,0
1,12,0.0004,0.0000,0
1,13,0.0004,0.0000,0
1,14,0.0002,0.0000,0
1,15,0.0001,0.0000,0
1,16,0.0005,0.0000,0
1,17,0.0001,0.0000,0
1,18,0.0001,0.0000,0
1,19,0.0000,0.0000,0
1,20,0.0003,0.0000,0
1,21,0.0001,0.0000,0
1,22,0.0004,0.0000,0
1,23,0.0001,0.0000,0
1,24,0.0001,0.0000,0
2,0,0.0002,0.1875,0
2,1,0.0000,29.6154,1
2,2,0.0004,0.1053,0
2,3,0.0001,12.5714,1
2,4,0.0002,11.0500,1
2,5,0.0001,4.2000,1
2,6,0.0000,2.6053,0
2,7,0.0002,1.3022,0
2,8,0.0002,3.4516,1
2,9,0.0001,6.1892,1
2,10,0.0001,1.9722,0
2,11,0.0001,0.7143,0
2,12,0.0001,0.7612,0
2,13,0.0000,3.2069,1
2,14,0.0004,0.6682,0
2,15,0.0000,2.0120,0
2,16,0.0002,0.2941,0
2,17,0.0001,1.6764,0
2,18,0.0002,0.9193,0
2,19,0.0001,0.5307,0
2,20,0.0000,2.3472,0
2,21,0.0005,8.5082,1
2,22,0.0004,4.0581,1
2,23,0.0000,10.0698,1
2,24,0.0003,1.0000,0
3,0,0.0002,4.9466,1
3,1,0.0000,0.8507,0
3,2,0.0001,3.1956,1
3,3,0.0001,1.4965,0
3,4,0.0000,2.3075,0
3,5,0.0001,1.2514,0
3,6,0.0001,1.3651,0
3,7,0.0001,1.6809,0
3,8,0.0002,1.3053,0
3,9,0.0000,2.2599,0
3,10,0.0001,0.8007,0
3,11,0.0002,0.3774,0
3,12,0.0003,0.8870,0
3,13,0.0000,3.4988,1
3,14,0.0001,3.5666,1
3,15,0.0001,1.2451,0
3,16,0.0001,0.0769,0
3,17,0.0001,0.9374,0
3,18,0.0000,1.7762,0
3,19,0.0000,2.2810,0
3,20,0.0002,1.5992,0
3,21,0.0001,0.0801,0
3,22,0.0001,0.6690,0
3,23,0.0001,0.6920,0
3,24,0.0003,3.7661,1
4,0,0.0000,7.7983,1
4,1,0.0005,0.4910,0
4,2,0.0001,9.2527,1
4,3,0.0001,1.7000,0
4,4,0.0001,0.9359,0
4,5,0.0001,2.3539,0
4,6,0.0003,1.9550,0
4,7,0.0000,1.0521,0
4,8,0.0002,3.1998,1
4,9,0.0001,1.1469,0
4,10,0.0001,2.8096,0
4,11,0.0001,2.0647,0
4,12,0.0000,0.9671,0
4,13,0.0000,0.1255,0
4,14,0.0000,0.7018,0
4,15,0.0001,0.0094,0
4,16,0.0001,0.6300,0
4,17,0.0001,1.5506,0
4,18,0.0001,1.1066,0
4,19,0.0001,1.9049,0
4,20,0.0001,0.1662,0
4,21,0.0000,1.2338,0
4,22,0.0000,0.1944,0
4,23,0.0002,0.1502,0
4,24,0.0000,1.7670,0
5,0,0.0006,1.1105,0
5,1,0.0000,0.1225,0
5,2,0.0001,0.4430,0
5,3,0.0000,0.6039,0
5,4,0.0002,0.9882,0
5,5,0.0002,0.7321,0
5,6,0.0002,0.2235,0
5,7,0.0000,0.2948,0
5,8,0.0001,2.1880,0
5,9,0.0002,2.0808,0
5,10,0.0002,2.1178,0
5,11,0.0002,1.6282,0
5,12,0.0000,1.7257,0
5,13,0.0004,0.3714,0
5,14,0.0000,0.0914,0
5,15,0.0004,0.4094,0
5,16,0.0001,6.0325,1
5,17,0.0000,0.4249,0
5,18,0.0001,0.0965,0
5,19,0.0001,2.2295,0
5,20,0.0002,1.4767,0
5,21,0.0001,1.4132,0
5,22,0.0001,0.2618,0
5,23,0.0000,1.8149,0
5,24,0.0004,0.2388,0
6,0,0.0000,0.9840,0
6,1,0.0004,0.9636,0
6,2,0.0003,1.0080,0
6,3,0.0000,0.3959,0
6,4,0.0000,0.9368,0
6,5,0.0001,4.4574,1
6,6,0.0001,0.8751,0
6,7,0.0001,0.2397,0
6,8,0.0003,0.7366,0
6,9,0.0000,0.2079,0
6,10,0.0000,0.6618,0
6,11,0.0000,1.5129,0
6,12,0.0000,0.8387,0
6,13,0.0001,0.1313,0
6,14,0.0000,1.4933,0
6,15,0.0002,3.0285,1
6,16,0.0000,0.5179,0
6,17,0.0001,0.5897,0
6,18,0.0001,1.0001,0
6,19,0.0000,0.3628,0
6,20,0.0001,0.4557,0
6,21,0.0000,1.1603,0
6,22,0.0001,0.6684,0
6,23,0.0001,2.4382,0
6,24,0.0000,1.2401,0
7,0,0.0000,0.5053,0
7,1,0.0002,1.1926,0
