node_idx,node_label,account_category,dominant_frequency,spectral_power
3,03_ACC_Cash,Asset,0.25,13903806425.0152
1,01_ACC_Accounts_Receivable,Asset,0.3333,9034998607.627
7,07_ACC_Sales_Revenue,Revenue,0.1667,4279577917.9135
4,04_ACC_Inventory,Asset,0.1667,2880340170.1128
2,02_ACC_COGS,Expense,0.1667,2287662249.8674
0,00_ACC_Accounts_Payable,Liability,0.25,1028544611.3956
8,08_ACC_Travel_Exp,Expense,0.0833,20976101.5607
5,05_ACC_Payroll_Exp,Expense,0.0833,14342111.8178
6,06_ACC_Rent_Exp,Expense,0.25,6221488.9369
9,09_ACC_Equity_Capital,Equity,0.0,0.0
