t_idx,time_label,node_idx,node_label,account_category,ik_suggested_delta,ik_strain_energy
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,16966746.0159
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,2653.0761,16966746.0159
0,2020-01,2,02_ACC_COGS,Expense,0.0,16966746.0159
0,2020-01,3,03_ACC_Cash,Asset,2203.4685,16966746.0159
0,2020-01,4,04_ACC_Inventory,Asset,0.0,16966746.0159
0,2020-01,5,05_ACC_Payroll_Exp,Expense,1872.9482,16966746.0159
0,2020-01,6,06_ACC_Rent_Exp,Expense,1872.9482,16966746.0159
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,3393.4644,16966746.0159
0,2020-01,8,08_ACC_Travel_Exp,Expense,1872.9482,16966746.0159
0,2020-01,9,09_ACC_Equity_Capital,Equity,0.0,16966746.0159
1,2020-02,0,00_ACC_Accounts_Payable,Liability,1568.8711,14320017.4509
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,2226.9699,14320017.4509
1,2020-02,2,02_ACC_COGS,Expense,966.1703,14320017.4509
1,2020-02,3,03_ACC_Cash,Asset,1845.7307,14320017.4509
1,2020-02,4,04_ACC_Inventory,Asset,1136.6709,14320017.4509
1,2020-02,5,05_ACC_Payroll_Exp,Expense,1568.8711,14320017.4509
1,2020-02,6,06_ACC_Rent_Exp,Expense,1568.8711,14320017.4509
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,2864.0855,14320017.4509
1,2020-02,8,08_ACC_Travel_Exp,Expense,1568.8711,14320017.4509
1,2020-02,9,09_ACC_Equity_Capital,Equity,0.0,14320017.4509
2,2020-03,0,00_ACC_Accounts_Payable,Liability,-32072.9573,0.303
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,-67777.8446,0.303
2,2020-03,2,02_ACC_COGS,Expense,-12252.5732,0.303
2,2020-03,3,03_ACC_Cash,Asset,40451.8831,0.303
2,2020-03,4,04_ACC_Inventory,Asset,21454.2065,0.303
2,2020-03,5,05_ACC_Payroll_Exp,Expense,-1505.3154,0.303
2,2020-03,6,06_ACC_Rent_Exp,Expense,962.9721,0.303
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,55695.161,0.303
2,2020-03,8,08_ACC_Travel_Exp,Expense,-4955.5322,0.303
2,2020-03,9,09_ACC_Equity_Capital,Equity,0.0,0.303
3,2020-04,0,00_ACC_Accounts_Payable,Liability,-8222.4098,13.2097
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,-16002.0775,13.2097
3,2020-04,2,02_ACC_COGS,Expense,57383.4647,13.2097
3,2020-04,3,03_ACC_Cash,Asset,78993.3355,13.2097
3,2020-04,4,04_ACC_Inventory,Asset,-91695.867,13.2097
3,2020-04,5,05_ACC_Payroll_Exp,Expense,-19531.8925,13.2097
3,2020-04,6,06_ACC_Rent_Exp,Expense,1958.7233,13.2097
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,16963.8587,13.2097
3,2020-04,8,08_ACC_Travel_Exp,Expense,-19847.1353,13.2097
3,2020-04,9,09_ACC_Equity_Capital,Equity,0.0,13.2097
4,2020-05,0,00_ACC_Accounts_Payable,Liability,-20698.5893,10.0091
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,22017.7833,10.0091
4,2020-05,2,02_ACC_COGS,Expense,-7614.4909,10.0091
4,2020-05,3,03_ACC_Cash,Asset,16681.0815,10.0091
4,2020-05,4,04_ACC_Inventory,Asset,2559.1332,10.0091
4,2020-05,5,05_ACC_Payroll_Exp,Expense,-10068.8159,10.0091
4,2020-05,6,06_ACC_Rent_Exp,Expense,1909.7842,10.0091
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,4629.6054,10.0091
4,2020-05,8,08_ACC_Travel_Exp,Expense,-9415.4915,10.0091
4,2020-05,9,09_ACC_Equity_Capital,Equity,0.0,10.0091
5,2020-06,0,00_ACC_Accounts_Payable,Liability,-21.4653,66.2999
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,22301.4948,66.2999
5,2020-06,2,02_ACC_COGS,Expense,-25482.0295,66.2999
5,2020-06,3,03_ACC_Cash,Asset,40219.9229,66.2999
5,2020-06,4,04_ACC_Inventory,Asset,11030.3702,66.2999
5,2020-06,5,05_ACC_Payroll_Exp,Expense,-23426.0934,66.2999
5,2020-06,6,06_ACC_Rent_Exp,Expense,3563.3166,66.2999
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,-7633.92,66.2999
5,2020-06,8,08_ACC_Travel_Exp,Expense,-20551.5963,66.2999
5,2020-06,9,09_ACC_Equity_Capital,Equity,0.0,66.2999
6,2020-07,0,00_ACC_Accounts_Payable,Liability,5640.4566,4.2767
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,8301.204,4.2767
6,2020-07,2,02_ACC_COGS,Expense,-14229.6598,4.2767
6,2020-07,3,03_ACC_Cash,Asset,2753.5992,4.2767
6,2020-07,4,04_ACC_Inventory,Asset,-10326.5907,4.2767
6,2020-07,5,05_ACC_Payroll_Exp,Expense,-4748.3172,4.2767
6,2020-07,6,06_ACC_Rent_Exp,Expense,-1919.601,4.2767
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,11317.7671,4.2767
6,2020-07,8,08_ACC_Travel_Exp,Expense,3211.1418,4.2767
6,2020-07,9,09_ACC_Equity_Capital,Equity,0.0,4.2767
7,2020-08,0,00_ACC_Accounts_Payable,Liability,16032.2283,505.08
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,8627.3466,505.08
7,2020-08,2,02_ACC_COGS,Expense,5440.9468,505.08
7,2020-08,3,03_ACC_Cash,Asset,-13715.378,505.08
7,2020-08,4,04_ACC_Inventory,Asset,810.9484,505.08
7,2020-08,5,05_ACC_Payroll_Exp,Expense,-35148.6076,505.08
7,2020-08,6,06_ACC_Rent_Exp,Expense,13442.6683,505.08
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,27090.0412,505.08
7,2020-08,8,08_ACC_Travel_Exp,Expense,-22580.1939,505.08
7,2020-08,9,09_ACC_Equity_Capital,Equity,0.0,505.08
8,2020-09,0,00_ACC_Accounts_Payable,Liability,46574.0594,1102896.3316
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,40153.8871,1102896.3316
8,2020-09,2,02_ACC_COGS,Expense,98500.8915,1102896.3316
8,2020-09,3,03_ACC_Cash,Asset,16169.5867,1102896.3316
8,2020-09,4,04_ACC_Inventory,Asset,80604.4004,1102896.3316
8,2020-09,5,05_ACC_Payroll_Exp,Expense,-118321.6592,1102896.3316
8,2020-09,6,06_ACC_Rent_Exp,Expense,-268852.0092,1102896.3316
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,59573.0744,1102896.3316
8,2020-09,8,08_ACC_Travel_Exp,Expense,45597.7689,1102896.3316
8,2020-09,9,09_ACC_Equity_Capital,Equity,0.0,1102896.3316
9,2020-10,0,00_ACC_Accounts_Payable,Liability,13980.7638,17889860.9941
9,2020-10,1,01_ACC_Accounts_Receivable,Asset,9958.523,17889860.9941
9,2020-10,2,02_ACC_COGS,Expense,-4260.5796,17889860.9941
9,2020-10,3,03_ACC_Cash,Asset,-2401.1171,17889860.9941
9,2020-10,4,04_ACC_Inventory,Asset,-2622.2518,17889860.9941
9,2020-10,5,05_ACC_Payroll_Exp,Expense,57822.8706,17889860.9941
9,2020-10,6,06_ACC_Rent_Exp,Expense,-23211.2712,17889860.9941
9,2020-10,7,07_ACC_Sales_Revenue,Revenue,17993.5073,17889860.9941
9,2020-10,8,08_ACC_Travel_Exp,Expense,-67260.4563,17889860.9941
9,2020-10,9,09_ACC_Equity_Capital,Equity,0.0,17889860.9941
10,2020-11,0,00_ACC_Accounts_Payable,Liability,10249.8986,12872.6555
10,2020-11,1,01_ACC_Accounts_Receivable,Asset,7567.523,12872.6555
10,2020-11,2,02_ACC_COGS,Expense,-12301.4968,12872.6555
10,2020-11,3,03_ACC_Cash,Asset,387.6907,12872.6555
10,2020-11,4,04_ACC_Inventory,Asset,-11368.4513,12872.6555
10,2020-11,5,05_ACC_Payroll_Exp,Expense,78154.0349,12872.6555
10,2020-11,6,06_ACC_Rent_Exp,Expense,-26107.9388,12872.6555
10,2020-11,7,07_ACC_Sales_Revenue,Revenue,13033.5256,12872.6555
10,2020-11,8,08_ACC_Travel_Exp,Expense,-59614.7859,12872.6555
10,2020-11,9,09_ACC_Equity_Capital,Equity,0.0,12872.6555
11,2020-12,0,00_ACC_Accounts_Payable,Liability,10425.68,10250.3396
11,2020-12,1,01_ACC_Accounts_Receivable,Asset,8575.609,10250.3396
11,2020-12,2,02_ACC_COGS,Expense,-10744.9864,10250.3396
11,2020-12,3,03_ACC_Cash,Asset,1930.6739,10250.3396
11,2020-12,4,04_ACC_Inventory,Asset,-9278.8665,10250.3396
11,2020-12,5,05_ACC_Payroll_Exp,Expense,72219.1119,10250.3396
11,2020-12,6,06_ACC_Rent_Exp,Expense,-31131.7247,10250.3396
11,2020-12,7,07_ACC_Sales_Revenue,Revenue,13170.2295,10250.3396
11,2020-12,8,08_ACC_Travel_Exp,Expense,-55165.7266,10250.3396
11,2020-12,9,09_ACC_Equity_Capital,Equity,0.0,10250.3396
