t_idx,time_label,src_idx,src_label,tgt_idx,tgt_label,weight,stress
0,2020-01,0,ACC_Accounts_Payable,1,ACC_Inventory,55952.86,0.0
0,2020-01,1,ACC_Inventory,7,ACC_COGS,52213.24,0.0
0,2020-01,2,ACC_Accounts_Receivable,3,ACC_Cash,40433.6,0.0
0,2020-01,3,ACC_Cash,2,ACC_Accounts_Receivable,40433.6,0.0
0,2020-01,3,ACC_Cash,4,ACC_Payroll_Exp,18973.66,0.0
0,2020-01,3,ACC_Cash,5,ACC_Rent_Exp,6683.35,0.0
0,2020-01,3,ACC_Cash,6,ACC_Travel_Exp,6024.7,0.0
0,2020-01,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,136333.87,0.0
1,2020-02,0,ACC_Accounts_Payable,1,ACC_Inventory,42491.61,0.0
1,2020-02,1,ACC_Inventory,7,ACC_COGS,64779.79,0.0
1,2020-02,2,ACC_Accounts_Receivable,3,ACC_Cash,75302.13,0.0
1,2020-02,3,ACC_Cash,0,ACC_Accounts_Payable,35567.5,0.0
1,2020-02,3,ACC_Cash,2,ACC_Accounts_Receivable,53282.77,0.0
1,2020-02,3,ACC_Cash,4,ACC_Payroll_Exp,18245.21,0.0
1,2020-02,3,ACC_Cash,5,ACC_Rent_Exp,5368.76,0.0
1,2020-02,3,ACC_Cash,6,ACC_Travel_Exp,9295.75,0.0
1,2020-02,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,168987.27,0.0
2,2020-03,0,ACC_Accounts_Payable,1,ACC_Inventory,45747.05,0.5163
2,2020-03,1,ACC_Inventory,7,ACC_COGS,55086.98,0.5426
2,2020-03,2,ACC_Accounts_Receivable,3,ACC_Cash,65989.44,0.4658
2,2020-03,3,ACC_Cash,0,ACC_Accounts_Payable,29584.46,0.6636
2,2020-03,3,ACC_Cash,4,ACC_Payroll_Exp,14782.04,10.5083
2,2020-03,3,ACC_Cash,5,ACC_Rent_Exp,5803.61,0.3384
2,2020-03,3,ACC_Cash,6,ACC_Travel_Exp,3564.04,2.5045
2,2020-03,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,100458.77,3.1973
3,2020-04,0,ACC_Accounts_Payable,1,ACC_Inventory,59585.88,2.0092
3,2020-04,1,ACC_Inventory,7,ACC_COGS,27001.42,5.6469
3,2020-04,2,ACC_Accounts_Receivable,3,ACC_Cash,107642.15,3.193
3,2020-04,3,ACC_Cash,0,ACC_Accounts_Payable,44298.56,1.4522
3,2020-04,3,ACC_Cash,4,ACC_Payroll_Exp,18834.01,0.8205
3,2020-04,3,ACC_Cash,5,ACC_Rent_Exp,5305.31,1.1825
3,2020-04,3,ACC_Cash,6,ACC_Travel_Exp,6226.11,0.0293
3,2020-04,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,50480.48,3.0293
4,2020-05,0,ACC_Accounts_Payable,1,ACC_Inventory,48149.3,0.397
4,2020-05,1,ACC_Inventory,7,ACC_COGS,25777.17,1.7205
4,2020-05,2,ACC_Accounts_Receivable,3,ACC_Cash,156565.72,3.5022
4,2020-05,3,ACC_Cash,0,ACC_Accounts_Payable,75078.63,2.8672
4,2020-05,3,ACC_Cash,2,ACC_Accounts_Receivable,44939.48,0.9013
4,2020-05,3,ACC_Cash,4,ACC_Payroll_Exp,15740.05,1.1501
4,2020-05,3,ACC_Cash,5,ACC_Rent_Exp,4672.73,2.0313
4,2020-05,3,ACC_Cash,6,ACC_Travel_Exp,8078.16,0.8855
4,2020-05,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,91231.08,0.5191
5,2020-06,0,ACC_Accounts_Payable,1,ACC_Inventory,53632.43,0.5078
5,2020-06,1,ACC_Inventory,7,ACC_COGS,30401.24,0.9258
5,2020-06,2,ACC_Accounts_Receivable,3,ACC_Cash,57443.2,0.7942
5,2020-06,3,ACC_Cash,0,ACC_Accounts_Payable,22116.76,0.611
5,2020-06,3,ACC_Cash,4,ACC_Payroll_Exp,18066.68,0.4366
5,2020-06,3,ACC_Cash,5,ACC_Rent_Exp,5224.12,0.5154
5,2020-06,3,ACC_Cash,6,ACC_Travel_Exp,9605.0,1.5169
5,2020-06,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,54879.67,1.3522
6,2020-07,0,ACC_Accounts_Payable,1,ACC_Inventory,63767.55,2.1539
6,2020-07,1,ACC_Inventory,7,ACC_COGS,62957.71,1.3291
6,2020-07,2,ACC_Accounts_Receivable,3,ACC_Cash,47991.85,0.936
6,2020-07,3,ACC_Cash,0,ACC_Accounts_Payable,47107.86,0.5562
6,2020-07,3,ACC_Cash,4,ACC_Payroll_Exp,20722.72,2.0561
6,2020-07,3,ACC_Cash,5,ACC_Rent_Exp,6658.59,1.8527
6,2020-07,3,ACC_Cash,6,ACC_Travel_Exp,8902.68,0.8429
6,2020-07,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,111667.96,0.2676
7,2020-08,0,ACC_Accounts_Payable,1,ACC_Inventory,49471.29,0.4622
7,2020-08,1,ACC_Inventory,7,ACC_COGS,68307.71,1.4358
7,2020-08,2,ACC_Accounts_Receivable,3,ACC_Cash,67173.57,0.3078
7,2020-08,3,ACC_Cash,0,ACC_Accounts_Payable,60522.41,1.1266
7,2020-08,3,ACC_Cash,4,ACC_Payroll_Exp,18876.79,0.5169
7,2020-08,3,ACC_Cash,5,ACC_Rent_Exp,4943.7,1.0416
7,2020-08,3,ACC_Cash,6,ACC_Travel_Exp,9022.22,0.8021
7,2020-08,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,124227.22,0.567
8,2020-09,0,ACC_Accounts_Payable,1,ACC_Inventory,61487.57,1.3546
8,2020-09,1,ACC_Inventory,7,ACC_COGS,53216.57,0.2936
8,2020-09,2,ACC_Accounts_Receivable,3,ACC_Cash,99485.21,0.6254
8,2020-09,3,ACC_Cash,0,ACC_Accounts_Payable,66027.52,1.2328
8,2020-09,3,ACC_Cash,4,ACC_Payroll_Exp,21170.52,1.7643
8,2020-09,3,ACC_Cash,5,ACC_Rent_Exp,3356.24,3.1863
8,2020-09,3,ACC_Cash,6,ACC_Travel_Exp,7465.0,0.0629
8,2020-09,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,95107.68,0.2588
9,2020-10,0,ACC_Accounts_Payable,1,ACC_Inventory,48174.66,0.7438
9,2020-10,1,ACC_Inventory,7,ACC_COGS,29886.7,1.1998
9,2020-10,2,ACC_Accounts_Receivable,3,ACC_Cash,111379.27,0.9257
9,2020-10,3,ACC_Cash,0,ACC_Accounts_Payable,53262.51,0.4978
9,2020-10,3,ACC_Cash,4,ACC_Payroll_Exp,18513.78,0.0692
9,2020-10,3,ACC_Cash,5,ACC_Rent_Exp,6428.78,1.138
9,2020-10,3,ACC_Cash,6,ACC_Travel_Exp,6968.24,0.3248
9,2020-10,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,56232.85,1.3417
10,2020-11,0,ACC_Accounts_Payable,1,ACC_Inventory,47318.0,0.8128
10,2020-11,1,ACC_Inventory,7,ACC_COGS,26027.79,1.3047
10,2020-11,2,ACC_Accounts_Receivable,3,ACC_Cash,91448.18,0.2521
10,2020-11,3,ACC_Cash,0,ACC_Accounts_Payable,46719.33,0.1584
10,2020-11,3,ACC_Cash,4,ACC_Payroll_Exp,17692.5,0.3789
10,2020-11,3,ACC_Cash,5,ACC_Rent_Exp,5978.88,0.5515
10,2020-11,3,ACC_Cash,6,ACC_Travel_Exp,4616.55,1.6243
10,2020-11,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,46444.07,1.4402
11,2020-12,0,ACC_Accounts_Payable,1,ACC_Inventory,50971.77,0.2055
11,2020-12,1,ACC_Inventory,7,ACC_COGS,32279.0,0.7774
11,2020-12,2,ACC_Accounts_Receivable,3,ACC_Cash,56912.18,0.8307
11,2020-12,3,ACC_Cash,0,ACC_Accounts_Payable,27064.19,0.8189
11,2020-12,3,ACC_Cash,4,ACC_Payroll_Exp,16938.43,0.7843
11,2020-12,3,ACC_Cash,5,ACC_Rent_Exp,1553.29,4.207
11,2020-12,3,ACC_Cash,6,ACC_Travel_Exp,4585.21,1.4074
11,2020-12,8,ACC_Sales_Revenue,2,ACC_Accounts_Receivable,58092.97,0.9522
