t_idx,time_label,node_idx,node_label,account_category,fk_echo_impact
0,2020-01,0,00_ACC_Accounts_Payable,Liability,-55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,8397.1737
0,2020-01,2,02_ACC_COGS,Expense,14965.9757
0,2020-01,3,03_ACC_Cash,Asset,-6274.1321
0,2020-01,4,04_ACC_Inventory,Asset,-43820.311
0,2020-01,5,05_ACC_Payroll_Exp,Expense,13317.7759
0,2020-01,6,06_ACC_Rent_Exp,Expense,4691.1011
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,-136333.87
0,2020-01,8,08_ACC_Travel_Exp,Expense,4228.789
0,2020-01,9,09_ACC_Equity_Capital,Equity,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,-22334.9002
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,-19757.7836
1,2020-02,2,02_ACC_COGS,Expense,30370.5055
1,2020-02,3,03_ACC_Cash,Asset,-49578.8254
1,2020-02,4,04_ACC_Inventory,Asset,-32145.6961
1,2020-02,5,05_ACC_Payroll_Exp,Expense,10339.8722
1,2020-02,6,06_ACC_Rent_Exp,Expense,3042.568
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,-168987.27
1,2020-02,8,08_ACC_Travel_Exp,Expense,5268.0603
1,2020-02,9,09_ACC_Equity_Capital,Equity,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,-30682.8819
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,-50920.6245
2,2020-03,2,02_ACC_COGS,Expense,24979.6574
2,2020-03,3,03_ACC_Cash,Asset,-31027.2408
2,2020-03,4,04_ACC_Inventory,Asset,-35420.3796
2,2020-03,5,05_ACC_Payroll_Exp,Expense,7526.8954
2,2020-03,6,06_ACC_Rent_Exp,Expense,2955.1514
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,-100458.77
2,2020-03,8,08_ACC_Travel_Exp,Expense,1814.7804
2,2020-03,9,09_ACC_Equity_Capital,Equity,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,-41552.4795
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,-100070.078
3,2020-04,2,02_ACC_COGS,Expense,24676.5446
