t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,248609.0000,41.0035,0.0000,0.0000,0.0000,0.0000,248609.0000
1,233268.0000,41.0001,2275.0000,0.0000,0.0000,0.0000,139992.7898
2,249332.0000,40.9988,2788.7546,0.0000,0.0000,0.0000,134996.5108
3,240977.0000,41.0030,3012.1362,0.0000,0.0000,0.0000,117470.3695
4,249106.0000,40.9995,3030.1714,0.0000,0.0000,0.0000,124870.6331
5,241242.0000,40.9973,2966.3865,0.0000,0.0000,0.0000,119628.3043
6,248909.0000,41.0020,2892.2742,0.0000,0.0000,0.0000,130319.8530
7,250019.0000,41.0016,2898.9266,0.0000,0.0000,0.0000,131158.4676
8,240853.0000,41.0015,2702.5877,0.0000,0.0000,0.0000,130042.7682
9,249352.0000,41.0016,2698.5352,0.0000,0.0000,0.0000,138707.6160
10,240843.0000,40.9981,2717.9567,0.0000,0.0000,0.0000,129412.0632
11,249759.0000,40.9998,2589.6797,0.0000,0.0000,0.0000,143582.5505
12,249035.0000,41.0028,2562.4974,0.0000,0.0000,0.0000,143965.4112
13,225587.0000,40.9990,2662.9721,0.0000,0.0000,0.0000,116407.8106
14,248995.0000,41.0029,2593.2075,0.0000,0.0000,0.0000,142665.9715
15,241337.0000,41.0041,2619.8254,0.0000,0.0000,0.0000,133913.4747
16,249390.0000,41.0011,2622.9327,0.0000,0.0000,0.0000,141847.0013
17,241358.0000,41.0046,2664.6475,0.0000,0.0000,0.0000,132095.1759
18,248509.0000,41.0031,2706.1997,0.0000,0.0000,0.0000,137546.4222
19,249243.0000,41.0032,2599.9322,0.0000,0.0000,0.0000,142637.4074
20,241051.0000,41.0029,2683.3895,0.0000,0.0000,0.0000,131024.2697
21,249534.0000,41.0016,2639.2956,0.0000,0.0000,0.0000,141318.7490
22,241056.0000,41.0035,2766.0954,0.0000,0.0000,0.0000,127636.4478
23,160706.0000,40.9958,2745.8959,0.0000,0.0000,0.0000,48135.7873
