t_idx,node_idx,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,0,41.5234,7.1666,1,21.9836,2.0092,1
0,1,41.5234,5.4510,6,16.9440,2.4287,0
0,2,41.5234,5.4128,6,17.5490,2.4107,0
0,3,41.5234,5.0719,5,19.8497,1.9333,1
0,4,41.5234,5.5568,8,16.4291,2.3970,7
0,5,41.5234,3.9001,8,19.2971,1.9575,3
0,6,41.5234,4.0178,1,17.3136,1.8876,1
0,7,41.5234,7.2947,4,21.4836,2.0683,4
0,8,41.5234,4.0833,4,16.5345,1.8745,9
0,9,41.5234,5.6683,8,17.3458,2.3853,7
0,10,41.5234,5.0875,11,19.8503,1.9529,2
0,11,41.5234,3.9475,16,19.1119,1.9447,10
0,12,41.5234,5.6522,16,16.5465,2.4045,20
0,13,41.5234,3.6045,14,21.8024,1.5970,5
0,14,41.5234,3.9539,18,18.8813,1.9652,17
0,15,41.5234,3.9424,18,18.9491,1.9501,22
0,16,41.5234,4.1680,21,16.2847,1.8615,21
0,17,41.5234,5.2038,14,20.0349,1.9118,9
0,18,41.5234,4.3008,23,16.0193,1.8521,19
0,19,41.5234,5.7808,18,16.6264,2.3672,24
0,20,41.5234,7.2656,12,21.8995,2.0548,12
0,21,41.5234,5.7154,16,17.2123,2.3693,20
0,22,41.5234,5.1454,15,19.9001,1.9205,21
0,23,41.5234,5.7115,18,16.3490,2.3521,24
0,24,41.5234,7.1932,23,21.0528,2.0295,23
1,0,41.5234,7.1272,1,22.2489,2.0211,2
1,1,41.5234,5.6157,6,16.9915,2.4221,0
1,2,41.5234,5.5041,6,17.3469,2.4023,0
1,3,41.5234,5.0300,5,19.9224,1.9407,1
1,4,41.5234,5.5820,8,16.6652,2.4045,7
1,5,41.5234,3.8051,8,19.4848,1.9602,3
1,6,41.5234,4.0200,1,16.7961,1.8865,1
1,7,41.5234,7.2140,4,21.7446,2.0796,4
1,8,41.5234,4.2008,9,16.5390,1.8876,9
1,9,41.5234,5.7064,8,17.1396,2.3800,7
1,10,41.5234,5.1439,11,20.0655,1.9512,2
1,11,41.5234,3.9398,16,19.1432,1.9695,10
1,12,41.5234,5.6397,16,16.7712,2.4179,20
1,13,41.5234,3.6273,14,21.9673,1.5920,5
1,14,41.5234,3.9815,18,18.9987,1.9435,17
1,15,41.5234,4.0428,18,18.5423,1.9541,22
1,16,41.5234,4.1045,21,16.3250,1.8744,21
1,17,41.5234,5.1147,14,19.9831,1.9281,9
1,18,41.5234,4.2784,23,15.8430,1.8411,19
1,19,41.5234,5.8104,18,16.4598,2.3552,24
1,20,41.5234,7.2083,12,22.0005,2.0708,12
1,21,41.5234,5.7406,16,17.4211,2.3967,20
1,22,41.5234,5.2692,15,19.8051,1.9136,21
1,23,41.5234,5.7468,18,16.4009,2.3473,24
1,24,41.5234,7.1557,23,21.1864,2.0180,23
2,0,41.5234,7.0300,2,0.0011,-39.7502,6
2,1,41.5234,5.4924,6,0.0048,84.0280,6
2,2,41.5234,5.4161,6,0.0047,82.5880,6
2,3,41.5234,5.0550,5,0.0004,23.5289,6
2,4,41.5234,5.8108,8,0.0003,-21.4196,6
2,5,41.5234,4.0235,8,0.0016,-48.0493,6
2,6,41.5234,3.9622,1,0.0001,6.6512,3
2,7,41.5234,7.2476,4,0.0056,-89.9946,6
2,8,41.5234,4.1578,9,0.0010,-37.4417,6
2,9,41.5234,5.7949,8,0.0009,36.1640,6
2,10,41.5234,5.0348,12,0.0018,-51.0561,6
2,11,41.5234,3.8833,16,0.0085,-111.2477,6
2,12,41.5234,5.7068,16,0.0002,-16.8064,6
2,13,41.5234,3.6843,14,0.0010,-37.9181,6
2,14,41.5234,4.0411,18,0.0528,-277.5986,6
2,15,41.5234,4.0279,18,0.0024,59.0198,6
2,16,41.5234,4.1738,12,0.4168,779.8950,6
2,17,41.5234,5.2304,14,0.0611,298.4868,6
2,18,41.5234,4.2628,19,0.0019,52.3333,6
