t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,0,10587.0000,0.9996,0.0000,0.0000
0,1,16548.0000,1.5848,0.0000,0.0000
0,2,16333.0000,1.5844,0.0000,0.0000
0,3,17475.0000,1.5845,0.0000,0.0000
0,4,18317.0000,1.5847,0.0000,0.0000
0,5,24264.0000,1.9991,0.0000,0.0000
0,6,22849.0000,1.9989,0.0000,0.0000
0,7,12070.0000,0.9992,0.0000,0.0000
0,8,25407.0000,1.9998,0.0000,0.0000
0,9,18423.0000,1.5839,0.0000,0.0000
0,10,17354.0000,1.5844,0.0000,0.0000
0,11,24305.0000,1.9993,0.0000,0.0000
0,12,18239.0000,1.5848,0.0000,0.0000
0,13,25386.0000,1.9999,0.0000,0.0000
0,14,26715.0000,1.9995,0.0000,0.0000
0,15,26383.0000,1.9997,0.0000,0.0000
0,16,25330.0000,1.9994,0.0000,0.0000
0,17,19374.0000,1.5835,0.0000,0.0000
0,18,27756.0000,1.9994,0.0000,0.0000
0,19,20053.0000,1.5838,0.0000,0.0000
0,20,12039.0000,0.9991,0.0000,0.0000
0,21,18533.0000,1.5832,0.0000,0.0000
0,22,19475.0000,1.5841,0.0000,0.0000
0,23,20496.0000,1.5843,0.0000,0.0000
0,24,13507.0000,1.0000,0.0000,0.0000
1,0,10029.0000,0.9998,115.0000,-90.0000
1,1,15506.0000,1.5836,65.0000,404.0000
1,2,15461.0000,1.5847,75.0000,266.5000
1,3,16181.0000,1.5847,157.0000,-84.5000
1,4,17002.0000,1.5847,124.5000,-152.0000
1,5,22608.0000,1.9998,197.0000,-244.0000
1,6,21549.0000,1.9997,327.0000,-842.5000
1,7,11194.0000,0.9995,40.0000,164.5000
1,8,23710.0000,1.9992,24.5000,354.5000
1,9,17289.0000,1.5829,120.0000,-277.5000
1,10,16289.0000,1.5839,49.5000,156.0000
1,11,22856.0000,1.9995,128.5000,-48.5000
1,12,16969.0000,1.5848,101.0000,-122.0000
1,13,23909.0000,1.9997,35.5000,232.0000
1,14,24915.0000,1.9997,11.0000,212.0000
1,15,25156.0000,1.9990,37.5000,230.5000
1,16,23821.0000,1.9987,53.5000,149.5000
1,17,18210.0000,1.5840,18.0000,144.5000
1,18,26192.0000,1.9996,178.0000,-560.0000
1,19,19198.0000,1.5837,67.5000,19.5000
1,20,11133.0000,0.9993,78.0000,41.5000
1,21,17110.0000,1.5825,96.5000,-44.5000
1,22,18244.0000,1.5827,113.5000,-170.5000
1,23,19198.0000,1.5845,36.0000,209.5000
1,24,12807.0000,1.0000,26.0000,51.5000
2,0,10548.0000,1.0000,94.1288,-27.2328
