src_idx,tgt_idx,optimal_lag,max_correlation
0,0,0,1.0000
0,1,3,0.2400
0,2,2,0.1216
0,3,2,0.2427
0,4,2,0.3758
0,5,0,0.2067
0,6,3,0.2917
0,7,4,0.2639
0,8,6,0.3983
0,9,1,0.1858
0,10,1,0.3077
0,11,4,0.2429
0,12,6,0.3932
0,13,5,-0.0194
0,14,4,0.3822
0,15,2,0.2687
0,16,6,0.1185
0,17,1,0.2753
0,18,5,0.3480
0,19,4,0.0834
0,20,2,0.3068
0,21,3,0.3869
0,22,4,0.3840
0,23,1,0.2007
0,24,2,0.3894
1,0,1,0.2024
1,1,0,1.0000
1,2,3,0.4996
1,3,3,0.2872
1,4,0,0.1825
1,5,6,0.3236
1,6,5,0.1822
1,7,6,0.3328
1,8,4,0.1840
1,9,4,0.2998
1,10,0,0.2444
1,11,0,0.4352
1,12,2,0.2713
1,13,2,0.2685
1,14,5,0.3805
1,15,0,0.2612
1,16,4,0.3341
1,17,3,0.2373
1,18,2,0.3437
1,19,1,0.2628
1,20,6,0.3979
1,21,4,0.1250
1,22,3,0.4830
1,23,4,0.2821
1,24,1,0.3394
2,0,6,0.1195
2,1,5,0.1833
2,2,0,1.0000
2,3,3,0.5149
2,4,4,0.3986
2,5,1,0.2217
2,6,6,0.2285
2,7,2,0.4810
2,8,1,0.1754
2,9,5,0.4756
2,10,6,0.2644
2,11,5,0.3486
2,12,0,0.1541
2,13,3,0.4127
2,14,2,0.4782
2,15,3,0.3520
2,16,0,0.2159
2,17,6,0.2455
2,18,0,0.4061
2,19,1,0.3109
2,20,0,0.1200
2,21,6,0.2534
2,22,2,0.1527
2,23,3,0.3430
2,24,0,0.1091
3,0,3,0.3674
3,1,6,0.3968
3,2,5,0.2566
3,3,0,1.0000
3,4,6,0.5139
3,5,5,0.2998
3,6,0,0.2316
3,7,6,0.3677
3,8,4,0.3190
3,9,3,0.4334
3,10,4,0.5990
3,11,2,0.3153
3,12,1,0.0642
3,13,1,0.0810
3,14,6,0.2947
3,15,6,0.5685
3,16,5,0.3310
3,17,2,0.4907
3,18,4,0.3466
3,19,6,0.1656
3,20,4,0.3159
3,21,6,0.3302
3,22,2,0.3645
3,23,6,0.2605
3,24,1,0.2029
4,0,1,0.2641
4,1,5,0.5247
4,2,4,0.2047
4,3,3,0.4562
4,4,0,1.0000
4,5,5,0.2307
4,6,1,0.1976
4,7,2,0.2485
4,8,6,0.2368
4,9,2,0.3058
4,10,2,0.2817
4,11,5,0.4370
4,12,4,0.2151
4,13,0,0.3192
4,14,5,0.4599
4,15,4,0.1773
4,16,6,0.2677
4,17,3,0.3075
4,18,3,0.4223
4,19,1,0.3637
4,20,3,0.2469
4,21,1,0.4953
4,22,3,0.3135
4,23,0,0.2627
4,24,1,0.2294
5,0,6,0.3686
5,1,2,0.3095
5,2,2,0.3068
5,3,5,0.4571
5,4,5,0.3735
5,5,0,1.0000
5,6,1,0.6265
5,7,1,0.3025
5,8,3,0.2988
5,9,4,0.4349
5,10,5,0.3904
5,11,4,0.2502
5,12,4,0.3843
5,13,5,0.5402
5,14,4,0.2136
5,15,2,0.1581
5,16,6,0.4484
5,17,3,0.2409
5,18,2,0.3545
5,19,1,0.3288
5,20,0,0.1213
5,21,1,0.3117
5,22,1,0.0719
5,23,1,0.2037
5,24,0,0.2387
6,0,5,0.3727
6,1,6,0.5234
6,2,1,0.2051
6,3,0,0.2316
6,4,4,0.5224
6,5,5,0.3106
6,6,0,1.0000
6,7,3,0.2221
6,8,5,0.4169
6,9,0,0.2406
6,10,4,0.3925
6,11,6,0.3586
6,12,3,0.5026
6,13,4,0.2618
6,14,3,0.4178
6,15,6,0.1621
6,16,2,0.2013
6,17,6,0.1751
6,18,1,0.3676
6,19,5,0.4728
6,20,0,0.1524
6,21,5,0.4408
6,22,0,0.1883
6,23,2,0.1575
6,24,1,0.2771
7,0,5,0.1120
7,1,3,0.3231
7,2,3,0.4393
7,3,1,0.3777
7,4,6,0.2013
7,5,4,0.1035
7,6,0,0.1264
7,7,0,1.0000
7,8,5,0.3856
7,9,3,0.3295
7,10,1,0.3616
7,11,0,0.2033
7,12,2,0.3536
7,13,1,0.3818
7,14,0,0.2698
7,15,0,0.3067
7,16,3,0.2478
7,17,5,0.1911
7,18,3,0.3791
7,19,0,0.3569
7,20,1,0.0650
7,21,1,0.1224
7,22,1,0.0926
7,23,5,0.2752
7,24,4,0.3323
