t_idx,node_idx,fk_echo_impact
0,0,83.9806
0,1,162.7773
0,2,-184.5464
0,3,95.6418
0,4,13.7068
0,5,94.0425
0,6,-330.1275
0,7,58.5938
0,8,-173.1228
0,9,-139.2182
0,10,214.9345
0,11,204.5302
0,12,-51.4198
0,13,60.8131
0,14,-188.0071
0,15,77.5715
0,16,164.9632
0,17,-24.7164
0,18,-190.2948
0,19,112.2614
0,20,-182.2670
0,21,53.1726
0,22,-21.5043
0,23,50.8384
0,24,37.3970
1,0,-132.6589
1,1,139.3076
1,2,-22.3222
1,3,262.4088
1,4,-205.1737
1,5,-125.2408
1,6,233.1539
1,7,-44.0983
1,8,-191.2710
1,9,78.7219
1,10,31.6282
1,11,24.0699
1,12,-254.1047
1,13,-120.8910
1,14,-99.0301
1,15,129.3658
1,16,98.7752
1,17,-28.0842
1,18,139.9141
1,19,41.7210
1,20,-136.6884
1,21,-42.5295
1,22,162.0831
1,23,104.9286
1,24,-43.9851
2,0,-42.1126
2,1,-23.9424
2,2,-8.8870
2,3,-77.6240
2,4,139.2205
2,5,-87.2141
2,6,-320.2494
2,7,-10.0268
2,8,102.4035
2,9,-36.2265
2,10,86.4914
2,11,-49.3682
2,12,265.6750
2,13,16.7191
2,14,28.5953
2,15,-30.3704
2,16,16.4919
2,17,-73.7800
2,18,235.9273
2,19,-17.5049
2,20,97.2308
2,21,-248.2750
2,22,-106.8879
2,23,17.1232
2,24,126.5915
3,0,36.2011
3,1,-89.2756
3,2,89.2347
3,3,-174.9687
3,4,94.2906
3,5,15.1062
3,6,-28.9564
3,7,3.7157
3,8,117.3863
3,9,77.4741
3,10,-45.9633
3,11,-254.1336
3,12,37.7309
3,13,-156.6267
3,14,-226.1785
3,15,-130.7949
3,16,-85.8117
3,17,63.5619
3,18,99.6959
3,19,-185.1423
3,20,207.8432
3,21,206.7441
3,22,181.7560
3,23,134.3212
3,24,12.7897
4,0,130.8937
4,1,-64.0162
4,2,184.5790
4,3,-223.4590
4,4,-283.9902
4,5,50.0311
4,6,24.3615
4,7,-21.4338
4,8,293.9602
4,9,282.7440
4,10,10.9835
4,11,-234.7271
4,12,104.9744
4,13,-93.5781
4,14,-84.1623
4,15,73.6152
4,16,-41.6772
4,17,-142.3882
4,18,126.8786
4,19,-65.9031
4,20,76.4387
4,21,-0.0569
4,22,18.3730
4,23,-93.7180
4,24,-28.7228
5,0,-133.1922
5,1,-27.0483
5,2,73.5363
5,3,-34.1609
5,4,192.8193
5,5,-31.0255
5,6,-98.9847
5,7,14.9713
5,8,7.6464
5,9,-73.5649
5,10,265.1145
5,11,-81.9974
5,12,-5.8866
5,13,80.8362
5,14,-40.7801
5,15,-14.3338
5,16,33.5973
5,17,-41.1734
5,18,143.5471
5,19,-184.9187
5,20,33.4743
5,21,-86.1979
5,22,-82.9440
5,23,168.9678
5,24,-78.3021
6,0,-12.6504
6,1,-77.3410
6,2,75.2348
6,3,-7.9474
6,4,198.8277
6,5,169.2045
6,6,47.3608
6,7,84.1755
6,8,235.8432
6,9,-148.1539
6,10,-115.0204
6,11,-236.0381
6,12,-32.2514
6,13,-133.3604
6,14,-13.4570
6,15,-26.0821
6,16,-28.3680
6,17,-67.7583
6,18,15.7776
6,19,63.6329
6,20,63.5170
6,21,-35.3373
6,22,-63.0695
6,23,-26.1116
6,24,69.3727
7,0,-117.9571
7,1,110.9609
7,2,-175.1894
7,3,-36.8756
7,4,163.9303
7,5,-43.3550
7,6,9.2721
7,7,172.4400
7,8,-20.4291
7,9,29.0070
7,10,-8.0885
7,11,-26.5534
7,12,-38.6023
7,13,228.0000
7,14,41.0290
7,15,233.2831
7,16,-126.5874
7,17,-151.9479
7,18,-58.7804
7,19,20.9851
7,20,-135.2151
7,21,45.9652
7,22,-50.8036
7,23,9.8931
7,24,-74.3811
8,0,31.6372
8,1,-45.9683
8,2,16.4746
8,3,-13.9528
8,4,20.2354
8,5,89.0889
8,6,-67.1636
8,7,52.6671
8,8,-83.5942
8,9,29.6418
8,10,-50.3205
8,11,-27.6267
8,12,16.6604
8,13,198.3691
8,14,138.4300
8,15,-134.8393
8,16,-24.5382
8,17,-61.1404
8,18,-55.7624
8,19,29.3770
8,20,-101.5412
8,21,7.2752
8,22,60.6293
8,23,-139.0857
8,24,115.0472
9,0,-123.1936
9,1,-32.4239
9,2,-4.3972
9,3,-16.8733
9,4,3.8367
9,5,-84.4831
9,6,99.8624
9,7,93.6006
9,8,-54.2326
9,9,97.8578
9,10,66.3848
9,11,56.6966
9,12,124.5265
9,13,55.3937
9,14,-23.5533
9,15,-120.5873
9,16,-13.4580
9,17,-49.3663
9,18,326.4257
