t_idx,src_idx,tgt_idx,value
E_000001,ACC_Sales_Revenue,ACC_Accounts_Receivable,756.96
E_000002,ACC_Inventory,ACC_COGS,447.99
E_000003,ACC_Sales_Revenue,ACC_Accounts_Receivable,1036.59
E_000004,ACC_Inventory,ACC_COGS,645.24
E_000005,ACC_Sales_Revenue,ACC_Accounts_Receivable,1471.19
E_000006,ACC_Inventory,ACC_COGS,686.99
E_000007,ACC_Accounts_Payable,ACC_Inventory,11648.77
E_000008,ACC_Sales_Revenue,ACC_Accounts_Receivable,1504.62
E_000009,ACC_Inventory,ACC_COGS,1004.57
E_000010,ACC_Sales_Revenue,ACC_Accounts_Receivable,1087.44
E_000011,ACC_Inventory,ACC_COGS,627.61
E_000012,ACC_Sales_Revenue,ACC_Accounts_Receivable,663.03
E_000013,ACC_Inventory,ACC_COGS,271.14
E_000014,ACC_Cash,ACC_Travel_Exp,734.36
E_000015,ACC_Sales_Revenue,ACC_Accounts_Receivable,664.64
E_000016,ACC_Inventory,ACC_COGS,377.76
E_000017,ACC_Sales_Revenue,ACC_Accounts_Receivable,664.03
E_000018,ACC_Inventory,ACC_COGS,395.07
E_000019,ACC_Sales_Revenue,ACC_Accounts_Receivable,881.3
E_000020,ACC_Inventory,ACC_COGS,463.44
E_000021,ACC_Sales_Revenue,ACC_Accounts_Receivable,401.27
E_000022,ACC_Inventory,ACC_COGS,257.95
E_000023,ACC_Sales_Revenue,ACC_Accounts_Receivable,638.87
E_000024,ACC_Inventory,ACC_COGS,400.98
E_000025,ACC_Sales_Revenue,ACC_Accounts_Receivable,907.15
E_000026,ACC_Inventory,ACC_COGS,455.46
E_000027,ACC_Sales_Revenue,ACC_Accounts_Receivable,556.35
E_000028,ACC_Inventory,ACC_COGS,258.48
E_000029,ACC_Sales_Revenue,ACC_Accounts_Receivable,454.72
E_000030,ACC_Inventory,ACC_COGS,227.8
E_000031,ACC_Cash,ACC_Travel_Exp,450.01
E_000032,ACC_Sales_Revenue,ACC_Accounts_Receivable,730.92
E_000033,ACC_Inventory,ACC_COGS,367.79
E_000034,ACC_Sales_Revenue,ACC_Accounts_Receivable,821.9
E_000035,ACC_Inventory,ACC_COGS,527.77
E_000036,ACC_Sales_Revenue,ACC_Accounts_Receivable,452.47
E_000037,ACC_Inventory,ACC_COGS,243.35
E_000038,ACC_Sales_Revenue,ACC_Accounts_Receivable,643.46
E_000039,ACC_Inventory,ACC_COGS,445.23
E_000040,ACC_Cash,ACC_Travel_Exp,373.02
E_000041,ACC_Sales_Revenue,ACC_Accounts_Receivable,504.83
E_000042,ACC_Inventory,ACC_COGS,297.14
E_000043,ACC_Sales_Revenue,ACC_Accounts_Receivable,929.73
E_000044,ACC_Inventory,ACC_COGS,612.24
E_000045,ACC_Sales_Revenue,ACC_Accounts_Receivable,629.14
E_000046,ACC_Inventory,ACC_COGS,287.95
E_000047,ACC_Cash,ACC_Travel_Exp,296.64
E_000048,ACC_Sales_Revenue,ACC_Accounts_Receivable,628.87
E_000049,ACC_Inventory,ACC_COGS,306.14
E_000050,ACC_Sales_Revenue,ACC_Accounts_Receivable,1678.28
E_000051,ACC_Inventory,ACC_COGS,1101.95
E_000052,ACC_Sales_Revenue,ACC_Accounts_Receivable,795.69
E_000053,ACC_Inventory,ACC_COGS,342.39
E_000054,ACC_Accounts_Payable,ACC_Inventory,10413.43
E_000055,ACC_Sales_Revenue,ACC_Accounts_Receivable,490.92
E_000056,ACC_Inventory,ACC_COGS,250.1
E_000057,ACC_Sales_Revenue,ACC_Accounts_Receivable,869.71
E_000058,ACC_Inventory,ACC_COGS,440.58
E_000059,ACC_Sales_Revenue,ACC_Accounts_Receivable,365.31
E_000060,ACC_Inventory,ACC_COGS,175.38
E_000061,ACC_Sales_Revenue,ACC_Accounts_Receivable,470.28
E_000062,ACC_Inventory,ACC_COGS,284.55
E_000063,ACC_Sales_Revenue,ACC_Accounts_Receivable,1074.92
E_000064,ACC_Inventory,ACC_COGS,485.16
E_000065,ACC_Sales_Revenue,ACC_Accounts_Receivable,856.76
E_000066,ACC_Inventory,ACC_COGS,405.63
E_000067,ACC_Sales_Revenue,ACC_Accounts_Receivable,763.84
E_000068,ACC_Inventory,ACC_COGS,392.49
E_000069,ACC_Sales_Revenue,ACC_Accounts_Receivable,709.22
E_000070,ACC_Inventory,ACC_COGS,419.86
E_000071,ACC_Cash,ACC_Travel_Exp,409.41
E_000072,ACC_Sales_Revenue,ACC_Accounts_Receivable,599.85
E_000073,ACC_Inventory,ACC_COGS,378.2
E_000074,ACC_Sales_Revenue,ACC_Accounts_Receivable,665.38
E_000075,ACC_Inventory,ACC_COGS,311.87
E_000076,ACC_Sales_Revenue,ACC_Accounts_Receivable,1221.04
E_000077,ACC_Inventory,ACC_COGS,783.31
E_000078,ACC_Cash,ACC_Travel_Exp,276.85
E_000079,ACC_Sales_Revenue,ACC_Accounts_Receivable,395.2
E_000080,ACC_Inventory,ACC_COGS,269.87
E_000081,ACC_Sales_Revenue,ACC_Accounts_Receivable,910.73
E_000082,ACC_Inventory,ACC_COGS,560.44
E_000083,ACC_Sales_Revenue,ACC_Accounts_Receivable,685.8
E_000084,ACC_Inventory,ACC_COGS,409.17
E_000085,ACC_Sales_Revenue,ACC_Accounts_Receivable,610.23
E_000086,ACC_Inventory,ACC_COGS,406.05
E_000087,ACC_Sales_Revenue,ACC_Accounts_Receivable,1208.35
E_000088,ACC_Inventory,ACC_COGS,579.36
E_000089,ACC_Sales_Revenue,ACC_Accounts_Receivable,1161.1
E_000090,ACC_Inventory,ACC_COGS,723.94
E_000091,ACC_Sales_Revenue,ACC_Accounts_Receivable,571.88
E_000092,ACC_Inventory,ACC_COGS,273.83
E_000093,ACC_Sales_Revenue,ACC_Accounts_Receivable,706.93
E_000094,ACC_Inventory,ACC_COGS,373.63
E_000095,ACC_Cash,ACC_Travel_Exp,286.61
E_000096,ACC_Sales_Revenue,ACC_Accounts_Receivable,1181.84
E_000097,ACC_Inventory,ACC_COGS,826.41
E_000098,ACC_Sales_Revenue,ACC_Accounts_Receivable,660.46
E_000099,ACC_Inventory,ACC_COGS,361.97
E_000100,ACC_Sales_Revenue,ACC_Accounts_Receivable,742.74
E_000101,ACC_Inventory,ACC_COGS,307.59
E_000102,ACC_Sales_Revenue,ACC_Accounts_Receivable,513.93
E_000103,ACC_Inventory,ACC_COGS,229.14
E_000104,ACC_Sales_Revenue,ACC_Accounts_Receivable,1107.24
E_000105,ACC_Inventory,ACC_COGS,583.13
