t_idx,time_label,conservation_residual,kl_divergence_drift,z_score_X,z_score_v,anomaly_flag
0,2024-01-01 10:00:00,0.0,0.0,0.0,0.0,0
1,2024-01-01 10:00:10,0.0,0.0018,0.0,0.0,0
2,2024-01-01 10:00:20,0.0,0.0011,0.0,0.177,0
3,2024-01-01 10:00:30,0.0,0.0011,0.0,1.0378,0
4,2024-01-01 10:00:40,0.0,0.0011,0.0,1.7893,0
5,2024-01-01 10:00:50,0.0,0.0012,0.0,24.0377,1
6,2024-01-01 10:01:00,0.0,0.0013,0.0,11.7703,1
7,2024-01-01 10:01:10,0.0,0.0009,0.0,2.19,0
8,2024-01-01 10:01:20,0.0,0.0012,0.0,4.4686,1
9,2024-01-01 10:01:30,0.0,0.0009,0.0,1.1947,0
10,2024-01-01 10:01:40,0.0,0.0013,0.0,1.3293,0
11,2024-01-01 10:01:50,0.0,0.0011,0.0001,2.5626,0
12,2024-01-01 10:02:00,0.0,0.0012,0.0001,2.4538,0
13,2024-01-01 10:02:10,0.0,0.002,0.0,2.8189,0
14,2024-01-01 10:02:20,0.0,0.0024,0.0,3.6828,1
15,2024-01-01 10:02:30,0.0,0.0017,0.0,1.3907,0
16,2024-01-01 10:02:40,0.0,0.0029,0.0,2.2769,0
17,2024-01-01 10:02:50,0.0,0.0076,0.0,1.4007,0
18,2024-01-01 10:03:00,0.0,0.0113,0.0001,3.7943,1
19,2024-01-01 10:03:10,0.0,0.0092,0.0,1.4558,0
20,2024-01-01 10:03:20,0.0,0.0019,0.0,1.991,0
21,2024-01-01 10:03:30,0.0,0.0038,0.0,0.7517,0
22,2024-01-01 10:03:40,0.0,0.0019,0.0,2.4217,0
23,2024-01-01 10:03:50,0.0,0.0019,0.0,1.4376,0
24,2024-01-01 10:04:00,0.0,0.0017,0.0,1.9913,0
25,2024-01-01 10:04:10,0.0,0.0015,0.0,2.4149,0
26,2024-01-01 10:04:20,0.0,0.0024,0.0,2.0286,0
27,2024-01-01 10:04:30,0.0,0.0019,0.0001,2.833,0
28,2024-01-01 10:04:40,0.0,0.0018,0.0,1.9781,0
29,2024-01-01 10:04:50,0.0,0.0011,0.0,1.1763,0
30,2024-01-01 10:05:00,0.0,1.2882,0.0012,51.4361,1
31,2024-01-01 10:05:10,0.0,1.2287,0.0124,6.3066,1
32,2024-01-01 10:05:20,0.0,1.1869,0.0192,5.0346,1
33,2024-01-01 10:05:30,0.0,1.1363,0.0252,3.8593,1
34,2024-01-01 10:05:40,0.0,1.0875,0.0283,3.8446,1
35,2024-01-01 10:05:50,0.0,1.0486,0.0284,3.6776,1
36,2024-01-01 10:06:00,0.0,1.0136,0.0257,2.7071,0
37,2024-01-01 10:06:10,0.0,0.9784,0.0201,1.6796,0
38,2024-01-01 10:06:20,0.0,0.9396,0.0163,1.953,0
39,2024-01-01 10:06:30,0.0,0.9145,0.0131,0.8877,0
40,2024-01-01 10:06:40,0.0,0.8848,0.0122,1.4646,0
41,2024-01-01 10:06:50,0.0,0.8501,0.0143,1.6616,0
42,2024-01-01 10:07:00,0.0,0.8249,0.0163,1.8007,0
43,2024-01-01 10:07:10,0.0,0.806,0.0194,1.5745,0
44,2024-01-01 10:07:20,0.0,0.7753,0.0204,1.5041,0
45,2024-01-01 10:07:30,0.0,0.7579,0.0207,2.3834,0
46,2024-01-01 10:07:40,0.0,0.7397,0.0182,2.1994,0
47,2024-01-01 10:07:50,0.0,0.7209,0.0166,2.7987,0
48,2024-01-01 10:08:00,0.0,0.7112,0.0161,3.5129,1
49,2024-01-01 10:08:10,0.0,0.6789,0.0166,2.5538,0
50,2024-01-01 10:08:20,0.0,0.6728,0.0203,1.1717,0
51,2024-01-01 10:08:30,0.0,0.6452,0.0273,1.4839,0
52,2024-01-01 10:08:40,0.0,0.6305,0.034,1.8598,0
53,2024-01-01 10:08:50,0.0,0.6151,0.0436,3.061,1
54,2024-01-01 10:09:00,0.0,0.599,0.054,2.5488,0
55,2024-01-01 10:09:10,0.0,0.5838,0.0615,2.9127,0
56,2024-01-01 10:09:20,0.0,0.5723,0.0664,2.903,0
57,2024-01-01 10:09:30,0.0,0.5602,0.066,2.0959,0
58,2024-01-01 10:09:40,0.0,0.5475,0.0621,1.6905,0
59,2024-01-01 10:09:50,0.0,0.5352,0.0575,1.4579,0
