t_idx,src_idx,tgt_idx,stiffness_diff
0,0,0,0.0
0,0,1,0.0
0,0,2,0.0
0,0,3,0.0
0,0,4,0.0
0,1,0,0.0
0,1,1,0.0
0,1,2,0.0
0,1,3,0.0
0,1,4,0.0
0,2,0,0.0
0,2,1,0.0
0,2,2,0.0
0,2,3,0.0
0,2,4,0.0
0,3,0,0.0
0,3,1,0.0
0,3,2,0.0
0,3,3,0.0
0,3,4,0.0
0,4,0,0.0
0,4,1,0.0
0,4,2,0.0
0,4,3,0.0
0,4,4,0.0
1,0,0,0.0
1,0,1,0.0
1,0,2,0.0
1,0,3,0.0
1,0,4,0.0
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,1,4,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,2,4,0.0
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
1,3,3,0.0
1,3,4,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.0
1,4,3,0.0
1,4,4,0.0
2,0,0,3.952196e-06
2,0,1,-1.109472e-06
2,0,2,-5.759081e-06
2,0,3,9.509426e-06
2,0,4,-6.595204e-06
2,1,0,-1.112069e-06
2,1,1,3.12451e-07
2,1,2,1.621414e-06
2,1,3,-2.677943e-06
2,1,4,1.855616e-06
2,2,0,-5.763293e-06
2,2,1,1.619191e-06
2,2,2,8.401929e-06
2,2,3,-1.3882017e-05
2,2,4,9.619779e-06
2,3,0,9.51842e-06
2,3,1,-2.676145e-06
2,3,2,-1.3882349e-05
2,3,3,2.2940664e-05
2,3,4,-1.5896194e-05
2,4,0,-6.59097e-06
2,4,1,1.851935e-06
2,4,2,9.611249e-06
2,4,3,-1.5877187e-05
2,4,4,1.0997057e-05
3,0,0,0.000174497837
3,0,1,-0.000154209586
3,0,2,-1.7269192e-05
3,0,3,-3.4508775e-05
3,0,4,3.1492887e-05
3,1,0,-0.000154205939
3,1,1,0.000137682805
3,1,2,1.2078924000000001e-05
3,1,3,3.6597377e-05
3,1,4,-3.2154681e-05
3,2,0,-1.7261945e-05
3,2,1,1.2084357e-05
3,2,2,8.863969000000002e-06
3,2,3,-1.0298258000000001e-05
3,2,4,6.620917000000001e-06
3,3,0,-3.4522187e-05
3,3,1,3.6589326e-05
3,3,2,-1.0299212999999998e-05
3,3,3,3.3120294999999995e-05
3,3,4,-2.4888657000000004e-05
3,4,0,3.1490345e-05
3,4,1,-3.2147102e-05
3,4,2,6.6305510000000015e-06
