t_idx,conservation_residual,kl_divergence_drift,mahalanobis_z_score,anomaly_flag
0,0.0000,0.0000,0.0000,0
1,0.0000,-0.3394,0.0000,0
2,0.0000,1.3953,2.2330,0
3,0.0000,0.6684,5.7017,1
4,0.0000,0.5874,5.1437,1
5,0.0000,0.4537,4.2651,1
6,0.0000,0.2815,8.1542,1
7,0.0000,0.4478,63.1658,1
8,0.0000,0.2157,15.6461,1
9,0.0000,0.2215,9.8370,1
10,0.0000,0.2398,9.8405,1
11,0.0000,0.1458,10.0172,1
12,0.0000,0.1696,4.7539,1
13,0.0000,0.0416,4.8526,1
14,0.0000,0.1039,8.7851,1
15,0.0000,0.0820,6.3004,1
16,0.0000,0.0803,6.1874,1
17,0.0000,0.0255,3.1941,1
18,0.0000,0.0544,6.3949,1
19,0.0000,0.0169,6.3971,1
20,0.0000,0.0069,15.4317,1
21,0.0000,0.0015,9.4400,1
22,0.0000,0.0527,4.0674,1
23,0.0000,0.6568,25.8865,1
