t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,203673.1800,1.2231,0.0000,0.0000,0.0000,0.0000,203673.1800
1,262211.7700,1.8607,316773124.9412,0.0000,0.0000,0.0000,-589170374.5076
2,358151.3200,1.7042,1314448609.1876,0.0000,0.0000,0.0000,-2239749163.5178
3,363697.8200,1.7828,2292789088.2958,0.0000,0.0000,0.0000,-4087262403.8880
4,384771.5200,1.5992,2453401025.0323,0.0000,0.0000,0.0000,-3923045805.0157
5,358689.4000,1.6176,1279479619.8471,0.0000,0.0000,0.0000,-2069350974.1421
6,324369.1300,1.7325,912293082.7429,0.0000,0.0000,0.0000,-1580191316.5462
7,303555.8500,1.3336,1404374213.6355,0.0000,0.0000,0.0000,-1872612729.3931
8,217920.2800,1.8094,1643362134.2949,0.0000,0.0000,0.0000,-2973319294.3633
9,226207.3000,1.6931,1581278425.4106,0.0000,0.0000,0.0000,-2676984595.3337
10,242251.0400,1.5462,1561731469.7887,0.0000,0.0000,0.0000,-2414525534.9871
11,264507.8500,1.8196,1886940560.5080,0.0000,0.0000,0.0000,-3433233924.2056
12,325781.6700,1.5815,1275825881.5691,0.0000,0.0000,0.0000,-2017396298.4274
13,338299.4900,1.5067,927996702.3258,0.0000,0.0000,0.0000,-1397837790.2420
14,360950.0400,1.8588,1281883342.2552,0.0000,0.0000,0.0000,-2382455540.5273
15,414002.5300,1.3864,1495759212.6961,0.0000,0.0000,0.0000,-2073259247.7346
16,344166.2700,1.7979,1596815193.1878,0.0000,0.0000,0.0000,-2870593126.5702
17,334166.2000,1.6441,993890945.0597,0.0000,0.0000,0.0000,-1633730742.6861
18,322216.2300,1.4995,1169964709.9865,0.0000,0.0000,0.0000,-1754028221.3910
19,262989.5000,1.6788,1568065229.5946,0.0000,0.0000,0.0000,-2632128084.3432
20,212857.1700,1.6374,1272174402.7478,0.0000,0.0000,0.0000,-2082818014.8246
21,204228.2500,1.6757,708155301.6183,0.0000,0.0000,0.0000,-1186461301.4327
22,254436.5800,1.4073,892185117.5546,0.0000,0.0000,0.0000,-1255318845.7538
23,140651.3900,0.5920,1004265412.4736,0.0000,0.0000,0.0000,-594367974.4461
