t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t
0,0,39033.5400,-0.0000,0.0000
0,1,86452.4100,-0.0000,0.0000
0,2,30692.7400,1.2231,0.0000
0,3,20862.2300,-0.0000,0.0000
0,4,5361.8600,-0.0000,0.0000
0,5,4468.6500,-0.0000,0.0000
0,6,47418.8700,-0.0000,0.0000
0,7,86528.0300,-0.0000,0.0000
0,8,86528.0300,-0.0000,0.0000
1,0,48461.4100,-0.0000,128777898.3612
1,1,89845.7100,-0.0000,69401395.5625
1,2,68298.4600,1.8607,5578288.1856
1,3,17202.1000,-0.0000,3349137.9042
1,4,5238.8700,-0.0000,3781.6350
1,5,8630.8200,-0.0000,4330914.7772
1,6,57446.2700,-0.0000,25137187.6900
1,7,104067.6000,-0.0000,76909128.9462
1,8,125232.3000,-0.0000,3285391.8792
2,0,60046.0200,-0.0000,256446578.7989
2,1,99192.0900,-0.0000,158282620.8422
2,2,134195.6800,1.7042,336461463.2904
2,3,18357.6900,-0.0000,2333851.1641
2,4,4383.3600,-0.0000,189387.3500
2,5,9140.7500,-0.0000,4379134.0138
2,6,69179.8100,-0.0000,79084802.3750
2,7,124763.5500,-0.0000,244212650.2064
2,8,197043.6900,-0.0000,233058121.1468
3,0,63004.0800,-0.0000,199358345.5672
3,1,97819.3200,-0.0000,119262928.7964
3,2,157274.1200,1.7828,797622891.1878
3,3,19365.1200,-0.0000,1808723.0971
3,4,5268.6600,-0.0000,156113.4953
3,5,9418.6100,-0.0000,4038258.0868
3,6,60152.5100,-0.0000,60170293.0783
3,7,108604.3800,-0.0000,185436264.3149
3,8,206488.8400,-0.0000,924935270.6721
4,0,67905.7200,-0.0000,84993576.8214
4,1,89842.8700,-0.0000,40383812.8338
4,2,187650.3200,1.5992,885830527.0363
4,3,18462.5400,-0.0000,590207.0091
4,4,4127.4400,-0.0000,257480.9796
4,5,8170.7400,-0.0000,229226.2758
4,6,59169.0300,-0.0000,20665168.2685
4,7,107278.3300,-0.0000,64238975.5277
4,8,226936.0500,-0.0000,1356212050.2801
5,0,71992.0700,-0.0000,60036385.2198
5,1,83818.2000,-0.0000,60437340.1607
5,2,180983.7900,1.6176,234680827.9851
5,3,16572.9400,-0.0000,1024546.8287
5,4,6434.0600,-0.0000,814728.6062
5,5,7344.0500,-0.0000,674415.7223
5,6,51189.7400,-0.0000,40644876.7494
5,7,93887.4100,-0.0000,119865754.2417
5,8,205156.5400,-0.0000,761300744.3332
