t_idx,time_label,node_idx,node_label,optimal_input_u,state_error_x
0,2020-01,0,00_ACC_Accounts_Payable,0.0,55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,0.0,95968.3
0,2020-01,2,02_ACC_COGS,-0.0,53801.35
0,2020-01,3,03_ACC_Cash,0.0,31838.46
0,2020-01,4,04_ACC_Inventory,0.0,2151.51
0,2020-01,5,05_ACC_Payroll_Exp,-0.0,18973.66
0,2020-01,6,06_ACC_Rent_Exp,-0.0,6683.35
0,2020-01,7,07_ACC_Sales_Revenue,0.0,105968.3
0,2020-01,8,08_ACC_Travel_Exp,0.0,6181.45
0,2020-01,9,09_ACC_Equity_Capital,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,0.0,30842.84
1,2020-02,1,01_ACC_Accounts_Receivable,0.0,91527.62
1,2020-02,2,02_ACC_COGS,-0.0,64905.15
1,2020-02,3,03_ACC_Cash,0.0,18815.51
1,2020-02,4,04_ACC_Inventory,0.0,22413.54
1,2020-02,5,05_ACC_Payroll_Exp,4234.201,18245.21
1,2020-02,6,06_ACC_Rent_Exp,1245.9385,5368.76
1,2020-02,7,07_ACC_Sales_Revenue,0.0,126246.21
1,2020-02,8,08_ACC_Travel_Exp,1919.5504,8271.36
1,2020-02,9,09_ACC_Equity_Capital,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,0.0,12239.54
2,2020-03,1,01_ACC_Accounts_Receivable,0.0,20291.67
2,2020-03,2,02_ACC_COGS,-0.0,54939.95
2,2020-03,3,03_ACC_Cash,0.0,14064.84
2,2020-03,4,04_ACC_Inventory,0.0,9192.9
2,2020-03,5,05_ACC_Payroll_Exp,2278.3024,14782.04
2,2020-03,6,06_ACC_Rent_Exp,894.4894,5803.61
2,2020-03,7,07_ACC_Sales_Revenue,0.0,110458.77
2,2020-03,8,08_ACC_Travel_Exp,1850.9192,12009.1
2,2020-03,9,09_ACC_Equity_Capital,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,0.0,26211.05
3,2020-04,1,01_ACC_Accounts_Receivable,0.0,50792.47
3,2020-04,2,02_ACC_COGS,-0.0,28447.92
3,2020-04,3,03_ACC_Cash,0.0,35017.02
3,2020-04,4,04_ACC_Inventory,0.0,31137.96
3,2020-04,5,05_ACC_Payroll_Exp,-9460.484,18834.01
3,2020-04,6,06_ACC_Rent_Exp,-2664.9025,5305.31
3,2020-04,7,07_ACC_Sales_Revenue,0.0,60480.48
3,2020-04,8,08_ACC_Travel_Exp,-4391.0707,8741.78
3,2020-04,9,09_ACC_Equity_Capital,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,0.0,6662.13
4,2020-05,1,01_ACC_Accounts_Receivable,0.0,56558.4
4,2020-05,2,02_ACC_COGS,-0.0,25503.94
4,2020-05,3,03_ACC_Cash,0.0,18571.68
4,2020-05,4,04_ACC_Inventory,0.0,22645.36
4,2020-05,5,05_ACC_Payroll_Exp,-7689.7787,18155.0
4,2020-05,6,06_ACC_Rent_Exp,-1992.9085,4705.11
4,2020-05,7,07_ACC_Sales_Revenue,0.0,55351.38
4,2020-05,8,08_ACC_Travel_Exp,-2400.1428,5666.56
4,2020-05,9,09_ACC_Equity_Capital,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,0.0,27527.66
5,2020-06,1,01_ACC_Accounts_Receivable,0.0,2635.89
5,2020-06,2,02_ACC_COGS,-0.0,30274.7
5,2020-06,3,03_ACC_Cash,0.0,59744.09
5,2020-06,4,04_ACC_Inventory,0.0,23357.73
5,2020-06,5,05_ACC_Payroll_Exp,-6837.5864,18066.68
5,2020-06,6,06_ACC_Rent_Exp,-1977.1409,5224.12
5,2020-06,7,07_ACC_Sales_Revenue,0.0,64879.67
5,2020-06,8,08_ACC_Travel_Exp,-2852.4749,7536.98
5,2020-06,9,09_ACC_Equity_Capital,0.0,0.0
6,2020-07,0,00_ACC_Accounts_Payable,0.0,13744.78
6,2020-07,1,01_ACC_Accounts_Receivable,0.0,61963.64
6,2020-07,2,02_ACC_COGS,0.0,58695.15
6,2020-07,3,03_ACC_Cash,0.0,38933.41
6,2020-07,4,04_ACC_Inventory,0.0,5072.4
6,2020-07,5,05_ACC_Payroll_Exp,-1510.6269,20722.72
6,2020-07,6,06_ACC_Rent_Exp,-485.3921,6658.59
6,2020-07,7,07_ACC_Sales_Revenue,0.0,121667.96
6,2020-07,8,08_ACC_Travel_Exp,-818.9009,11233.65
6,2020-07,9,09_ACC_Equity_Capital,0.0,0.0
7,2020-08,0,00_ACC_Accounts_Payable,0.0,22935.77
7,2020-08,1,01_ACC_Accounts_Receivable,0.0,57276.05
7,2020-08,2,02_ACC_COGS,-0.0,68951.98
7,2020-08,3,03_ACC_Cash,0.0,9422.25
7,2020-08,4,04_ACC_Inventory,0.0,19480.69
7,2020-08,5,05_ACC_Payroll_Exp,5929.2541,18876.79
7,2020-08,6,06_ACC_Rent_Exp,1552.8304,4943.7
7,2020-08,7,07_ACC_Sales_Revenue,0.0,134227.22
7,2020-08,8,08_ACC_Travel_Exp,2253.0317,7172.91
7,2020-08,9,09_ACC_Equity_Capital,0.0,0.0
8,2020-09,0,00_ACC_Accounts_Payable,0.0,30943.84
8,2020-09,1,01_ACC_Accounts_Receivable,0.0,11184.69
8,2020-09,2,02_ACC_COGS,-0.0,52202.28
8,2020-09,3,03_ACC_Cash,0.0,20166.49
8,2020-09,4,04_ACC_Inventory,0.0,9285.29
8,2020-09,5,05_ACC_Payroll_Exp,-2833.0787,21170.52
8,2020-09,6,06_ACC_Rent_Exp,-449.1383,3356.24
8,2020-09,7,07_ACC_Sales_Revenue,0.0,105107.68
8,2020-09,8,08_ACC_Travel_Exp,-1271.4002,9500.69
8,2020-09,9,09_ACC_Equity_Capital,0.0,0.0
9,2020-10,0,00_ACC_Accounts_Payable,0.0,12869.02
9,2020-10,1,01_ACC_Accounts_Receivable,0.0,58566.15
9,2020-10,2,02_ACC_COGS,0.0,31142.57
9,2020-10,3,03_ACC_Cash,0.0,45514.15
9,2020-10,4,04_ACC_Inventory,0.0,17032.09
9,2020-10,5,05_ACC_Payroll_Exp,-5001.5286,18513.78
9,2020-10,6,06_ACC_Rent_Exp,-1736.7457,6428.78
9,2020-10,7,07_ACC_Sales_Revenue,0.0,66232.85
9,2020-10,8,08_ACC_Travel_Exp,-2441.2661,9036.65
9,2020-10,9,09_ACC_Equity_Capital,0.0,0.0
10,2020-11,0,00_ACC_Accounts_Payable,0.0,11956.5
10,2020-11,1,01_ACC_Accounts_Receivable,0.0,44218.38
10,2020-11,2,02_ACC_COGS,-0.0,25672.71
10,2020-11,3,03_ACC_Cash,0.0,23741.49
10,2020-11,4,04_ACC_Inventory,0.0,21645.29
10,2020-11,5,05_ACC_Payroll_Exp,-6595.9548,17692.5
10,2020-11,6,06_ACC_Rent_Exp,-2228.9909,5978.88
10,2020-11,7,07_ACC_Sales_Revenue,0.0,56444.07
10,2020-11,8,08_ACC_Travel_Exp,-2940.7613,7888.08
10,2020-11,9,09_ACC_Equity_Capital,0.0,0.0
11,2020-12,0,00_ACC_Accounts_Payable,0.0,10516.77
11,2020-12,1,01_ACC_Accounts_Receivable,0.0,6966.19
11,2020-12,2,02_ACC_COGS,-0.0,31906.45
11,2020-12,3,03_ACC_Cash,0.0,34914.01
11,2020-12,4,04_ACC_Inventory,0.0,19065.32
