t_idx,time_label,node_idx,node_label,account_category,local_internal_energy_u,local_entropy_s,local_temperature_t,local_grad_t
0,2020-01,0,00_ACC_Accounts_Payable,Liability,55952.86,-0.0,0.0,0.0
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,95968.3,-0.0,0.0,0.0
0,2020-01,2,02_ACC_COGS,Expense,53801.35,-0.0,0.0,0.0
0,2020-01,3,03_ACC_Cash,Asset,468161.54,1.3769,0.0,0.0
0,2020-01,4,04_ACC_Inventory,Asset,502151.51,-0.0,0.0,0.0
0,2020-01,5,05_ACC_Payroll_Exp,Expense,18973.66,-0.0,0.0,0.0
0,2020-01,6,06_ACC_Rent_Exp,Expense,6683.35,-0.0,0.0,0.0
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,95968.3,-0.0,0.0,0.0
0,2020-01,8,08_ACC_Travel_Exp,Expense,6181.45,-0.0,0.0,0.0
0,2020-01,9,09_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,86795.7,-0.0,15421.42,-10228.315
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,187495.92,-0.0,45763.81,-23996.76
1,2020-02,2,02_ACC_COGS,Expense,118706.5,-0.0,32452.575,-21245.805
1,2020-02,3,03_ACC_Cash,Asset,449346.03,1.8623,9407.755,30089.12
1,2020-02,4,04_ACC_Inventory,Asset,479737.97,-0.0,11206.77,25460.455
1,2020-02,5,05_ACC_Payroll_Exp,Expense,37218.87,-0.0,9122.605,285.15
1,2020-02,6,06_ACC_Rent_Exp,Expense,12052.11,-0.0,2684.38,6723.375
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,212214.51,-0.0,58123.105,-12359.295
1,2020-02,8,08_ACC_Travel_Exp,Expense,14452.81,-0.0,4135.68,5272.075
1,2020-02,9,09_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,99035.24,-0.0,18126.6488,-14990.1173
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,207787.59,-0.0,48639.9592,-743.293
2,2020-03,2,02_ACC_COGS,Expense,173646.45,-0.0,48982.9047,-35708.689
2,2020-03,3,03_ACC_Cash,Asset,463410.87,1.7353,7988.9647,53218.2448
2,2020-03,4,04_ACC_Inventory,Asset,470545.07,-0.0,13274.2158,40561.1221
2,2020-03,5,05_ACC_Payroll_Exp,Expense,52000.91,-0.0,13508.0044,-5519.0397
2,2020-03,6,06_ACC_Rent_Exp,Expense,17855.72,-0.0,4562.2524,3426.7122
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,312673.28,-0.0,88547.6608,-39907.7016
2,2020-03,8,08_ACC_Travel_Exp,Expense,26461.91,-0.0,8326.2032,-337.2385
2,2020-03,9,09_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,125246.29,-0.0,24905.1012,-18133.9839
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,156995.12,-0.0,42224.887,35699.9814
3,2020-04,2,02_ACC_COGS,Expense,202094.37,-0.0,56650.003,-42872.2562
3,2020-04,3,03_ACC_Cash,Asset,498427.89,1.6914,17898.4717,13986.0342
3,2020-04,4,04_ACC_Inventory,Asset,501683.03,-0.0,13777.7468,53999.6105
3,2020-04,5,05_ACC_Payroll_Exp,Expense,70834.92,-0.0,19066.5687,-1168.097
3,2020-04,6,06_ACC_Rent_Exp,Expense,23161.03,-0.0,6176.5468,11721.9249
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,363153.76,-0.0,102251.2837,-60026.3967
3,2020-04,8,08_ACC_Travel_Exp,Expense,35203.69,-0.0,11105.289,6793.1827
3,2020-04,9,09_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,118584.16,-0.0,15314.0536,17139.4856
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,100436.72,-0.0,40484.7903,18956.9845
4,2020-05,2,02_ACC_COGS,Expense,227598.31,-0.0,40465.9576,-19655.1566
4,2020-05,3,03_ACC_Cash,Asset,516999.57,1.3744,26956.7917,-43620.677
4,2020-05,4,04_ACC_Inventory,Asset,524328.39,-0.0,20810.801,14158.4091
4,2020-05,5,05_ACC_Payroll_Exp,Expense,88989.92,-0.0,19495.6725,7461.1192
4,2020-05,6,06_ACC_Rent_Exp,Expense,27866.14,-0.0,5903.7404,21053.0513
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,408505.14,-0.0,72969.7733,-32484.983
4,2020-05,8,08_ACC_Travel_Exp,Expense,40870.25,-0.0,9965.0248,16991.7669
4,2020-05,9,09_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,91056.5,-0.0,13928.248,25313.8568
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,103072.61,-0.0,44146.5945,-7958.0422
5,2020-06,2,02_ACC_COGS,Expense,257873.01,-0.0,31117.1836,-2626.3519
5,2020-06,3,03_ACC_Cash,Asset,457255.48,1.2295,24679.5211,-31169.4524
5,2020-06,4,04_ACC_Inventory,Asset,547686.12,-0.0,28490.8317,-11936.2317
5,2020-06,5,05_ACC_Payroll_Exp,Expense,107056.6,-0.0,20497.0346,4182.4865
5,2020-06,6,06_ACC_Rent_Exp,Expense,33090.26,-0.0,5637.2928,19042.2283
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,463384.81,-0.0,55655.6257,-11509.0312
5,2020-06,8,08_ACC_Travel_Exp,Expense,48407.23,-0.0,8018.9833,16660.5378
5,2020-06,9,09_ACC_Equity_Capital,Equity,1000000.0,-0.0,0.0,0.0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,104801.28,-0.0,13152.906,32175.017
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,165036.25,-0.0,29781.17,57727.0247
6,2020-07,2,02_ACC_COGS,Expense,316568.16,-0.0,42678.4991,-22341.6677
6,2020-07,3,03_ACC_Cash,Asset,418322.07,1.6142,38143.9975,-111338.3264
