t_idx,node_idx,state_X,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,-11648.7700,-11648.7700,0.0000,11648.7700,0.0000,0.0000
0,1,16809.5800,5809.1500,0.0000,16809.5800,0.0000,0.0000
0,2,33999.7700,-1577.3000,0.0000,33999.7700,0.0000,0.0000
0,3,1577.3000,1577.3000,0.0000,1577.3000,0.0000,0.0000
0,4,5839.6200,5839.6200,0.0000,5839.6200,0.0000,0.0000
0,5,-11688.1600,-11688.1600,0.0000,11688.1600,0.0000,0.0000
0,6,11688.1600,11688.1600,0.0000,11688.1600,0.0000,0.0000
0,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,-22062.2000,-10413.4300,1235.3400,16855.4850,0.0016,20822237.9807
1,1,16641.0400,-168.5400,-5977.6900,16725.3100,0.0003,-99978718.3903
1,2,33059.7700,-940.0000,637.3000,33529.7700,0.0031,21368519.4711
1,3,2517.3000,940.0000,-637.3000,2047.3000,0.0031,-1304741.3401
1,4,16421.5900,10581.9700,4742.3500,11130.6050,0.0004,52785229.0845
1,5,-30192.6400,-18504.4800,-6816.3200,20940.4000,0.0003,-142736472.7575
1,6,30192.6400,18504.4800,6816.3200,20940.4000,0.0003,142736472.7575
1,7,0.0000,0.0000,0.0000,0.0000,0.0067,0.0000
1,8,0.0000,0.0000,0.0000,0.0000,0.0067,0.0000
2,0,-35567.5000,-13505.3000,-3091.8700,23092.8233,0.0008,-71400018.3078
2,1,16404.1600,-236.8800,-68.3400,16618.2600,0.0004,-1135691.9720
2,2,32583.2800,-476.4900,463.5100,33214.2733,0.0022,15395146.7768
2,3,2993.7900,476.4900,-463.5100,2362.7967,0.0022,-1095178.8271
2,4,30163.7700,13742.1800,3160.2100,17474.9933,0.0003,55224652.9133
2,5,-54171.8400,-23979.2000,-5474.7200,32017.5467,0.0002,-175287107.8563
2,6,54171.8400,23979.2000,5474.7200,32017.5467,0.0002,175287107.8563
2,7,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000
2,8,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000
3,0,-46364.0800,-10796.5800,2708.7200,28910.6375,0.0008,78310812.9532
3,1,14189.4200,-2214.7400,-1977.8600,16011.0500,0.0003,-31667616.0893
3,2,4985.5500,-27597.7300,-27121.2400,26157.0925,0.0001,-709412785.7894
3,3,4934.5100,1940.7200,1464.2300,3005.7250,0.0018,4401076.1508
3,4,43175.0900,13011.3200,-730.8600,23900.0175,0.0003,-17467562.5796
3,5,-78681.9700,-24510.1300,-530.9300,43683.6525,0.0002,-23192966.3594
3,6,78681.9700,24510.1300,530.9300,43683.6525,0.0002,23192966.3594
3,7,18973.6600,18973.6600,18973.6600,4743.4150,0.0001,89999945.7583
3,8,6683.3500,6683.3500,6683.3500,1670.8375,0.0003,11166794.1150
4,0,-55952.8600,-9588.7800,1207.8000,34319.0820,0.0007,41450580.0496
4,1,9553.7800,-4635.6400,-2420.9000,14719.5960,0.0003,-35634671.2968
4,2,2575.7900,-2409.7600,25187.9700,21440.8320,0.0001,540051032.9619
4,3,7344.2700,2409.7600,469.0400,3873.4340,0.0014,1816798.9731
4,4,57399.5100,14224.4200,1213.1000,30599.9160,0.0003,37120762.7091
4,5,-104382.1200,-25700.1500,-1190.0200,55823.3460,0.0002,-66430903.1320
4,6,104382.1200,25700.1500,1190.0200,55823.3460,0.0002,66430903.1320
4,7,18973.6600,0.0000,-18973.6600,7589.4640,0.0001,-143999909.5182
4,8,6683.3500,0.0000,-6683.3500,2673.3400,0.0004,-17866866.8890
5,0,-66667.1200,-10714.2600,-1125.4800,39710.4217,0.0008,-44693294.0860
5,1,4971.8900,-4581.8900,53.7500,13094.9783,0.0003,703853.7909
5,2,4592.7500,2016.9600,4426.7200,18632.8183,0.0001,82482269.7717
5,3,8200.7800,856.5100,-1553.2500,4594.6583,0.0015,-7136651.7787
5,4,72695.6600,15296.1500,1071.7300,37615.8733,0.0003,40314064.7747
5,5,-132221.7200,-27839.6000,-2139.4500,68556.4083,0.0002,-146673012.9409
5,6,129348.2500,24966.1300,-734.0200,68077.4967,0.0002,-49970239.1115
5,7,18973.6600,0.0000,0.0000,9486.8300,0.0001,0.0000
5,8,6683.3500,0.0000,0.0000,3341.6750,0.0004,0.0000
6,0,-75866.2200,-9199.1000,1515.1600,44875.5357,0.0008,67993609.7292
6,1,-2058.4100,-7030.3000,-2448.4100,11518.3257,0.0003,-28201585.6663
