t_idx,time_label,node_idx,node_label,account_category,curvature,density
0,2020-01,0,00_ACC_Accounts_Payable,Liability,0.0,55952.86
0,2020-01,1,01_ACC_Accounts_Receivable,Asset,0.0,95968.3
0,2020-01,2,02_ACC_COGS,Expense,0.0,53801.35
0,2020-01,3,03_ACC_Cash,Asset,0.0,31838.46
0,2020-01,4,04_ACC_Inventory,Asset,0.0,109754.21
0,2020-01,5,05_ACC_Payroll_Exp,Expense,0.0,18973.66
0,2020-01,6,06_ACC_Rent_Exp,Expense,0.0,6683.35
0,2020-01,7,07_ACC_Sales_Revenue,Revenue,0.0,95968.3
0,2020-01,8,08_ACC_Travel_Exp,Expense,0.0,6181.45
0,2020-01,9,09_ACC_Equity_Capital,Equity,0.0,0.0
1,2020-02,0,00_ACC_Accounts_Payable,Liability,0.0,54140.38
1,2020-02,1,01_ACC_Accounts_Receivable,Asset,0.0,140964.8
1,2020-02,2,02_ACC_COGS,Expense,0.0,64905.15
1,2020-02,3,03_ACC_Cash,Asset,0.0,68252.69
1,2020-02,4,04_ACC_Inventory,Asset,0.0,107396.76
1,2020-02,5,05_ACC_Payroll_Exp,Expense,0.0,18245.21
1,2020-02,6,06_ACC_Rent_Exp,Expense,0.0,5368.76
1,2020-02,7,07_ACC_Sales_Revenue,Revenue,0.0,116246.21
1,2020-02,8,08_ACC_Travel_Exp,Expense,0.0,8271.36
1,2020-02,9,09_ACC_Equity_Capital,Equity,0.0,0.0
2,2020-03,0,00_ACC_Accounts_Payable,Liability,6506.72,79254.56
2,2020-03,1,01_ACC_Accounts_Receivable,Asset,66795.27,180625.87
2,2020-03,2,02_ACC_COGS,Expense,21069.0,54939.95
2,2020-03,3,03_ACC_Cash,Asset,19857.4,146269.36
2,2020-03,4,04_ACC_Inventory,Asset,37785.69,100687.0
2,2020-03,5,05_ACC_Payroll_Exp,Expense,2734.72,14782.04
2,2020-03,6,06_ACC_Rent_Exp,Expense,1749.44,5803.61
2,2020-03,7,07_ACC_Sales_Revenue,Revenue,36065.35,100458.77
2,2020-03,8,08_ACC_Travel_Exp,Expense,1647.83,12009.1
2,2020-03,9,09_ACC_Equity_Capital,Equity,0.0,0.0
3,2020-04,0,00_ACC_Accounts_Payable,Liability,32574.81,92960.71
3,2020-04,1,01_ACC_Accounts_Receivable,Asset,151.81,151753.43
3,2020-04,2,02_ACC_COGS,Expense,16526.83,28447.92
3,2020-04,3,03_ACC_Cash,Asset,11928.17,167528.88
3,2020-04,4,04_ACC_Inventory,Asset,27110.22,88033.8
3,2020-04,5,05_ACC_Payroll_Exp,Expense,7515.14,18834.01
3,2020-04,6,06_ACC_Rent_Exp,Expense,933.15,5305.31
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,34190.85,50480.48
