t_idx,src_idx,tgt_idx,value
2020-01,ACC_Accounts_Payable,ACC_Inventory,55952.86
2020-01,ACC_Accounts_Receivable,ACC_Cash,51465.36
2020-01,ACC_Cash,ACC_Accounts_Receivable,51465.36
2020-01,ACC_Cash,ACC_Payroll_Exp,18973.66
2020-01,ACC_Cash,ACC_Rent_Exp,6683.35
2020-01,ACC_Cash,ACC_Travel_Exp,6152.2
2020-01,ACC_Inventory,ACC_COGS,51860.65
2020-01,ACC_Sales_Revenue,ACC_Accounts_Receivable,147433.66
2020-02,ACC_Accounts_Payable,ACC_Inventory,41411.39
2020-02,ACC_Accounts_Receivable,ACC_Cash,72888.73
2020-02,ACC_Cash,ACC_Accounts_Payable,23918.73
2020-02,ACC_Cash,ACC_Accounts_Receivable,52063.9
2020-02,ACC_Cash,ACC_Payroll_Exp,18245.21
2020-02,ACC_Cash,ACC_Rent_Exp,5368.76
2020-02,ACC_Cash,ACC_Travel_Exp,4907.33
2020-02,ACC_Inventory,ACC_COGS,64621.24
2020-02,ACC_Sales_Revenue,ACC_Accounts_Receivable,170205.47
2020-03,ACC_Accounts_Payable,ACC_Inventory,45747.05
2020-03,ACC_Accounts_Receivable,ACC_Cash,84717.79
2020-03,ACC_Cash,ACC_Accounts_Payable,42307.16
2020-03,ACC_Cash,ACC_Payroll_Exp,14782.04
2020-03,ACC_Cash,ACC_Rent_Exp,5803.61
2020-03,ACC_Cash,ACC_Travel_Exp,5868.91
2020-03,ACC_Inventory,ACC_COGS,56155.2
2020-03,ACC_Sales_Revenue,ACC_Accounts_Receivable,100458.77
2020-04,ACC_Accounts_Payable,ACC_Inventory,59585.880000000005
2020-04,ACC_Accounts_Receivable,ACC_Cash,107965.73
2020-04,ACC_Cash,ACC_Accounts_Payable,64934.45
2020-04,ACC_Cash,ACC_Payroll_Exp,18834.01
2020-04,ACC_Cash,ACC_Rent_Exp,5305.31
2020-04,ACC_Cash,ACC_Travel_Exp,6867.87
2020-04,ACC_Inventory,ACC_COGS,28986.75
2020-04,ACC_Sales_Revenue,ACC_Accounts_Receivable,50480.48
2020-05,ACC_Accounts_Payable,ACC_Inventory,48149.3
2020-05,ACC_Accounts_Receivable,ACC_Cash,87236.96
2020-05,ACC_Cash,ACC_Accounts_Payable,11950.96
2020-05,ACC_Cash,ACC_Payroll_Exp,18155.0
2020-05,ACC_Cash,ACC_Rent_Exp,4705.11
2020-05,ACC_Cash,ACC_Travel_Exp,3967.31
2020-05,ACC_Inventory,ACC_COGS,25063.59
2020-05,ACC_Sales_Revenue,ACC_Accounts_Receivable,45351.38
2020-06,ACC_Accounts_Payable,ACC_Inventory,53632.43
2020-06,ACC_Accounts_Receivable,ACC_Cash,60759.89
2020-06,ACC_Accounts_Receivable,UNKNOWN_LEAK,130.55
2020-06,ACC_Cash,ACC_Accounts_Payable,49280.44
2020-06,ACC_Cash,ACC_Payroll_Exp,18066.68
2020-06,ACC_Cash,ACC_Rent_Exp,5224.12
2020-06,ACC_Cash,ACC_Travel_Exp,4829.89
2020-06,ACC_Inventory,ACC_COGS,31093.83
2020-06,ACC_Sales_Revenue,ACC_Accounts_Receivable,54879.67
2020-07,ACC_Accounts_Payable,ACC_Inventory,63767.55
2020-07,ACC_Accounts_Receivable,ACC_Cash,53975.6
2020-07,ACC_Accounts_Receivable,UNKNOWN_LEAK,642.17
2020-07,ACC_Cash,ACC_Accounts_Payable,62113.63
2020-07,ACC_Cash,ACC_Payroll_Exp,20722.72
2020-07,ACC_Cash,ACC_Rent_Exp,6658.59
2020-07,ACC_Cash,ACC_Travel_Exp,10722.37
2020-07,ACC_Inventory,ACC_COGS,60937.89
2020-07,ACC_Sales_Revenue,ACC_Accounts_Receivable,111667.96
2020-08,ACC_Accounts_Payable,ACC_Inventory,49471.29
2020-08,ACC_Accounts_Receivable,ACC_Cash,63683.35
2020-08,ACC_Accounts_Receivable,UNKNOWN_LEAK,709.6999999999999
2020-08,ACC_Cash,ACC_Accounts_Payable,61859.69
2020-08,ACC_Cash,ACC_Payroll_Exp,18876.79
2020-08,ACC_Cash,ACC_Rent_Exp,4943.7
2020-08,ACC_Cash,ACC_Travel_Exp,8720.92
2020-08,ACC_Inventory,ACC_COGS,68429.99
2020-08,ACC_Sales_Revenue,ACC_Accounts_Receivable,124227.22
2020-09,ACC_Accounts_Payable,ACC_Inventory,61487.57
2020-09,ACC_Accounts_Receivable,ACC_Cash,100587.45
2020-09,ACC_Accounts_Receivable,UNKNOWN_LEAK,239.21999999999997
2020-09,ACC_Cash,ACC_Accounts_Payable,24277.72
2020-09,ACC_Cash,ACC_Payroll_Exp,21170.519999999997
2020-09,ACC_Cash,ACC_Rent_Exp,3356.24
2020-09,ACC_Cash,ACC_Travel_Exp,4877.96
2020-09,ACC_Cash,UNKNOWN_LEAK,4534.35
2020-09,ACC_Inventory,ACC_COGS,52163.87
2020-09,ACC_Sales_Revenue,ACC_Accounts_Receivable,95107.68
2020-10,ACC_Accounts_Payable,ACC_Inventory,48174.66
2020-10,ACC_Accounts_Receivable,ACC_Cash,102669.62
2020-10,ACC_Cash,ACC_Accounts_Payable,76464.12
2020-10,ACC_Cash,ACC_Payroll_Exp,18513.78
2020-10,ACC_Cash,ACC_Rent_Exp,6428.78
2020-10,ACC_Cash,ACC_Travel_Exp,10687.23
2020-10,ACC_Inventory,ACC_COGS,30244.56
2020-10,ACC_Sales_Revenue,ACC_Accounts_Receivable,56232.85
2020-11,ACC_Accounts_Payable,ACC_Inventory,49174.21
