node_label,initial_X
AAPL_Close,74.5398941040039
CAG_Close,24.649595260620117
OI_Close,12.567851066589355
PG_Close,106.39061737060548
BXP_Close,104.93811798095705
XOM_Close,46.70513153076172
PLD_Close,78.04523468017578
PNR_Close,39.409698486328125
NWSA_Close,12.75780963897705
BIIB_Close,268.8500061035156
PRGO_Close,46.86832809448242
AVGO_Close,26.198278427124023
SEE_Close,31.59206199645996
STX_Close,45.846622467041016
APA_Close,23.473907470703125
SYF_Close,27.65927505493164
TSLA_Close,43.371334075927734
PNW_Close,74.56478118896484
AMZN_Close,100.43599700927734
CAT_Close,116.2638702392578
NI_Close,23.63145446777344
JNJ_Close,125.0746841430664
HD_Close,195.97915649414065
JPM_Close,111.81566619873048
KSS_Close,30.198081970214844
HAL_Close,19.44864273071289
LIN_Close,185.7780914306641
LYV_Close,68.16000366210938
NVDA_Close,5.884146690368652
GOOG_Close,71.12754821777344
META_Close,200.3378448486328
DOV_Close,104.61257934570312
MSFT_Close,161.26211547851562
DIS_Close,135.12782287597656
NAVI_Close,10.745244979858398
NEE_Close,57.41872024536133
CPB_Close,38.61565399169922
M_Close,12.73121738433838
VNO_Close,51.99795913696289
HPQ_Close,17.066068649291992
