t_idx,time_label
0,2020-02
1,2020-03
2,2020-04
3,2020-05
4,2020-06
5,2020-07
6,2020-08
7,2020-09
8,2020-10
9,2020-11
10,2020-12
11,2021-01
12,2021-02
13,2021-03
14,2021-04
15,2021-05
16,2021-06
17,2021-07
18,2021-08
19,2021-09
20,2021-10
21,2021-11
22,2021-12
23,2022-01
24,2022-02
25,2022-03
26,2022-04
27,2022-05
28,2022-06
29,2022-07
30,2022-08
31,2022-09
32,2022-10
33,2022-11
34,2022-12
35,2023-01
36,2023-02
37,2023-03
38,2023-04
39,2023-05
40,2023-06
41,2023-07
42,2023-08
43,2023-09
44,2023-10
45,2023-11
46,2023-12
47,2024-01
48,2024-02
49,2024-03
50,2024-04
51,2024-05
52,2024-06
53,2024-07
54,2024-08
55,2024-09
56,2024-10
57,2024-11
58,2024-12
