node_idx,initial_X
0,74.5398941040039
6,24.649595260620117
28,12.567851066589355
29,106.39061737060548
5,104.93811798095705
50,46.70513153076172
30,78.04523468017578
31,39.409698486328125
27,12.75780963897705
4,268.8500061035156
33,46.86832809448242
3,26.198278427124023
34,31.59206199645996
35,45.846622467041016
2,23.473907470703125
36,27.65927505493164
48,43.371334075927734
32,74.56478118896484
1,100.43599700927734
7,116.2638702392578
25,23.63145446777344
15,125.0746841430664
13,195.97915649414065
16,111.81566619873048
17,30.198081970214844
12,19.44864273071289
18,185.7780914306641
19,68.16000366210938
26,5.884146690368652
11,71.12754821777344
20,200.3378448486328
10,104.61257934570312
21,161.26211547851562
9,135.12782287597656
23,10.745244979858398
24,57.41872024536133
8,38.61565399169922
22,12.73121738433838
49,51.99795913696289
14,17.066068649291992
