node_idx,node_label
0,AAPL_Close
1,Sector_IT
2,AMZN_Close
3,Sector_Disc
4,APA_Close
5,Sector_Energy
6,AVGO_Close
7,BIIB_Close
8,Sector_Health
9,BXP_Close
10,Sector_RE
11,CAG_Close
12,Sector_Staples
13,CAT_Close
14,Sector_Ind
15,CPB_Close
16,DIS_Close
17,Sector_Comm
18,DOV_Close
19,GOOG_Close
20,HAL_Close
21,HD_Close
22,HPQ_Close
23,JNJ_Close
24,JPM_Close
25,Sector_Fin
26,KSS_Close
27,LIN_Close
28,Sector_Mat
29,LYV_Close
30,META_Close
31,MSFT_Close
32,M_Close
33,NAVI_Close
34,NEE_Close
35,Sector_Util
36,NI_Close
37,NVDA_Close
38,NWSA_Close
39,OI_Close
40,PG_Close
41,PLD_Close
42,PNR_Close
43,PNW_Close
44,PRGO_Close
45,SEE_Close
46,STX_Close
47,SYF_Close
48,TSLA_Close
49,VNO_Close
50,XOM_Close
