node_idx,node_label,spectral_exponent_beta,noise_classification
0,STK_004,1.9837,Brown Noise
1,USR_003,1.7407,Brown Noise
2,USR_009,0.1904,White Noise
3,STK_005,-0.7226,White Noise
4,USR_005,0.9914,Pink Noise
5,STK_003,1.0617,Pink Noise
6,USR_004,1.4693,Pink Noise
7,USR_007,0.212,White Noise
8,STK_001,0.8361,Pink Noise
9,USR_008,-0.0877,White Noise
10,USR_006,-0.6521,White Noise
11,STK_002,1.671,Brown Noise
12,USR_002,0.2362,White Noise
13,USR_010,-0.3317,White Noise
14,USR_001,-0.2122,White Noise
