t_idx,time_label,spectral_radius,is_stable
0,2020-W01,0.0,1
1,2020-W02,0.921935,1
2,2020-W03,0.0,1
3,2020-W04,0.999992,1
4,2020-W05,0.997266,1
5,2020-W06,0.991618,1
6,2020-W07,1.0,0
7,2020-W08,0.981405,1
8,2020-W09,0.995731,1
9,2020-W10,0.99242,1
10,2020-W11,1.0,1
11,2020-W12,0.999481,1
12,2020-W13,0.993843,1
13,2020-W14,0.852652,1
14,2020-W15,0.993477,1
15,2020-W16,0.989852,1
16,2020-W17,0.996206,1
17,2020-W18,1.0,0
18,2020-W19,0.996248,1
19,2020-W20,0.994696,1
20,2020-W21,0.86179,1
21,2020-W22,0.971161,1
22,2020-W23,0.879732,1
23,2020-W24,0.998141,1
24,2020-W25,0.993465,1
25,2020-W26,0.997916,1
26,2020-W27,1.0,0
27,2020-W28,0.998526,1
28,2020-W29,0.999836,1
29,2020-W30,1.0,0
30,2020-W31,0.99627,1
31,2020-W32,0.997088,1
32,2020-W33,0.999841,1
33,2020-W34,0.998714,1
34,2020-W35,1.0,1
35,2020-W36,0.999549,1
36,2020-W37,0.999584,1
37,2020-W38,0.995061,1
38,2020-W39,0.99626,1
39,2020-W40,0.999178,1
40,2020-W41,0.999391,1
41,2020-W42,0.999576,1
42,2020-W43,0.948301,1
43,2020-W44,1.0,0
44,2020-W45,0.907818,1
45,2020-W46,0.999508,1
46,2020-W47,0.998341,1
47,2020-W48,0.999703,1
48,2020-W49,1.0,0
49,2020-W50,0.967551,1
50,2020-W51,1.0,1
51,2020-W52,0.995126,1
