t_idx,node_idx,node_kl_drift,node_univariate_z_score,micro_anomaly_flag
0,0,0.0000,0.0000,0
0,1,0.0000,0.0000,0
0,2,0.0000,0.0000,0
0,3,0.0000,0.0000,0
0,4,0.0000,0.0000,0
0,5,0.0000,0.0000,0
0,6,0.0000,0.0000,0
0,7,0.0000,0.0000,0
0,8,0.0000,0.0000,0
1,0,0.0000,0.0000,0
1,1,0.0000,0.0000,0
1,2,6.4599,0.0000,1
1,3,0.0000,0.0000,0
1,4,0.0000,0.0000,0
1,5,0.0000,0.0000,0
1,6,0.0000,0.0000,0
1,7,0.0000,0.0000,0
1,8,20.7233,0.0000,1
2,0,0.0000,2.4416,0
2,1,0.0000,2.6950,0
2,2,0.2740,16.3836,1
2,3,0.0000,0.3686,0
2,4,0.0000,14.9119,1
2,5,0.0000,1.2450,0
2,6,0.0000,3.3403,1
2,7,0.0000,3.3599,1
2,8,0.6931,17.7826,1
3,0,0.0000,0.3822,0
3,1,0.0000,0.1363,0
3,2,0.0579,2.9400,0
3,3,0.0000,0.3651,0
3,4,0.0000,0.6295,0
3,5,0.0000,0.9582,0
3,6,0.0000,0.2404,0
3,7,0.0000,0.2230,0
3,8,0.4055,4.1432,1
4,0,0.0000,1.6628,0
4,1,0.0000,0.4326,0
4,2,0.1194,1.8984,0
4,3,0.0000,0.3601,0
4,4,0.0000,2.3683,0
4,5,0.0000,0.1274,0
4,6,0.0000,0.0799,0
4,7,0.0000,0.0945,0
4,8,0.2877,2.3194,0
5,0,0.0000,1.2047,0
5,1,0.0000,0.6186,0
5,2,0.0913,0.9893,0
5,3,0.0000,1.8688,0
5,4,0.0000,3.0266,1
5,5,0.0000,0.3454,0
5,6,0.0000,1.0779,0
5,7,0.0000,1.0140,0
5,8,0.2231,1.5675,0
6,0,0.0000,0.6231,0
6,1,0.0000,2.4504,0
6,2,0.0128,1.4481,0
6,3,0.0000,0.6713,0
6,4,0.0000,2.7141,0
6,5,0.0000,0.7460,0
6,6,0.0000,2.2951,0
6,7,0.0000,2.5224,0
6,8,0.1823,1.7624,0
7,0,0.0000,2.4603,0
7,1,0.0000,2.3401,0
7,2,0.0907,0.7113,0
7,3,0.0000,0.4242,0
7,4,0.0000,2.2418,0
7,5,0.0000,0.6411,0
7,6,0.0000,2.9259,0
7,7,0.0000,2.8970,0
7,8,0.0000,1.1546,0
8,0,0.0000,2.0744,0
8,1,0.0000,2.6337,0
8,2,0.0594,0.8011,0
8,3,0.0000,0.7067,0
8,4,0.0000,0.0093,0
8,5,0.0000,0.0383,0
8,6,0.0000,2.5084,0
8,7,0.0000,2.5130,0
8,8,0.0000,0.7528,0
9,0,0.0000,0.5414,0
9,1,0.0000,0.7655,0
9,2,0.0123,2.8198,0
9,3,0.0000,2.5067,0
9,4,0.0000,1.0920,0
9,5,0.0000,3.4699,1
9,6,0.0000,1.3217,0
9,7,0.0000,1.2715,0
9,8,0.0000,0.7094,0
10,0,0.0000,1.1625,0
10,1,0.0000,0.1729,0
10,2,0.0181,2.7833,0
10,3,0.0000,0.1919,0
10,4,0.0000,0.2762,0
10,5,0.0000,2.4740,0
10,6,0.0000,0.4973,0
10,7,0.0000,0.5031,0
10,8,0.0000,3.4047,1
11,0,0.0000,0.8435,0
11,1,0.0000,0.6261,0
11,2,0.0228,0.8043,0
11,3,0.0000,0.2089,0
11,4,0.0000,1.4533,0
11,5,0.0000,0.1005,0
11,6,0.0000,1.0547,0
11,7,0.0000,0.9836,0
11,8,0.0000,2.7928,0
12,0,0.0000,0.5391,0
12,1,0.0000,2.8688,0
12,2,0.0116,0.1494,0
12,3,0.0000,0.0447,0
12,4,0.0000,0.1648,0
12,5,0.0000,1.1204,0
12,6,0.0000,2.6198,0
12,7,0.0000,2.6448,0
12,8,0.0000,1.3298,0
13,0,0.0000,0.9398,0
13,1,0.0000,1.8042,0
13,2,0.0173,0.1885,0
13,3,0.0000,1.1767,0
13,4,0.0000,0.4946,0
13,5,0.0000,1.1217,0
13,6,0.0000,1.7658,0
13,7,0.0000,1.7908,0
13,8,0.0000,0.9640,0
14,0,0.0000,1.2680,0
14,1,0.0000,1.8407,0
14,2,0.0699,3.1612,1
14,3,0.0000,0.6886,0
14,4,0.0000,0.1674,0
14,5,0.0000,1.2773,0
14,6,0.0000,2.0377,0
14,7,0.0000,2.2132,0
14,8,0.0000,0.7155,0
15,0,0.0000,1.0726,0
15,1,0.0000,1.0685,0
15,2,0.0547,1.8891,0
15,3,0.0000,2.4947,0
15,4,0.0000,0.2555,0
15,5,0.0000,3.5980,1
15,6,0.0000,1.0550,0
15,7,0.0000,1.0546,0
15,8,0.0000,2.6151,0
16,0,0.0000,1.5190,0
16,1,0.0000,0.5752,0
16,2,0.0627,1.7462,0
16,3,0.0000,2.2240,0
16,4,0.0000,2.6112,0
16,5,0.0000,0.7007,0
16,6,0.0000,0.5500,0
16,7,0.0000,0.6260,0
16,8,0.0000,0.9403,0
17,0,0.0000,0.7815,0
17,1,0.0000,1.8260,0
17,2,0.0120,1.0463,0
17,3,0.0000,1.3139,0
17,4,0.0000,1.0757,0
17,5,0.0000,1.5828,0
17,6,0.0000,1.4483,0
17,7,0.0000,1.2682,0
17,8,0.0000,2.2052,0
18,0,0.0000,1.4264,0
18,1,0.0000,1.5457,0
18,2,0.0350,0.4018,0
18,3,0.0000,0.4388,0
18,4,0.0000,3.3161,1
18,5,0.0000,0.0205,0
18,6,0.0000,2.9707,0
18,7,0.0000,2.8668,0
18,8,0.0000,1.8835,0
19,0,0.0000,0.1798,0
19,1,0.0000,2.9130,0
19,2,0.0217,0.9510,0
19,3,0.0000,2.3077,0
19,4,0.0000,0.6759,0
19,5,0.0000,3.1014,1
