t_idx,node_idx,fk_total_ripple,fk_max_impact,fk_max_impact_node,ik_strain_energy,ik_max_adjust,ik_max_adjust_node
0,0,25.7250,8.5000,1,49.9900,0.0000,0
0,1,18.5000,8.5000,6,29.0242,4.9344,0
0,2,18.5000,5.7776,3,49.9900,0.0000,0
0,3,10.0000,0.0000,0,37.4812,4.3313,2
0,4,10.0000,0.0000,0,48.9117,1.4527,2
0,5,10.0000,0.0000,0,49.2361,1.2188,2
0,6,10.0000,0.0000,0,22.2746,3.7869,1
0,7,18.5000,8.5000,8,49.9900,0.0000,0
0,8,10.0000,0.0000,0,29.0242,4.9344,7
1,0,25.7250,8.5000,1,42.0692,2.4373,2
1,1,18.5000,8.5000,6,26.8997,4.5732,0
1,2,23.0549,3.1022,3,22.2746,3.7869,8
1,3,10.0000,0.0000,0,41.1116,2.5509,2
1,4,10.0000,0.0000,0,49.0084,0.9261,2
1,5,10.0000,0.0000,0,47.4125,1.4761,2
1,6,10.0000,0.0000,0,21.3401,3.6280,1
1,7,35.1571,8.5000,8,49.9900,0.0000,0
1,8,29.5966,8.5000,2,29.0242,4.9344,7
2,0,25.7250,8.5000,1,0.0000,-86.9669,2
2,1,18.5000,8.5000,6,0.0003,-576.0493,2
2,2,24.9836,4.1231,0,0.0000,-40.8806,8
2,3,10.0000,0.0000,0,0.0000,48.8748,2
2,4,10.0000,0.0000,0,0.0009,-934.7642,2
2,5,10.0000,0.0000,0,0.0000,-111.7054,2
2,6,10.0000,0.0000,0,0.0001,254.9694,2
2,7,36.5507,8.5000,8,0.0000,-100.1461,2
2,8,31.2361,8.5000,2,0.0000,-10.7235,2
3,0,25.7250,8.5000,1,0.0000,-17.0710,7
3,1,18.5000,8.5000,6,0.0000,-51.3941,2
3,2,24.2024,3.6263,0,0.0000,-38.8118,8
3,3,10.0000,0.0000,0,0.0000,54.8041,2
3,4,10.0000,0.0000,0,0.0001,-194.5220,2
3,5,10.0000,0.0000,0,0.0000,-111.2449,2
3,6,10.0000,0.0000,0,0.0000,35.9768,2
3,7,35.9862,8.5000,8,0.0000,-12.7045,2
3,8,30.5720,8.5000,2,0.0000,-9.3679,2
4,0,25.7250,8.5000,1,0.0000,-5.2160,8
4,1,18.5000,8.5000,6,0.0000,16.9369,0
4,2,25.8192,4.6545,0,0.0001,-78.4129,0
4,3,10.0000,0.0000,0,0.0001,69.4498,0
4,4,10.0000,0.0000,0,0.0001,-68.0860,0
4,5,10.0000,0.0000,0,0.0000,-24.6752,0
4,6,10.0000,0.0000,0,0.0001,53.1599,0
4,7,37.1544,8.5000,8,0.0000,14.8031,0
4,8,31.9463,8.5000,2,0.0000,-9.1969,2
5,0,25.7250,8.5000,1,0.0001,-16.4561,5
5,1,18.5000,8.5000,6,0.0002,-30.5002,5
5,2,26.0471,4.7994,0,0.0021,-86.6961,5
5,3,10.0000,0.0000,0,0.0001,-17.5018,5
5,4,10.0000,0.0000,0,0.0012,-65.6003,5
5,5,10.0000,0.0000,0,0.0000,-5.5257,3
5,6,10.0000,0.0000,0,0.0005,-42.9472,5
5,7,37.3190,8.5000,8,0.0003,30.5651,5
5,8,32.1400,8.5000,2,0.0013,-70.6452,5
