t_idx,node_idx,net_flux_q,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
0,0,-39033.5400,0.0000,0.0000,39033.5400,0.0000,0.0000
0,1,-8385.3300,0.0000,0.0000,8385.3300,0.0000,0.0000
0,2,-30692.7400,0.0000,0.0000,30692.7400,0.0000,0.0000
0,3,20862.2300,0.0000,0.0000,20862.2300,0.0000,0.0000
0,4,5361.8600,0.0000,0.0000,5361.8600,0.0000,0.0000
0,5,4468.6500,0.0000,0.0000,4468.6500,0.0000,0.0000
0,6,47418.8700,0.0000,0.0000,47418.8700,0.0000,0.0000
0,7,-86528.0300,0.0000,0.0000,86528.0300,0.0000,0.0000
0,8,86528.0300,0.0000,0.0000,86528.0300,0.0000,0.0000
1,0,-16337.4700,22696.0700,0.0000,27685.5050,0.0001,2.0000
1,1,-25046.8300,-16661.5000,0.0000,16716.0800,0.0001,-2.0000
1,2,-25969.0600,4723.6800,0.0000,28330.9000,0.0004,2.0000
1,3,17202.1000,-3660.1300,0.0000,19032.1650,0.0005,-2.0000
1,4,5238.8700,-122.9900,0.0000,5300.3650,0.0163,-2.0000
1,5,8630.8200,4162.1700,0.0000,6549.7350,0.0005,2.0000
1,6,57446.2700,10027.4000,0.0000,52432.5700,0.0002,2.0000
1,7,-104067.6000,-17539.5700,0.0000,95297.8150,0.0001,-2.0000
1,8,82902.9000,-3625.1300,0.0000,84715.4650,0.0006,-2.0000
2,0,21.4600,16358.9300,-6337.1400,18464.1567,0.0001,-117009944.0678
2,1,-39167.5300,-14120.7000,2540.8000,24199.8967,0.0001,61487095.5240
2,2,10364.6000,36333.6600,31609.9800,22342.1333,0.0001,706234390.0765
2,3,18357.6900,1155.5900,4815.7200,18807.3400,0.0005,90570883.9478
2,4,4383.3600,-855.5100,-732.5200,4994.6967,0.0026,-3658717.4676
2,5,9140.7500,509.9300,-3652.2400,7413.4067,0.0005,-27075540.0892
2,6,69179.8100,11733.5400,1706.1400,58014.9833,0.0002,98981685.9312
2,7,-124763.5500,-20695.9500,-3156.3800,105119.7267,0.0001,-331797805.1294
2,8,52483.4100,-30419.4900,-26794.3600,73971.4467,0.0001,-1982017573.9497
3,0,-12329.5400,-12351.0000,-28709.9300,16930.5025,0.0001,-486073542.5376
3,1,-22485.7000,16681.8300,30802.5300,23771.3475,0.0001,732217645.7652
3,2,38494.8000,28130.2000,-8203.4600,26380.3000,0.0001,-216409734.0001
3,3,19365.1200,1007.4300,-148.1600,18946.7850,0.0005,-2807155.1486
