t_idx,gross_activity_U,entropy_S,temperature_T,work_W,heat_Q,grad_T,free_energy_F
0,203673.1800,1.2231,0.0000,-86528.0300,78111.6100,0.0000,203673.1800
1,262211.7700,1.8607,41609.3200,-104067.6000,88518.0600,0.0000,184787.6227
2,358151.3200,1.7042,90779.9064,-124763.5500,101061.6100,0.0000,203442.5464
3,363697.8200,1.7828,108819.1463,-108604.3800,94204.9000,0.0000,169693.0662
4,384771.5200,1.5992,120682.5435,-107278.3300,89929.7500,0.0000,191778.3744
5,358689.4000,1.6176,123250.8755,-93887.4100,81540.7900,0.0000,159316.5267
6,324369.1300,1.7325,136546.9001,-73808.0900,73152.5800,0.0000,87806.4271
7,303555.8500,1.3336,135085.0394,-56962.7700,59936.2700,0.0000,123402.3213
8,217920.2800,1.8094,132693.1356,-36956.7100,52557.5000,0.0000,-22177.7292
9,226207.3000,1.6931,119484.3698,-46039.3900,57447.5100,0.0000,23912.2201
10,242251.0400,1.5462,126174.8154,-56484.0100,65041.0500,0.0000,47158.0387
11,264507.8500,1.8196,121480.0562,-79019.5400,78101.2000,0.0000,43461.3627
12,325781.6700,1.5815,123257.6734,-96852.0700,85224.7100,0.0000,130849.3264
13,338299.4900,1.5067,116307.4070,-98180.0600,86896.3300,0.0000,163063.6996
14,360950.0400,1.8588,131836.1591,-121902.2600,96212.5100,0.0000,115887.6668
15,414002.5300,1.3864,122144.3567,-110380.6700,90137.4500,0.0000,244665.4582
16,344166.2700,1.7979,116273.4137,-107091.8600,84920.5800,0.0000,135116.6061
17,334166.2000,1.6441,102902.0936,-85372.1100,75278.9300,0.0000,164983.9562
18,322216.2300,1.4995,104158.7222,-70198.9300,70102.9300,0.0000,166031.2628
19,262989.5000,1.6788,117901.1234,-51155.8500,59511.1800,0.0000,65062.8710
20,212857.1700,1.6374,128056.3597,-31977.4800,44705.1000,0.0000,3180.4542
21,204228.2500,1.6757,114917.5209,-48003.3000,49460.4900,0.0000,11659.3876
22,254436.5800,1.4073,115821.0434,-55784.4700,59965.6700,0.0000,91441.4742
23,140651.3900,0.5920,102339.1404,-46407.8200,28634.7400,0.0000,80068.3002
