t_idx,node_idx,fk_echo_impact
0,0,-39033.5400
0,1,-41563.8390
0,2,-30692.7400
0,3,3129.3345
0,4,804.2790
0,5,670.2975
0,6,12089.6069
0,7,-86528.0300
0,8,12979.2045
1,0,-25227.2028
1,1,-46489.9524
1,2,-30690.4360
1,3,7681.3455
1,4,2339.3406
1,5,3853.9661
1,6,17929.8105
1,7,-104067.6000
1,8,-5554.5600
2,0,-14478.0626
2,1,-51473.8832
2,2,-35166.1664
2,3,9495.0661
2,4,2267.1857
2,5,4727.8294
2,6,25427.0093
2,7,-124763.5500
2,8,-53565.6075
3,0,-23520.3850
3,1,-42478.0272
3,2,-30859.9325
3,3,10812.0259
3,4,2941.6233
3,5,5258.6431
3,6,24046.1869
3,7,-108604.3800
3,8,-81593.8030
4,0,-10368.4629
4,1,-37308.3834
4,2,-36365.9549
4,3,10069.0279
4,4,2251.0071
4,5,4456.1262
4,6,27456.9041
4,7,-107278.3300
4,8,-103565.9705
5,0,-12968.2631
5,1,-29584.3036
5,2,-41053.6457
5,3,8277.3725
5,4,3213.4981
5,5,3667.9936
5,6,26043.0819
5,7,-93887.4100
5,8,-97186.0185
6,0,-28303.8100
6,1,-24795.2285
6,2,-26737.1745
6,3,11145.2964
6,4,1784.8499
6,5,5225.5754
6,6,20458.3058
6,7,-73808.0900
6,8,-103782.5465
7,0,-15748.7027
7,1,-8623.5773
7,2,-63698.1543
7,3,6458.6000
7,4,877.3394
7,5,2971.7320
7,6,24221.9893
7,7,-56962.7700
7,8,-85164.5345
8,0,-36489.6138
8,1,-8334.7218
8,2,-33692.3930
8,3,7816.7853
8,4,1768.8906
8,5,3508.1639
8,6,13628.4865
8,7,-36956.7100
8,8,-62675.4035
9,0,-19683.7834
9,1,-10270.0259
9,2,-54646.6803
9,3,5165.1371
9,4,1855.7875
9,5,3504.9306
9,6,16275.1880
9,7,-46039.3900
9,8,-48033.7415
10,0,-17863.1329
10,1,-14584.2830
10,2,-70268.9342
10,3,4992.4315
10,4,1341.5807
10,5,3219.0967
10,6,18931.0495
10,7,-56484.0100
10,8,-30694.0285
11,0,-29482.3422
11,1,-30133.0609
11,2,-42277.7056
11,3,6994.9966
11,4,2518.4855
11,5,3643.5103
11,6,18675.6083
11,7,-79019.5400
11,8,-31304.6890
12,0,-16629.3885
12,1,-34696.7803
12,2,-48861.6801
12,3,7562.0558
12,4,1969.6737
12,5,3471.3110
12,6,24775.3968
12,7,-96852.0700
12,8,-54816.3295
13,0,-13296.8159
13,1,-33286.6735
13,2,-59122.6123
13,3,7307.2853
13,4,2078.0461
13,5,3116.6940
13,6,26437.2475
13,7,-98180.0600
13,8,-55708.9910
14,0,-23980.3442
14,1,-51830.7026
14,2,-15568.1963
14,3,12154.8436
14,4,3769.4218
14,5,5485.6420
14,6,21866.4028
14,7,-121902.2600
14,8,-75227.2310
15,0,-8570.1678
15,1,-33745.1326
15,2,-48137.6376
15,3,9832.6724
15,4,2595.9441
15,5,2116.8193
15,6,32162.8373
15,7,-110380.6700
15,8,-110554.8795
16,0,-23045.1547
16,1,-43661.6615
16,2,-12386.6198
16,3,12197.7966
16,4,2810.5840
16,5,4989.5472
16,6,21021.1378
16,7,-107091.8600
16,8,-87275.1410
17,0,-25377.2131
17,1,-28241.7011
17,2,-26883.0135
17,3,11226.8159
17,4,2459.8052
17,5,2797.4105
17,6,22690.0540
17,7,-85372.1100
17,8,-95286.5335
18,0,-8619.0909
18,1,-17380.6972
18,2,-57092.9019
18,3,7164.1325
18,4,2726.2392
18,5,2670.1425
18,6,24244.1474
18,7,-70198.9300
18,8,-92072.7905
19,0,-19210.6352
19,1,-10667.3399
19,2,-50150.6756
19,3,5862.9102
19,4,2194.7428
19,5,4071.5679
19,6,18663.2611
19,7,-51155.8500
19,8,-74098.7125
20,0,-27788.4542
20,1,-1145.2561
20,2,-47827.4103
20,3,5465.2981
20,4,1815.1752
20,5,2231.2822
20,6,15637.5623
20,7,-31977.4800
20,8,-58923.5180
21,0,-20496.1112
21,1,-13608.5445
21,2,-33479.7167
21,3,5370.1226
21,4,1708.0776
21,5,2127.6917
21,6,14870.0572
21,7,-48003.3000
21,8,-44918.6550
22,0,-20522.2341
22,1,-11454.1390
22,2,-69052.6006
22,3,5259.5701
22,4,1139.8735
22,5,2325.1500
22,6,20777.5119
22,7,-55784.4700
22,8,-39867.2595
23,0,-12163.1316
23,1,-13952.6619
23,2,-11521.7384
23,3,0.0000
23,4,0.0000
23,5,1638.1440
23,6,13736.5874
23,7,-46407.8200
23,8,-18452.8570
