node_label,initial_X
USR_001_Cash,370679794.97
USR_001_Stock,1442395748.75
USR_002_Cash,137478095.94
USR_002_Stock,1491314548.93
USR_003_Cash,85800980.65
USR_003_Stock,37841454.45
USR_004_Cash,79463284.19
USR_004_Stock,47265526.77
USR_005_Cash,739488.97
USR_005_Stock,4141339.86
USR_006_Cash,1771241.55
USR_006_Stock,4692978.00
USR_007_Cash,939767.42
USR_007_Stock,5812421.39
USR_008_Cash,619687.97
USR_008_Stock,895314.72
USR_009_Cash,1032906.05
USR_009_Stock,6025865.11
USR_010_Cash,1193390.32
USR_010_Stock,5561612.92
STK_001_Issuer,1121570750.56
STK_002_Issuer,291423397.09
STK_003_Issuer,468162342.84
STK_004_Issuer,501321348.84
STK_005_Issuer,663468971.57
