# ==============================================================================
# TLU System Configuration Parameters (_sys_params.csv) - Sample 6 (Market Stock Flow Mode)
# ==============================================================================

input_csv,input_stream/Dummy_Market_Stream_Z_Stock_aggregated.csv
col_trans_date,Timestamp
col_src,Src
col_tgt,Tgt
col_amount,Transaction_Amount

time_granularity,month
observation_window_steps,3
damping_factor,0.85
tikhonov_lambda,0.0001

thermo_work_labels,USR_001,USR_002,USR_003,USR_004,USR_005,USR_006,USR_007,USR_008,USR_009,USR_010
thermo_heat_labels,STK_001,STK_002,STK_003,STK_004,STK_005

anomaly_z_score_threshold,3.0
leak_tolerance,1.0
kl_drift_thresh,2.0

thresh_z_score,3.0
thresh_spectral_radius,0.95
thresh_fractal_lower,0.5
thresh_fractal_upper,1.5
thresh_manifold_svd,1e-10
target_phase_frequency,0.25

lqr_controllable_labels,STK_001,STK_002,STK_003
lqr_target_state,USR_001:10000000
lqr_q_weight,1.0
lqr_r_weight,0.1

kinematics_max_k,5
fk_input_mode,actual
fk_static_dq_labels,USR_001:10000000
ik_target_labels,USR_001:10000000.0
sensitivity_delta,10.0

auto_tune_enabled,True
auto_tune_burn_in_period,12
phase_window_size,7
phase_step_size,1
