t_idx,time_label
0,2000-10
1,2000-11
2,2000-12
3,2001-01
4,2001-02
5,2001-03
6,2001-04
7,2001-05
8,2001-06
9,2001-07
10,2001-08
11,2001-09
12,2001-10
13,2001-11
14,2001-12
15,2002-01
16,2002-02
17,2002-03
18,2002-04
19,2002-05
20,2002-06
21,2002-07
22,2002-08
23,2002-09
24,2002-10
25,2002-11
26,2002-12
27,2003-01
28,2003-02
29,2003-03
30,2003-04
31,2003-05
32,2003-06
33,2003-07
34,2003-08
35,2003-09
36,2003-10
37,2003-11
38,2003-12
39,2004-01
40,2004-02
41,2004-03
42,2004-04
43,2004-05
44,2004-06
45,2004-07
46,2004-08
47,2004-09
48,2004-10
49,2004-11
50,2004-12
51,2005-01
52,2005-02
53,2005-03
54,2005-04
55,2005-05
56,2005-06
57,2005-07
58,2005-08
59,2005-09
60,2005-10
61,2005-11
62,2005-12
63,2006-01
64,2006-02
65,2006-03
66,2006-04
67,2006-05
68,2006-06
69,2006-07
70,2006-08
71,2006-09
72,2006-10
73,2006-11
74,2006-12
75,2007-01
76,2007-02
77,2007-03
78,2007-04
79,2007-05
80,2007-06
81,2007-07
82,2007-08
83,2007-09
84,2007-10
85,2007-11
86,2007-12
87,2008-01
88,2008-02
89,2008-03
90,2008-04
91,2008-05
92,2008-06
93,2008-07
94,2008-08
95,2008-09
96,2008-10
97,2008-11
98,2008-12
99,2009-01
100,2009-02
101,2009-03
102,2009-04
103,2009-05
104,2009-06
105,2009-07
106,2009-08
107,2009-09
108,2009-10
109,2009-11
110,2009-12
111,2010-01
112,2010-02
113,2010-03
114,2010-04
115,2010-05
116,2010-06
117,2010-07
118,2010-08
119,2010-09
120,2010-10
121,2010-11
122,2010-12
123,2011-01
124,2011-02
125,2011-03
126,2011-04
127,2011-05
128,2011-06
129,2011-07
130,2011-08
131,2011-09
132,2011-10
133,2011-11
134,2011-12
135,2012-01
136,2012-02
137,2012-03
138,2012-04
139,2012-05
140,2012-06
141,2012-07
142,2012-08
143,2012-09
144,2012-10
145,2012-11
146,2012-12
147,2013-01
148,2013-02
149,2013-03
150,2013-04
151,2013-05
152,2013-06
153,2013-07
154,2013-08
155,2013-09
156,2013-10
157,2013-11
158,2013-12
159,2014-01
160,2014-02
161,2014-03
162,2014-04
163,2014-05
164,2014-06
165,2014-07
166,2014-08
167,2014-09
168,2014-10
169,2014-11
170,2014-12
171,2015-01
172,2015-02
173,2015-03
174,2015-04
175,2015-05
176,2015-06
177,2015-07
178,2015-08
179,2015-09
180,2015-10
181,2015-11
182,2015-12
183,2016-01
184,2016-02
185,2016-03
186,2016-04
187,2016-05
188,2016-06
189,2016-07
190,2016-08
191,2016-09
192,2016-10
193,2016-11
194,2016-12
195,2017-01
196,2017-02
197,2017-03
198,2017-04
199,2017-05
200,2017-06
201,2017-07
202,2017-08
203,2017-09
204,2017-10
205,2017-11
206,2017-12
207,2018-01
208,2018-02
209,2018-03
210,2018-04
211,2018-05
212,2018-06
213,2018-07
214,2018-08
215,2018-09
216,2018-10
217,2018-11
218,2018-12
219,2019-01
220,2019-02
221,2019-03
222,2019-04
223,2019-05
224,2019-06
225,2019-07
226,2019-08
227,2019-09
228,2019-10
229,2019-11
230,2019-12
231,2020-01
232,2020-02
233,2020-03
234,2020-04
235,2020-05
236,2020-06
237,2020-07
238,2020-08
239,2020-09
240,2020-10
241,2020-11
242,2020-12
243,2021-01
244,2021-02
245,2021-03
246,2021-04
247,2021-05
248,2021-06
249,2021-07
250,2021-08
251,2021-09
252,2021-10
253,2021-11
254,2021-12
255,2022-01
256,2022-02
257,2022-03
258,2022-04
259,2022-05
260,2022-06
261,2022-07
262,2022-08
263,2022-09
264,2022-10
265,2022-11
266,2022-12
267,2023-01
268,2023-02
269,2023-03
270,2023-04
271,2023-05
272,2023-06
273,2023-07
274,2023-08
275,2023-09
276,2023-10
277,2023-11
278,2023-12
279,2024-01
